,date,code,open,high,low,close,volume,amount
0,2019-04-30,sh.603067,10.2500,11.8300,8.9000,8.9800,138976205,1471960387.0000
1,2019-05-31,sh.603067,8.8500,9.6600,6.1500,6.2000,78989838,627068917.0000
2,2019-06-28,sh.603067,6.2500,6.6400,5.7600,6.1000,52744115,322253289.0000
3,2019-07-31,sh.603067,6.2500,6.6400,5.8400,5.8800,65479235,404208424.0000
4,2019-08-30,sh.603067,5.8600,6.1800,5.3200,5.8700,57782864,341690696.0000
5,2019-09-30,sh.603067,5.8700,6.5800,5.7900,6.0700,83103715,517340825.0000
6,2019-10-31,sh.603067,6.0900,6.3800,5.6400,5.6700,57535148,352961749.0000
7,2019-11-29,sh.603067,5.6600,5.8100,5.4100,5.5800,29406857,165078919.0000
8,2019-12-31,sh.603067,5.5900,6.1100,5.5400,6.0600,57882716,334718981.0000
9,2020-01-23,sh.603067,6.0800,6.2800,5.7600,5.8500,41247966,251953289.0000
10,2020-02-28,sh.603067,5.2700,5.6300,4.7700,5.1600,71444943,381038574.0000
11,2020-03-31,sh.603067,5.1700,5.7900,5.0200,5.1700,80827300,436233142.0000
12,2020-04-30,sh.603067,5.1200,7.5800,5.0600,5.6100,502557061,3194363837.0000
13,2020-05-29,sh.603067,5.5000,6.0500,5.4500,5.9600,149271235,859251479.0000
14,2020-06-30,sh.603067,5.9900,6.4900,5.9000,6.1500,190192111,1174129523.0000
15,2020-07-31,sh.603067,6.1500,8.2100,5.9700,7.7000,314120194,2266611646.1000
16,2020-08-31,sh.603067,8.4700,9.3200,6.8100,7.1400,198349761,1544501692.8000
17,2020-09-30,sh.603067,7.1600,7.7900,6.3000,6.6800,125110444,863648447.7800
18,2020-10-30,sh.603067,6.7100,7.5700,6.7000,6.7900,99457765,710131463.9400
19,2020-11-30,sh.603067,6.8100,7.8900,6.6300,7.1100,153238555,1120899924.6800
20,2020-12-31,sh.603067,7.1000,7.2100,6.3400,6.5900,62805880,425472462.3900
21,2021-01-29,sh.603067,6.5600,7.1500,6.3200,6.4600,73574784,493876771.2900
22,2021-02-26,sh.603067,6.4500,7.7700,6.3200,7.5400,118345204,849022332.3700
23,2021-03-31,sh.603067,7.5000,8.1300,6.7300,7.9800,256166518,1928015644.7800
24,2021-04-30,sh.603067,7.9900,8.2400,6.8500,7.3000,132761587,1019871006.7800
25,2021-05-31,sh.603067,7.2600,7.6500,6.8800,7.0000,55780420,400966581.3000
26,2021-06-30,sh.603067,7.0000,7.7700,6.8900,7.4200,98657331,720781130.4200
27,2021-07-30,sh.603067,7.4200,11.7600,7.1100,9.6500,470476861,4547366871.2300
28,2021-08-31,sh.603067,9.6300,12.7700,9.4200,12.1400,360649718,3936326576.5200
29,2021-09-30,sh.603067,12.2500,14.4000,10.6600,13.0500,282510937,3594866634.2000
30,2021-10-29,sh.603067,13.3200,13.8000,11.1800,12.2700,128568072,1575978323.2900
31,2021-11-30,sh.603067,12.3600,14.5500,11.9000,13.7800,216252649,2903215402.3700
32,2021-12-31,sh.603067,13.7500,14.4700,10.8200,11.0400,171300214,2135035032.6800
33,2022-01-28,sh.603067,11.1800,11.6400,10.1000,10.9800,124982381,1368232101.4300
34,2022-02-28,sh.603067,11.1000,14.4800,11.0500,13.7400,261843666,3392736337.5200
35,2022-03-31,sh.603067,13.7500,14.0900,10.7900,11.5700,182545974,2249759620.0000
36,2022-04-29,sh.603067,11.4800,11.7300,8.8900,10.5400,134510889,1440917374.2100
37,2022-05-31,sh.603067,10.5700,12.3600,10.2900,12.0400,110235431,1277149097.6900
38,2022-06-30,sh.603067,12.0300,13.8300,11.3300,12.5300,169930929,2134369367.8200
39,2022-07-29,sh.603067,12.4700,22.6300,12.2100,20.9500,701225262,12211576048.3900
40,2022-08-31,sh.603067,20.5000,23.9800,16.3700,16.5300,620625862,12178675398.6200
41,2022-09-30,sh.603067,16.5300,17.9800,14.3000,15.0200,316701942,5012362263.6600
