,date,code,open,high,low,close,volume,amount
0,2019-04-30,sh.603081,15.0300,16.1600,13.3000,13.7000,88098218,1338376279.0000
1,2019-05-31,sh.603081,13.5000,13.6800,11.8300,12.4400,45868461,581165294.0000
2,2019-06-28,sh.603081,12.5200,13.4700,11.9000,12.5500,42132595,537362204.0000
3,2019-07-31,sh.603081,12.8000,13.0700,11.3100,11.4400,26442177,323754083.0000
4,2019-08-30,sh.603081,11.3900,11.8500,10.3600,11.0200,31249503,345088358.0000
5,2019-09-30,sh.603081,10.9400,14.8800,10.9400,14.5600,106946337,1392691574.0000
6,2019-10-31,sh.603081,14.2000,17.3700,14.1300,16.4700,253463639,3998875590.0000
7,2019-11-29,sh.603081,16.4500,18.1900,15.0200,17.3500,294681127,4987108167.0000
8,2019-12-31,sh.603081,17.2500,18.4900,16.0500,16.3100,315047209,5411158192.0000
9,2020-01-23,sh.603081,16.3100,16.6300,13.3100,13.4000,109486535,1664341679.0000
10,2020-02-28,sh.603081,12.0600,14.2600,10.8500,12.8000,97839958,1270274310.0000
11,2020-03-31,sh.603081,12.8000,13.9900,11.0200,11.0600,73906143,935982589.0000
12,2020-04-30,sh.603081,11.0300,12.3400,10.7400,11.1700,51020230,583493679.0000
13,2020-05-29,sh.603081,11.1500,12.1100,11.0100,11.2700,34466697,398358948.0000
14,2020-06-30,sh.603081,11.3600,12.2700,11.1100,11.2900,43497926,507558437.0000
15,2020-07-31,sh.603081,11.2900,13.5800,11.2200,11.9400,85943839,1056528454.0100
16,2020-08-31,sh.603081,11.9400,13.2500,11.9300,12.8000,80399010,1006423083.6600
17,2020-09-30,sh.603081,12.8000,13.2000,11.4700,11.5000,51944503,646966348.6000
18,2020-10-30,sh.603081,11.5500,12.2000,11.2500,11.4200,20482998,240001589.1300
19,2020-11-30,sh.603081,11.3700,12.0900,11.1900,11.9200,29666738,344223256.8600
20,2020-12-31,sh.603081,11.9000,12.5500,10.3500,10.8500,46778731,552784647.0400
21,2021-01-29,sh.603081,10.7800,11.3800,9.9300,10.2500,28494605,301077825.8400
22,2021-02-26,sh.603081,10.2500,11.5500,10.1600,11.0200,20396451,222435428.9600
23,2021-03-31,sh.603081,11.1100,12.2800,10.8100,12.0500,45165733,517903723.2400
24,2021-04-30,sh.603081,12.0600,12.1400,10.9900,11.6300,30940334,357528868.2600
25,2021-05-31,sh.603081,11.6300,11.9600,11.3600,11.4700,21082247,247529482.9700
26,2021-06-30,sh.603081,11.4300,11.8100,11.0200,11.0600,24731244,281172820.8000
27,2021-07-30,sh.603081,11.0600,11.1400,10.3800,10.6200,20654116,222436527.4400
28,2021-08-31,sh.603081,10.5300,13.2000,10.5000,12.5300,110789914,1348556003.9000
29,2021-09-30,sh.603081,12.4500,13.1000,10.9200,11.3300,62482195,762928699.7600
30,2021-10-29,sh.603081,11.5100,11.5200,10.3800,10.7200,27242550,300562248.4900
31,2021-11-30,sh.603081,10.7100,12.9000,10.1600,11.8100,101403638,1210322158.7800
32,2021-12-31,sh.603081,11.8300,14.0700,11.4800,13.6300,112222919,1441951850.6900
33,2022-01-28,sh.603081,13.8900,15.0100,11.6600,11.9000,89463721,1216252529.8800
34,2022-02-28,sh.603081,12.6100,14.4600,11.9200,13.1800,96655511,1283475927.5500
35,2022-03-31,sh.603081,13.2200,13.3700,10.5100,11.3400,63270189,744322179.9000
36,2022-04-29,sh.603081,11.3200,12.2600,9.9000,10.5700,58105988,649193566.6800
37,2022-05-31,sh.603081,10.6000,11.2400,10.2300,10.6500,46554680,495900940.1700
38,2022-06-30,sh.603081,10.6500,11.4500,10.5900,11.1500,48759814,532684953.7000
39,2022-07-29,sh.603081,11.1500,11.3000,10.5200,10.9800,39946592,438567663.7900
40,2022-08-31,sh.603081,10.9700,12.4700,10.3500,11.5200,91830310,1069320835.4300
41,2022-09-30,sh.603081,11.5000,11.6200,9.8700,9.8900,34384105,376806658.4100
42,2022-10-31,sh.603081,9.9000,12.2800,9.9000,11.3600,42947581,470482648.3600
43,2022-11-30,sh.603081,11.3700,14.9500,11.1300,12.5500,195226398,2605237798.6300
44,2022-12-30,sh.603081,12.7000,13.2900,11.5500,12.4600,59172309,736150688.3100
45,2023-01-31,sh.603081,12.1700,14.0100,11.9800,13.6400,64989798,856246135.2200
46,2023-02-28,sh.603081,13.6700,15.9900,13.4600,15.1100,140026165,2092955915.3600
47,2023-03-31,sh.603081,15.1100,17.0800,14.6800,16.3800,111298300,1757809681.6200
48,2023-04-28,sh.603081,16.2100,16.9800,14.0100,15.2200,105297220,1632724765.9500
49,2023-05-31,sh.603081,15.2200,16.8900,13.5900,16.5500,81710037,1235659679.5300
50,2023-06-30,sh.603081,16.7000,19.1300,16.1000,18.3800,93859425,1637900282.2100
51,2023-07-31,sh.603081,18.3800,18.4100,15.9200,16.2900,65239900,1104260267.8300
52,2023-08-31,sh.603081,16.3300,16.6200,14.3700,15.5500,47255915,737159149.9100
53,2023-09-28,sh.603081,15.6600,16.1400,13.0000,13.3400,75897703,1068761866.7200
54,2023-10-31,sh.603081,13.4400,13.6900,10.5500,10.8000,72221724,861555829.6700
55,2023-11-30,sh.603081,10.7900,11.8500,10.7500,11.1100,84596865,957548789.2400
56,2023-12-29,sh.603081,11.0700,13.7700,10.7500,13.6200,266563331,3278491688.3300
57,2024-01-31,sh.603081,13.3600,15.1500,10.1500,10.1600,251879854,3313877850.9500
58,2024-02-29,sh.603081,10.0400,11.1500,7.6200,10.1400,94303061,904748051.7600
59,2024-03-29,sh.603081,10.1900,12.8000,9.5700,10.7100,149259899,1674754030.5300
