,date,code,open,high,low,close,volume,amount
0,2019-04-30,sh.603126,7.3200,8.1500,6.0000,6.1900,288914376,2159335968.0000
1,2019-05-31,sh.603126,6.0000,6.1400,5.4900,5.5400,81781907,475074604.0000
2,2019-06-28,sh.603126,5.5500,5.9400,5.1400,5.6700,72490463,407177222.0000
3,2019-07-31,sh.603126,5.8000,6.0300,5.0600,5.1700,80429177,443580842.0000
4,2019-08-30,sh.603126,5.1400,5.2900,4.6000,5.0800,59624945,300782930.0000
5,2019-09-30,sh.603126,5.1200,5.6800,5.0600,5.1000,67790381,362948299.0000
6,2019-10-31,sh.603126,5.1000,5.4900,5.0700,5.1400,48658538,257969752.0000
7,2019-11-29,sh.603126,5.1600,5.2000,4.6000,4.6600,49792106,240491145.0000
8,2019-12-31,sh.603126,4.6600,4.9600,4.5200,4.9000,72265784,343907594.0000
9,2020-01-23,sh.603126,4.9400,4.9800,4.5500,4.6000,85027585,412270808.0000
10,2020-02-28,sh.603126,4.1400,4.6500,3.8900,4.2400,107998806,469511615.0000
11,2020-03-31,sh.603126,4.2500,4.9800,4.1800,4.3200,246345567,1145583809.0000
12,2020-04-30,sh.603126,4.3500,4.6300,3.9900,4.1600,94722320,415653384.0000
13,2020-05-29,sh.603126,4.1400,4.3200,4.0600,4.1400,42886033,178528665.0000
14,2020-06-30,sh.603126,4.1700,4.2800,3.9700,4.0100,56410240,233469363.0000
15,2020-07-31,sh.603126,4.0200,4.7200,3.9600,4.6100,193698393,852558671.0400
16,2020-08-31,sh.603126,4.6100,5.0800,4.5900,4.8400,179406073,869946214.3400
17,2020-09-30,sh.603126,4.8400,5.2500,4.4100,4.4400,145519466,690703757.2200
18,2020-10-30,sh.603126,4.4900,5.4000,4.4800,5.1100,171542666,861048276.0600
19,2020-11-30,sh.603126,5.0700,6.3000,4.7100,5.7100,404366686,2223779725.7000
20,2020-12-31,sh.603126,5.6900,6.5000,5.2500,6.1300,376849177,2248327699.8600
21,2021-01-29,sh.603126,6.1200,6.8600,5.3800,6.2400,340070660,2076658338.3900
22,2021-02-26,sh.603126,6.1500,6.4400,5.1000,6.0500,163725669,954410250.8000
23,2021-03-31,sh.603126,6.4900,14.1900,6.3800,10.3200,2329280603,25193636405.9000
24,2021-04-30,sh.603126,10.1000,12.2200,8.7300,8.8800,1463928914,15388285525.1200
25,2021-05-31,sh.603126,8.8800,12.1800,8.8500,11.7600,1211166131,12775973483.2800
26,2021-06-30,sh.603126,11.5100,11.6500,9.0000,9.1200,573823629,5884311675.7500
27,2021-07-30,sh.603126,9.1400,10.7000,8.0800,8.3700,470116366,4445899014.3700
28,2021-08-31,sh.603126,8.3700,8.9700,7.7100,8.9700,290171315,2434316635.1200
29,2021-09-30,sh.603126,9.4000,11.1100,8.7000,10.6700,862376924,8539492266.1900
30,2021-10-29,sh.603126,10.8200,11.0800,7.9500,8.2400,337104688,2995106668.0100
31,2021-11-30,sh.603126,8.2400,8.8500,7.7900,8.7600,293098417,2443980034.9800
32,2021-12-31,sh.603126,8.7600,9.2800,8.1700,8.3000,271972174,2372830974.0700
33,2022-01-28,sh.603126,8.3700,8.3700,7.1000,7.2200,109527588,870678396.9700
34,2022-02-28,sh.603126,7.3100,7.9700,7.3000,7.6500,81914258,630551538.2400
35,2022-03-31,sh.603126,7.7500,8.9100,6.3700,7.4900,281908190,2180045192.9000
36,2022-04-29,sh.603126,7.4500,7.4500,5.4000,5.9200,111842403,744715223.6800
37,2022-05-31,sh.603126,5.9000,7.7600,5.7600,7.3200,229309489,1570203530.3600
