,date,code,open,high,low,close,volume,amount
0,2020-04-30,sh.603212,15.0600,15.0600,15.0600,15.0600,272484,4103609.0000
1,2020-05-29,sh.603212,16.5700,32.9700,16.5700,24.2900,201637106,5840344461.0000
2,2020-06-30,sh.603212,24.4900,28.5000,23.9700,26.5100,162810367,4236659059.0000
3,2020-07-31,sh.603212,27.1200,32.8600,25.3000,28.4100,165777811,4746400960.0100
4,2020-08-31,sh.603212,28.2200,41.5000,28.2100,31.1800,172158109,5755296225.3700
5,2020-09-30,sh.603212,31.3000,36.2400,27.5000,29.8500,77463851,2468363041.5600
6,2020-10-30,sh.603212,31.0000,37.6600,30.5600,36.5700,53677139,1798777189.7600
7,2020-11-30,sh.603212,36.4100,40.9000,32.9000,33.1600,51473532,1885366212.6800
8,2020-12-31,sh.603212,33.2000,41.9400,33.1000,38.8800,61750532,2324244916.0600
9,2021-01-29,sh.603212,38.7800,41.2800,28.4200,28.7500,40861771,1450109369.3900
10,2021-02-26,sh.603212,28.6000,32.1400,27.0000,30.3300,19385670,574373929.1300
11,2021-03-31,sh.603212,30.5500,34.0000,28.1300,29.8100,24905637,775359536.5700
12,2021-04-30,sh.603212,29.7100,31.1800,27.0300,27.8900,22991578,669019789.7300
13,2021-05-31,sh.603212,27.8900,28.5200,21.5400,27.8400,52441100,1246558797.6100
14,2021-06-30,sh.603212,27.5000,32.2900,25.5100,32.2900,59042901,1647786032.7200
15,2021-07-30,sh.603212,33.0000,35.4000,27.0400,29.6200,99133448,2990669110.4800
16,2021-08-31,sh.603212,30.1600,37.8400,27.3000,35.7300,171871096,5452784205.8900
17,2021-09-30,sh.603212,36.9300,40.0000,31.4800,32.2600,127628223,4489918143.5900
18,2021-10-29,sh.603212,32.8000,32.8100,28.4000,30.1000,39589061,1211748273.5800
19,2021-11-30,sh.603212,30.0900,41.3100,29.2900,37.6100,176599927,6282324943.1400
20,2021-12-31,sh.603212,37.6000,38.0500,29.4000,31.1300,108832723,3596982220.9200
21,2022-01-28,sh.603212,31.5200,31.5200,25.2000,25.8900,34184767,966117242.8000
22,2022-02-28,sh.603212,26.1500,26.8200,23.7600,26.6800,39942285,1026702035.2600
23,2022-03-31,sh.603212,26.7000,27.3800,17.8600,18.5100,99978029,2132558205.7000
24,2022-04-29,sh.603212,18.4300,21.0000,16.7500,20.0000,111031206,2075027417.9500
25,2022-05-31,sh.603212,19.9500,25.2800,19.8000,24.4500,155237471,3557412037.4000
26,2022-06-30,sh.603212,24.4800,30.0000,23.6900,26.6100,178492804,4807512671.4100
27,2022-07-29,sh.603212,26.6300,27.3300,21.7100,24.9500,209297314,5144850921.3900
28,2022-08-31,sh.603212,24.9300,29.6700,22.6000,22.8000,275495818,7240482933.9000
29,2022-09-30,sh.603212,22.9900,25.4200,18.9400,19.8000,121496702,2718779333.0200
30,2022-10-31,sh.603212,19.8300,23.8000,19.3200,20.9300,110194085,2417507142.3300
31,2022-11-30,sh.603212,20.8800,36.6000,20.4900,32.6000,701645314,22239177601.8600
32,2022-12-30,sh.603212,32.9900,36.9800,26.9600,31.7000,498135992,16225974547.4900
33,2023-01-31,sh.603212,30.9700,36.0000,30.7000,32.0200,248142522,8293665702.9100
34,2023-02-28,sh.603212,32.4000,34.5000,28.3800,28.8500,314993043,9755690310.1200
35,2023-03-31,sh.603212,28.7400,28.7400,24.7200,25.4200,246437684,6521235323.1200
36,2023-04-28,sh.603212,25.3400,25.9400,20.5900,20.7600,170328273,4007498290.0500
37,2023-05-31,sh.603212,20.7600,21.9000,19.4300,19.4900,189643716,3909248504.2300
38,2023-06-30,sh.603212,19.4600,20.9700,18.1100,20.8100,186164222,3635683278.0200
39,2023-07-31,sh.603212,20.8900,22.6500,18.2800,18.9200,345230055,7055890489.7200
40,2023-08-31,sh.603212,18.8700,19.1500,15.8100,16.6400,138625905,2442244457.0500
41,2023-09-28,sh.603212,16.8200,18.6000,15.9300,16.4800,134840713,2293593267.5700
42,2023-10-31,sh.603212,16.3900,16.8000,14.6900,15.6700,82166689,1295322632.0800
43,2023-11-30,sh.603212,15.7700,17.0200,15.5100,15.5800,94483822,1539710652.7000
44,2023-12-29,sh.603212,15.5700,17.3700,14.2000,17.3700,87777605,1323243240.4000
45,2024-01-31,sh.603212,18.6500,19.9000,12.2500,12.4000,658460207,11313664685.1800
46,2024-02-29,sh.603212,12.3000,14.8600,10.4600,13.7700,254482885,3303815442.8500
47,2024-03-29,sh.603212,13.7600,14.8600,12.6000,12.7300,218705827,3062063979.6900
