,date,code,open,high,low,close,volume,amount
0,2019-04-30,sh.603266,20.6300,25.6000,20.2500,24.3700,186177742,4318039734.0000
1,2019-05-31,sh.603266,23.9000,23.9100,11.1800,13.9200,93800575,1470014597.0000
2,2019-06-28,sh.603266,15.3100,16.8100,11.7200,11.8700,197183631,2775807457.0000
3,2019-07-31,sh.603266,12.1000,13.6400,11.1100,12.7500,112343314,1395236308.0000
4,2019-08-30,sh.603266,12.7200,13.4200,10.7100,11.4600,85492091,1000270276.0000
5,2019-09-30,sh.603266,11.4200,13.7600,11.4200,12.5000,108714177,1361904323.0000
6,2019-10-31,sh.603266,12.5200,12.8800,11.1400,11.1600,39997215,486940317.0000
7,2019-11-29,sh.603266,11.2600,11.5800,10.2400,10.4800,30414643,332402822.0000
8,2019-12-31,sh.603266,10.4500,13.3200,10.3100,11.5100,146837941,1802169206.0000
9,2020-01-23,sh.603266,11.5700,14.5200,11.5000,12.1400,101212496,1289324937.0000
10,2020-02-28,sh.603266,10.9300,13.4500,9.8400,11.2600,110665894,1315199999.0000
11,2020-03-31,sh.603266,11.1500,12.3400,9.8500,9.9900,70864244,782511785.0000
12,2020-04-30,sh.603266,10.1000,13.0000,9.9100,10.6600,95788667,1065508196.0000
13,2020-05-29,sh.603266,10.6000,11.7300,10.3300,10.7000,86945266,965316848.0000
14,2020-06-30,sh.603266,11.3900,12.1100,10.9100,11.6800,108054048,1253244782.0000
15,2020-07-31,sh.603266,11.7100,14.4200,11.5800,12.9200,132871085,1693762224.0600
16,2020-08-31,sh.603266,12.9600,13.2000,11.7800,12.5800,51704207,648581268.4500
17,2020-09-30,sh.603266,12.6800,13.0800,10.8900,11.0300,43715583,532316165.9500
18,2020-10-30,sh.603266,11.1700,12.3000,11.1100,11.9500,22712912,267569129.1700
19,2020-11-30,sh.603266,11.8300,13.5400,11.7500,12.5300,71329286,902429293.6800
20,2020-12-31,sh.603266,12.3800,14.6800,10.6400,11.1800,115967573,1468488070.3000
21,2021-01-29,sh.603266,11.6600,12.3000,9.9800,10.2000,44859198,491977090.8800
22,2021-02-26,sh.603266,10.1000,10.5400,9.1800,10.2400,16594229,166144748.0200
23,2021-03-31,sh.603266,10.3000,10.7100,9.9500,10.3200,23758053,244796420.8200
24,2021-04-30,sh.603266,10.2500,11.4700,10.0500,11.2000,37190018,393664108.8800
25,2021-05-31,sh.603266,11.1800,11.5000,10.5200,11.3000,39677345,436607903.8900
26,2021-06-30,sh.603266,11.3300,12.2800,11.1800,12.2500,62649712,740694533.9500
27,2021-07-30,sh.603266,12.3000,12.9000,10.6100,11.0700,60676331,734376966.7100
28,2021-08-31,sh.603266,11.1900,12.4900,10.9300,11.6700,42183235,495541795.7400
29,2021-09-30,sh.603266,11.7000,12.2900,9.9100,10.1200,55752724,640606698.1600
30,2021-10-29,sh.603266,10.2200,10.5000,9.5000,9.9800,17176188,174352560.4700
31,2021-11-30,sh.603266,9.9800,13.0600,9.7300,12.4900,69452923,807777705.0600
32,2021-12-31,sh.603266,12.4700,15.1500,11.8000,13.4400,169843215,2261437650.3700
33,2022-01-28,sh.603266,13.4900,13.6200,10.9700,11.1500,52810045,659488228.2300
34,2022-02-28,sh.603266,11.4900,13.7700,11.0000,12.4100,66793420,850452014.6400
35,2022-03-31,sh.603266,12.4500,14.3400,11.6400,13.8500,149797859,1973619242.7700
36,2022-04-29,sh.603266,13.8300,21.2400,12.2200,13.7300,300984945,4814383863.2500
37,2022-05-31,sh.603266,14.1500,17.8000,13.2500,14.8400,361330338,5616777671.4800
38,2022-06-30,sh.603266,15.0500,16.4300,13.3100,14.9700,214849515,3212995683.1000
39,2022-07-29,sh.603266,15.0100,16.0400,13.9400,15.8900,141892651,2105221244.7000
40,2022-08-31,sh.603266,15.8700,18.7800,13.7400,13.8000,263386073,4325738714.3300
41,2022-09-30,sh.603266,13.8800,15.0800,12.4200,13.4000,57141124,794342235.4600
42,2022-10-31,sh.603266,13.4000,14.2000,12.6800,14.0900,39822816,544208544.3200
43,2022-11-30,sh.603266,14.1000,14.8200,13.4600,13.7700,72719760,1041095441.7300
44,2022-12-30,sh.603266,14.0300,14.0800,12.3300,12.4000,45169867,599876026.8700
45,2023-01-31,sh.603266,12.3600,14.1300,12.3000,14.0500,31162274,415599055.6300
46,2023-02-28,sh.603266,14.1400,14.5900,13.8200,14.0300,41578765,591272701.0300
47,2023-03-31,sh.603266,14.0300,14.2600,12.9400,13.9800,34878663,476152966.9700
48,2023-04-28,sh.603266,13.9800,14.0500,11.9200,12.7400,33415347,441108811.8200
49,2023-05-31,sh.603266,12.5800,13.3800,12.3000,13.1600,26781530,344147593.2000
50,2023-06-30,sh.603266,13.1700,14.4900,12.4200,13.9100,52685293,712269580.3400
51,2023-07-31,sh.603266,13.9900,16.9500,13.6400,14.1500,169006260,2573299253.2200
52,2023-08-31,sh.603266,14.1000,14.1800,12.6400,13.6800,38280608,517435701.8400
53,2023-09-28,sh.603266,13.6900,14.9000,13.0900,13.8500,57604048,798752410.2000
54,2023-10-31,sh.603266,14.0000,27.0600,14.0000,27.0600,301311879,5364408395.5300
55,2023-11-30,sh.603266,24.8800,47.9500,24.8800,29.7000,576528686,20365787183.5900
56,2023-12-29,sh.603266,29.5800,34.4400,26.8000,28.7400,458400583,13675229984.0600
57,2024-01-31,sh.603266,29.0000,29.0000,19.6600,19.8100,188827270,4568908043.6500
58,2024-02-29,sh.603266,19.9500,21.7700,14.5200,20.3000,183495194,3480287246.1300
59,2024-03-29,sh.603266,20.4700,26.5000,19.6500,20.5800,315961842,7212712739.5900
