,date,code,open,high,low,close,volume,amount
0,2019-05-31,sh.603327,10.1400,21.5600,10.1400,21.5600,1036806,19645531.0000
1,2019-06-28,sh.603327,23.7200,33.5600,23.7200,25.7100,416825966,11476183254.0000
2,2019-07-31,sh.603327,26.9500,28.8000,20.6000,25.8000,262345531,6639510348.0000
3,2019-08-30,sh.603327,24.6100,37.1500,24.5000,28.6400,398271891,11762311971.0000
4,2019-09-30,sh.603327,28.5000,34.0000,27.3000,27.4400,239536880,7529615784.0000
5,2019-10-31,sh.603327,27.5000,29.2000,24.5100,26.2100,84022794,2282967139.0000
6,2019-11-29,sh.603327,25.8500,27.6500,24.2000,24.5600,71268495,1833213363.0000
7,2019-12-31,sh.603327,24.6000,31.0000,24.6000,29.1900,126665525,3455444407.0000
8,2020-01-23,sh.603327,29.2400,35.8000,28.9100,32.0000,145373139,4698373227.0000
9,2020-02-28,sh.603327,28.8000,34.4500,26.4000,27.5300,153456934,4726332710.0000
10,2020-03-31,sh.603327,27.9900,30.9800,24.4000,24.7600,78691919,2181802318.0000
11,2020-04-30,sh.603327,24.7800,27.0000,22.3000,24.3600,45753665,1151888452.0000
12,2020-05-29,sh.603327,24.0300,26.6300,22.6800,24.2600,51625345,1292827776.0000
13,2020-06-30,sh.603327,23.8800,26.6900,23.5100,25.8300,69465170,1779183344.0000
14,2020-07-31,sh.603327,26.0900,31.8300,25.6200,29.0500,113713669,3264414551.9800
15,2020-08-31,sh.603327,29.3100,31.0100,26.4500,28.0300,95277612,2747793268.4000
16,2020-09-30,sh.603327,27.8000,27.9600,23.5700,23.9800,40997796,1057131524.2600
17,2020-10-30,sh.603327,24.4500,25.5300,23.8000,24.2900,19240541,477567241.4300
18,2020-11-30,sh.603327,24.2500,25.8600,23.9200,24.5100,28216217,706981684.6100
19,2020-12-31,sh.603327,24.4000,25.3400,18.6000,19.4900,39021296,857697540.8400
20,2021-01-29,sh.603327,19.4900,20.4600,17.3100,17.5600,32867886,622083905.5700
21,2021-02-26,sh.603327,17.6100,18.7500,15.7000,17.7800,22980188,400048169.5600
22,2021-03-31,sh.603327,17.7700,18.5600,16.3600,17.2000,27754539,486279316.8000
23,2021-04-30,sh.603327,17.0900,17.6600,14.4500,14.6200,27274073,444790318.1200
24,2021-05-31,sh.603327,14.6200,14.9900,14.0700,14.8600,18485735,268008037.8800
25,2021-06-30,sh.603327,14.8600,15.8600,14.6000,15.0900,24363991,372279100.7200
26,2021-07-30,sh.603327,15.1600,15.3100,13.6700,14.9500,25645201,374019820.6400
27,2021-08-31,sh.603327,14.8900,16.9000,14.5200,16.8400,61950399,975552092.9600
28,2021-09-30,sh.603327,16.8900,17.9500,14.4500,14.5500,49458882,826118296.5300
29,2021-10-29,sh.603327,14.5500,14.9800,12.5900,13.2000,12916034,179870432.7600
30,2021-11-30,sh.603327,13.2000,16.5500,13.0700,15.7400,37370102,568617512.6200
31,2021-12-31,sh.603327,15.7700,18.3600,15.1500,17.6000,56855547,936918851.0600
32,2022-01-28,sh.603327,19.1700,19.1700,14.4000,14.6500,29355967,493386039.9900
33,2022-02-28,sh.603327,14.7600,15.7500,14.4500,14.7800,10611021,158425570.3800
34,2022-03-31,sh.603327,14.9100,14.9300,12.2500,14.0900,20601389,280280887.7000
35,2022-04-29,sh.603327,13.9200,16.8000,12.0700,13.6300,51757448,742284354.7000
36,2022-05-31,sh.603327,13.8000,18.4200,13.7200,16.6800,55269359,872847441.2300
37,2022-06-30,sh.603327,16.8900,17.3000,12.5200,13.7500,59590008,825273770.3500
38,2022-07-29,sh.603327,13.8000,20.0000,12.8500,19.0600,149235710,2494444760.3900
39,2022-08-31,sh.603327,19.0600,25.3000,17.7500,17.8400,171440412,3559660312.4600
40,2022-09-30,sh.603327,17.9800,19.9300,15.9000,16.0700,92707102,1681297890.7500
41,2022-10-31,sh.603327,16.0700,17.9500,14.8800,15.0200,68782777,1130219024.4700
42,2022-11-30,sh.603327,14.9700,16.3800,14.0100,14.4200,86382213,1298386210.0200
43,2022-12-30,sh.603327,14.5300,16.2900,14.3000,16.0900,128510258,1965483441.1600
44,2023-01-31,sh.603327,15.9900,16.5500,15.0800,16.1400,66405416,1055212460.4600
45,2023-02-28,sh.603327,16.1500,17.6800,15.8400,16.0700,75116202,1258913203.0300
46,2023-03-31,sh.603327,16.0800,16.7400,15.3100,15.9100,54803588,883307546.6400
47,2023-04-28,sh.603327,15.8300,16.0300,13.5200,14.8200,53338543,792357487.3700
48,2023-05-31,sh.603327,14.8800,15.5000,11.3000,11.3800,27733376,399573348.3900
49,2023-06-30,sh.603327,11.3000,12.2900,10.3400,11.8800,85229026,955117085.2600
50,2023-07-31,sh.603327,11.9000,12.6800,11.8000,12.0900,77493351,945326298.9100
51,2023-08-31,sh.603327,12.0900,13.2000,11.1100,12.1300,85439094,1042936705.0700
52,2023-09-28,sh.603327,12.1700,12.8000,11.6800,12.3000,59550891,730790680.9600
53,2023-10-31,sh.603327,12.4000,14.5000,11.5300,14.1700,112721001,1465700292.0800
54,2023-11-30,sh.603327,13.8800,15.1500,13.2900,13.8000,214078090,3012562888.9400
55,2023-12-29,sh.603327,13.8000,15.4700,12.2200,13.3300,204608363,2829200674.5300
56,2024-01-31,sh.603327,13.2800,13.4600,9.7000,9.9500,70607716,826102817.9500
57,2024-02-29,sh.603327,9.9100,11.4600,7.6200,11.4600,92276873,885602072.2400
58,2024-03-29,sh.603327,12.6100,21.8000,12.6100,21.0000,1148738498,20516305771.7300
