,date,code,open,high,low,close,volume,amount
0,2019-04-30,sh.603336,18.9000,20.3700,15.7700,16.1100,134171396,2519515884.0000
1,2019-05-31,sh.603336,17.7200,24.2800,16.3500,18.5000,502727010,9916315736.0000
2,2019-06-28,sh.603336,18.1700,19.8700,16.0400,18.2100,342662855,6184108196.0000
3,2019-07-31,sh.603336,17.8000,19.5300,16.1400,16.9700,276801872,5009175882.0000
4,2019-08-30,sh.603336,16.7000,18.0500,16.0300,17.2700,215365471,3638477043.0000
5,2019-09-30,sh.603336,17.0600,17.9000,15.0000,15.3400,139776297,2371461575.0000
6,2019-10-31,sh.603336,15.3100,15.7900,14.3200,14.3300,54476017,821677611.0000
7,2019-11-29,sh.603336,14.3100,15.4000,12.5200,13.9500,126124809,1747880046.0000
8,2019-12-31,sh.603336,13.8800,14.9300,13.2300,13.8400,141057301,1985162443.0000
9,2020-01-23,sh.603336,13.8400,14.9600,13.0900,13.2400,90826934,1310239779.0000
10,2020-02-28,sh.603336,11.9200,16.6500,10.9100,14.2000,240975487,3559788186.0000
11,2020-03-31,sh.603336,14.3800,18.8500,13.4600,17.6300,333900646,5356993019.0000
12,2020-04-30,sh.603336,17.3000,18.1900,15.5100,16.2000,291462672,4880735052.0000
13,2020-05-29,sh.603336,16.2100,20.9700,12.5000,13.4000,383844595,6489882624.0000
14,2020-06-30,sh.603336,13.2700,14.3600,11.8100,12.0100,281393066,3686985606.0000
15,2020-07-31,sh.603336,11.9600,14.7000,11.8400,13.8700,416955193,5605641915.8000
16,2020-08-31,sh.603336,13.8700,15.4800,12.8300,13.4400,318874550,4422973632.0000
17,2020-09-30,sh.603336,13.4200,13.5200,11.0700,11.1700,97336774,1206463176.1300
18,2020-10-30,sh.603336,11.2800,11.8600,10.0400,10.0700,43128476,481905614.6700
19,2020-11-30,sh.603336,10.0200,12.4200,9.6800,12.4200,94397396,1000061039.2200
20,2020-12-31,sh.603336,13.0000,14.5500,10.2000,10.5700,676037728,8299039063.3800
21,2021-01-29,sh.603336,10.5600,11.2600,9.1500,10.1100,269671920,2779456344.8700
22,2021-02-26,sh.603336,9.9900,10.0200,8.5500,9.5000,124857971,1165999059.7000
23,2021-03-31,sh.603336,9.4800,10.1400,8.9800,9.3000,153646369,1463448268.9500
24,2021-04-30,sh.603336,9.3000,10.2400,9.1200,9.4100,146606077,1415433971.2300
25,2021-05-31,sh.603336,9.4100,9.8500,7.2300,7.4800,182451678,1461990429.7600
26,2021-06-30,sh.603336,7.4500,7.6400,7.0300,7.1600,128238891,940741330.9100
27,2021-07-30,sh.603336,7.2700,7.3400,6.2700,6.3900,120628356,806324516.9900
28,2021-08-31,sh.603336,6.4500,7.1900,6.3100,6.4300,118647697,810032197.3300
29,2021-09-30,sh.603336,6.4100,7.1500,6.3900,6.9000,116445454,780774437.1800
30,2021-10-29,sh.603336,6.9500,8.9900,6.9400,8.0700,373458627,2963070083.0600
31,2021-11-30,sh.603336,7.9100,9.7400,7.5400,7.8200,498540177,4207019539.7600
32,2021-12-31,sh.603336,7.8200,8.6000,7.6300,7.8100,286973948,2317583126.2100
33,2022-01-28,sh.603336,7.8400,9.2800,6.7500,7.0000,395127025,3287681490.2500
34,2022-02-28,sh.603336,7.0200,7.6800,6.9500,7.5500,148636665,1077373203.6400
35,2022-03-31,sh.603336,7.4000,8.1800,6.3400,7.6100,385090699,2826098462.8800
36,2022-04-29,sh.603336,7.6000,8.5300,5.6400,6.0600,599761027,4542095189.1800
37,2022-05-31,sh.603336,6.0600,6.6900,6.0000,6.6200,217391682,1369860887.6600
38,2022-06-30,sh.603336,6.5700,6.8800,6.1500,6.3900,219807534,1412078545.3200
39,2022-07-29,sh.603336,6.4000,6.5000,6.0100,6.3600,151603574,957093410.6500
40,2022-08-31,sh.603336,6.3800,7.5100,6.1500,6.8500,419251814,2830366623.1000
41,2022-09-30,sh.603336,6.8300,7.5000,5.9000,5.9900,251158836,1675471129.1900
42,2022-10-31,sh.603336,6.0300,6.3300,5.7600,6.1400,105488932,641483444.2200
43,2022-11-30,sh.603336,6.0900,6.6800,6.0900,6.5800,164128995,1057553117.5500
44,2022-12-30,sh.603336,6.6100,7.5600,6.5200,6.9600,306141006,2106674886.1400
45,2023-01-31,sh.603336,7.0200,7.0500,6.2900,6.5900,157697694,1042144432.9800
46,2023-02-28,sh.603336,6.5900,7.2700,6.5700,7.0300,177202704,1236776213.7300
47,2023-03-31,sh.603336,7.0600,7.5100,6.3600,6.5300,179948694,1241270105.1300
48,2023-04-28,sh.603336,6.5200,6.6600,6.0600,6.3500,87360173,557996332.7300
49,2023-05-31,sh.603336,6.3200,6.5600,6.2100,6.2600,63154508,405254210.9900
50,2023-06-30,sh.603336,6.2400,7.3200,4.7500,5.0300,171844548,1082734098.6800
51,2023-07-31,sh.603336,5.0700,5.4400,5.0000,5.4200,112172505,590921023.8600
52,2023-08-31,sh.603336,5.4100,6.3600,4.9300,5.1100,682598557,3832028865.0000
53,2023-09-28,sh.603336,5.1200,5.2400,4.9000,5.1000,175619617,892122114.2900
54,2023-10-31,sh.603336,5.1000,5.1000,4.6800,4.9600,113643911,558560321.5200
55,2023-11-30,sh.603336,4.9800,5.8700,4.9500,5.3200,357026466,1913150598.0600
56,2023-12-29,sh.603336,5.3000,5.7400,4.9300,5.1100,364495371,1970387397.0400
57,2024-01-31,sh.603336,5.1000,5.3700,4.4000,4.4200,170983154,848578320.2000
58,2024-02-29,sh.603336,4.4000,4.4400,3.0500,3.9300,253735384,941709073.2200
59,2024-03-29,sh.603336,3.9300,4.3900,3.7700,4.1800,228336717,930171996.0100
