,date,code,open,high,low,close,volume,amount
0,2019-04-30,sh.603351,57.8200,61.9700,53.9900,54.9600,23034026,1354644957.0000
1,2019-05-31,sh.603351,53.8100,54.4400,35.0100,37.8000,14063450,654937612.0000
2,2019-06-28,sh.603351,37.5000,37.8700,33.5000,34.6700,14410776,506411459.0000
3,2019-07-31,sh.603351,35.3000,36.3000,32.5000,33.0000,15173111,522788882.0000
4,2019-08-30,sh.603351,32.9000,37.7900,30.3600,34.0700,24298455,825705110.0000
5,2019-09-30,sh.603351,33.9500,36.5400,32.9500,33.1100,19283309,678139588.0000
6,2019-10-31,sh.603351,33.1800,34.6900,32.7300,32.8800,6767168,227792388.0000
7,2019-11-29,sh.603351,32.8300,33.8800,30.5900,30.7900,7999102,256902794.0000
8,2019-12-31,sh.603351,30.6900,35.6100,30.5400,35.3100,13979829,461392986.0000
9,2020-01-23,sh.603351,35.0500,35.8900,32.6000,32.9100,14127460,493088195.0000
10,2020-02-28,sh.603351,30.8000,34.0000,29.5300,30.5300,18185811,585820409.0000
11,2020-03-31,sh.603351,30.5300,32.8500,29.2000,30.6500,14863879,464785944.0000
12,2020-04-30,sh.603351,30.4000,35.2800,29.6100,31.5200,25207542,821603098.0000
13,2020-05-29,sh.603351,31.1100,33.6900,22.7800,24.3600,14522202,418398024.0000
14,2020-06-30,sh.603351,24.7400,26.6300,22.5200,23.3600,39084076,943050135.0000
15,2020-07-31,sh.603351,23.2800,38.3100,23.1300,34.5600,157855289,4779006500.3400
16,2020-08-31,sh.603351,36.1000,38.0200,27.0200,28.6400,71168126,2318072332.4200
17,2020-09-30,sh.603351,28.6400,29.2500,25.1200,25.6000,29727897,809376354.1800
18,2020-10-30,sh.603351,25.8800,27.7500,22.8100,22.9300,16071574,412753929.0500
19,2020-11-30,sh.603351,22.9800,24.7900,22.1300,23.6400,25100479,588746897.4900
20,2020-12-31,sh.603351,23.5100,26.5000,22.3000,22.8000,39722124,972541335.3700
21,2021-01-29,sh.603351,22.8000,23.9000,18.7300,19.9900,20178131,432083617.7000
22,2021-02-26,sh.603351,19.8500,21.3800,18.6600,20.8400,15725435,318591734.3200
23,2021-03-31,sh.603351,21.1800,22.6000,19.6400,22.3600,27578118,583797264.7100
24,2021-04-30,sh.603351,22.3600,22.8500,20.4200,21.0400,13816124,304249165.6000
25,2021-05-31,sh.603351,21.0100,22.2500,19.7700,21.6500,14953381,318687123.4800
26,2021-06-30,sh.603351,21.5600,22.2000,19.7000,20.1200,20612925,436561145.3400
27,2021-07-30,sh.603351,20.0800,20.4400,17.0800,18.3600,12388903,236448108.8400
28,2021-08-31,sh.603351,18.3500,19.7400,17.7100,18.8100,12664147,238865640.0200
29,2021-09-30,sh.603351,18.6400,33.0000,18.4500,31.0800,104270864,2921882191.6700
30,2021-10-29,sh.603351,30.3200,31.0000,22.7000,23.3000,46713516,1202428990.1000
31,2021-11-30,sh.603351,22.8800,37.9600,21.7500,35.2100,121473799,3480713988.0400
32,2021-12-31,sh.603351,34.8100,42.6200,28.0600,39.1700,126516142,4337671169.2300
33,2022-01-28,sh.603351,40.1100,40.2100,28.0600,31.2700,65761102,2248509237.9400
34,2022-02-28,sh.603351,31.2000,33.5000,26.0100,32.1800,36622076,1085937877.1900
35,2022-03-31,sh.603351,32.4500,35.2100,26.6800,27.2600,65205756,1967013195.9200
36,2022-04-29,sh.603351,27.1800,27.8000,18.3700,20.9900,42308716,939522883.5200
37,2022-05-31,sh.603351,20.1600,24.1200,20.1600,21.6900,44459551,995765660.1800
38,2022-06-30,sh.603351,21.6900,24.8500,21.2400,23.2300,45364259,1040031095.6600
39,2022-07-29,sh.603351,23.4900,23.9200,20.6000,20.7900,26120037,571019103.3300
40,2022-08-31,sh.603351,20.7400,23.9500,19.6000,22.3600,35889394,784137465.1900
41,2022-09-30,sh.603351,22.3500,23.2500,19.6600,19.9000,19785407,428946086.4800
42,2022-10-31,sh.603351,19.9000,24.9000,19.1500,22.0900,35751382,809725918.5400
43,2022-11-30,sh.603351,22.7900,28.6900,22.1100,23.3500,68147879,1666205293.8500
44,2022-12-30,sh.603351,23.4000,26.5000,21.2900,21.6300,48105467,1144033309.2300
45,2023-01-31,sh.603351,21.6800,26.3500,21.6300,25.5600,16046590,384654651.0400
46,2023-02-28,sh.603351,25.4900,26.4900,24.6000,25.5700,13863949,355900017.5900
47,2023-03-31,sh.603351,25.4900,26.2300,24.0100,25.4700,17771700,445132934.7600
48,2023-04-28,sh.603351,25.4000,25.5600,22.9700,24.8400,11571513,282041911.5500
49,2023-05-31,sh.603351,24.8400,27.6800,24.6600,26.5400,16640606,441005735.6400
50,2023-06-30,sh.603351,26.6400,27.9700,24.8500,26.8200,14831556,386672737.2400
51,2023-07-31,sh.603351,26.8200,29.3500,26.0600,28.5500,17595049,484822257.4700
52,2023-08-31,sh.603351,28.1500,29.8000,24.7100,25.8800,26798640,734116308.0200
53,2023-09-28,sh.603351,26.1000,26.2000,24.7600,25.6600,9232690,234615065.4000
54,2023-10-31,sh.603351,25.5000,27.3000,23.8000,27.1300,10474888,267393956.0000
55,2023-11-30,sh.603351,27.1200,27.8800,26.1200,27.5200,10269539,277949653.8200
56,2023-12-29,sh.603351,27.5700,27.7300,25.5100,26.3700,9012779,239547592.9300
57,2024-01-31,sh.603351,26.3300,26.9600,21.4000,21.6000,13769808,337486338.9100
58,2024-02-29,sh.603351,21.6000,22.4700,17.6500,21.1100,11673762,235216570.2000
59,2024-03-29,sh.603351,21.1500,23.8200,20.6000,22.4900,10570649,231687269.9700
