,date,code,open,high,low,close,volume,amount
0,2019-04-30,sh.603368,30.9000,37.3500,30.9000,36.5200,87903857,3046718022.0000
1,2019-05-31,sh.603368,34.8000,37.1500,33.1000,34.5100,41141726,1443695005.0000
2,2019-06-28,sh.603368,34.7400,34.9300,30.3900,32.8800,33786259,1094798224.0000
3,2019-07-31,sh.603368,33.5000,35.3000,32.2100,34.5100,49125671,1668082996.0000
4,2019-08-30,sh.603368,34.4000,39.3600,32.0000,37.4500,50864421,1847303759.0000
5,2019-09-30,sh.603368,37.4500,38.7700,34.8100,35.7600,55554469,2057217007.0000
6,2019-10-31,sh.603368,35.5200,37.9700,34.9000,35.4000,38863630,1411780412.0000
7,2019-11-29,sh.603368,35.3100,37.3700,31.7000,33.6700,50060521,1750299735.0000
8,2019-12-31,sh.603368,33.6200,34.4900,32.2700,33.6400,36454000,1218556583.0000
9,2020-01-23,sh.603368,33.7700,36.3200,33.0500,34.5600,67562791,2344842011.0000
10,2020-02-28,sh.603368,32.8600,40.6600,31.8000,32.9000,108235517,3877169048.0000
11,2020-03-31,sh.603368,33.1000,34.6000,29.3700,31.4400,55063930,1786852908.0000
12,2020-04-30,sh.603368,31.2400,36.4800,30.6000,33.6700,59990085,2006926043.0000
13,2020-05-29,sh.603368,33.4000,33.5700,31.2500,32.0300,48167534,1559616584.0000
14,2020-06-30,sh.603368,32.0900,34.5900,22.7000,22.9500,77425503,2383462685.0000
15,2020-07-31,sh.603368,23.0800,27.2200,22.8800,26.5700,234372388,5896366090.1400
16,2020-08-31,sh.603368,27.0000,27.7400,24.5600,25.4200,160410944,4186423179.1600
17,2020-09-30,sh.603368,25.5000,25.8800,23.0200,23.2900,71861299,1758235655.2600
18,2020-10-30,sh.603368,23.4500,23.9600,22.0500,23.4200,53142744,1232711677.2100
19,2020-11-30,sh.603368,23.4700,25.6600,23.1200,23.5800,100974052,2486565499.6000
20,2020-12-31,sh.603368,23.5200,23.9500,21.0000,21.5400,53422208,1207380456.7200
21,2021-01-29,sh.603368,21.5200,22.2200,20.0200,20.2700,55758612,1182122524.2200
22,2021-02-26,sh.603368,20.2100,22.1000,19.8100,20.9900,32261603,677138461.8300
23,2021-03-31,sh.603368,21.0300,22.9800,20.9200,22.6600,43255049,939130739.8200
24,2021-04-30,sh.603368,22.6200,23.8600,22.1300,22.6400,65932492,1510328250.1900
25,2021-05-31,sh.603368,22.6600,22.7500,20.1200,20.7000,73424436,1531903045.5500
26,2021-06-30,sh.603368,20.6600,21.0900,19.0800,19.7400,46619968,931638715.7000
27,2021-07-30,sh.603368,19.7400,20.9000,19.6000,19.9900,60619871,1222553390.1500
28,2021-08-31,sh.603368,19.9200,20.7000,16.0400,16.4000,69274474,1255961282.7900
29,2021-09-30,sh.603368,16.4100,17.0200,16.2000,16.3100,46053064,768911792.2300
30,2021-10-29,sh.603368,16.3800,16.9500,15.0500,15.2300,28095717,454232971.0000
31,2021-11-30,sh.603368,15.2700,16.1600,15.1100,15.9400,39038439,612025258.0000
32,2021-12-31,sh.603368,15.9200,19.0400,15.8500,19.0400,138140950,2402914459.3500
33,2022-01-28,sh.603368,20.0200,23.3800,16.3000,16.4300,359315357,7342537067.8800
34,2022-02-28,sh.603368,16.6200,17.4300,16.3000,17.0400,120244722,2021821303.9300
35,2022-03-31,sh.603368,17.1300,20.0000,15.7800,17.7100,422634948,7654432635.2000
36,2022-04-29,sh.603368,17.4700,18.2500,13.3900,15.1700,128931498,2066142641.1400
37,2022-05-31,sh.603368,15.1100,16.1100,14.7500,15.9200,91679483,1412359341.1800
38,2022-06-30,sh.603368,15.9200,17.8000,15.2300,17.2200,143133852,2327494816.2500
39,2022-07-29,sh.603368,17.1400,18.0400,16.1300,16.7000,158865377,2726582200.5700
40,2022-08-31,sh.603368,16.5800,16.8900,15.4200,16.4200,82617681,1342393532.7700
41,2022-09-30,sh.603368,16.4900,16.7000,14.5000,15.6000,52158543,833443251.2100
42,2022-10-31,sh.603368,15.4300,18.4500,14.9100,17.9800,85982413,1480640219.5100
