,date,code,open,high,low,close,volume,amount
0,2019-04-30,sh.603396,43.3100,46.8700,33.8500,36.0600,33263275,1314882292.0000
1,2019-05-31,sh.603396,35.0800,36.7200,28.3000,32.4200,35594906,1162831939.0000
2,2019-06-28,sh.603396,32.8500,33.7000,21.5600,21.9900,34188609,1038758762.0000
3,2019-07-31,sh.603396,22.2200,22.6700,19.1700,20.2500,32349328,671173678.0000
4,2019-08-30,sh.603396,20.1800,21.3000,18.2100,18.8700,38830783,759942841.0000
5,2019-09-30,sh.603396,18.9200,21.6700,18.9200,19.2300,39097623,789373662.0000
6,2019-10-31,sh.603396,19.1800,20.3000,17.6700,17.6700,18041079,346900409.0000
7,2019-11-29,sh.603396,17.6700,18.4000,16.6300,16.8600,9954549,172624581.0000
8,2019-12-31,sh.603396,16.8500,23.7500,16.7100,21.4300,45475370,912809058.0000
9,2020-01-23,sh.603396,21.2500,30.9000,20.8200,23.2500,98399355,2577386178.0000
10,2020-02-28,sh.603396,20.9300,29.1900,18.8500,23.0600,71282536,1860082563.0000
11,2020-03-31,sh.603396,23.4300,25.3000,18.6000,18.7000,34411063,773545216.0000
12,2020-04-30,sh.603396,18.7900,20.2900,16.9900,19.3700,41076621,783357238.0000
13,2020-05-29,sh.603396,20.0000,23.4800,19.5500,21.7100,46147625,986802813.0000
14,2020-06-30,sh.603396,22.5000,28.5000,21.8000,27.3100,59477706,1490439678.0000
15,2020-07-31,sh.603396,27.6700,30.8500,23.6000,29.6500,68493811,1868103824.4600
16,2020-08-31,sh.603396,30.1700,38.4000,28.5000,32.8000,51670083,1748735322.5500
17,2020-09-30,sh.603396,32.8000,43.4400,30.6700,39.2500,46748134,1780347067.8900
18,2020-10-30,sh.603396,41.0000,48.9500,38.5000,38.5000,36132231,1601740736.5400
19,2020-11-30,sh.603396,38.9200,39.9300,28.9800,30.7600,69860263,2325375240.1500
20,2020-12-31,sh.603396,30.6600,52.4200,30.3500,45.4100,159358944,6670346055.0800
21,2021-01-29,sh.603396,45.3600,48.9900,36.9500,37.8500,80070028,3355545672.4400
22,2021-02-26,sh.603396,37.2000,37.6600,31.5600,32.3200,27797482,972726681.6800
23,2021-03-31,sh.603396,32.8600,34.4800,29.0300,31.3000,36530560,1152651594.7100
24,2021-04-30,sh.603396,31.1400,33.3000,28.1000,31.0800,33495257,1022167155.3500
25,2021-05-31,sh.603396,30.9300,39.6900,30.9300,39.6900,58579485,2022766916.8700
26,2021-06-30,sh.603396,40.9000,57.1100,36.7300,57.1100,125411937,5379757560.4600
27,2021-07-30,sh.603396,59.0000,106.2000,55.1800,100.3700,156515683,11496034712.8300
28,2021-08-31,sh.603396,101.0000,201.3000,85.3900,171.5000,109727545,14932771416.3400
29,2021-09-30,sh.603396,166.0700,169.9000,113.0000,124.1100,105278506,14901829242.4300
30,2021-10-29,sh.603396,126.9900,151.9900,112.0000,141.9000,62349550,8611484124.8000
31,2021-11-30,sh.603396,147.4000,151.9900,113.8800,148.6000,115484058,15305365401.8200
32,2021-12-31,sh.603396,146.3200,166.0900,121.1000,123.0000,90160049,12808045651.2300
33,2022-01-28,sh.603396,122.9600,122.9600,73.1100,75.0000,96519365,8444508471.1400
34,2022-02-28,sh.603396,76.7000,83.9000,67.5000,82.9000,93840575,7176996866.8700
35,2022-03-31,sh.603396,85.0000,86.6800,63.6000,64.0400,132176664,9847618266.8100
36,2022-04-29,sh.603396,63.9500,64.8800,41.0000,48.0300,61458610,3256771131.7400
37,2022-05-31,sh.603396,47.5000,61.7600,47.0500,56.5000,77434428,4246711201.7700
38,2022-06-30,sh.603396,56.1700,107.7900,55.4800,91.0300,221043179,18082076636.2800
39,2022-07-29,sh.603396,90.0000,119.7600,83.5000,115.2000,178087112,16885647086.3900
40,2022-08-31,sh.603396,117.0500,150.1800,105.0500,110.7700,217272989,27582024200.3000
41,2022-09-30,sh.603396,111.1800,128.0000,86.8000,88.8800,118225730,12629382141.4200
42,2022-10-31,sh.603396,88.6400,104.0000,81.6600,91.3100,96069540,8787094442.9500
43,2022-11-30,sh.603396,92.2000,113.3200,89.2000,94.7600,134422435,13782008829.2000
44,2022-12-30,sh.603396,95.1000,98.3500,71.5700,83.2400,80328613,6843523092.1800
45,2023-01-31,sh.603396,83.0500,94.2300,81.7100,92.8200,62862472,5523273049.9400
46,2023-02-28,sh.603396,93.0000,93.4800,78.3900,80.3600,56029190,4795516289.4000
47,2023-03-31,sh.603396,79.9800,80.7800,68.4100,70.9900,49648917,3634325606.1200
48,2023-04-28,sh.603396,70.7300,72.8000,59.8200,65.2600,54309017,3663280177.7200
49,2023-05-31,sh.603396,64.9600,72.1600,60.7100,61.4000,60774850,4015910426.0200
50,2023-06-30,sh.603396,61.5300,67.2200,56.3400,65.6000,53209778,3268155102.7800
51,2023-07-31,sh.603396,66.1100,70.8000,57.5000,59.1800,61235667,3932529114.2300
52,2023-08-31,sh.603396,58.8800,61.9500,49.4000,52.7300,36273435,2000332243.1000
53,2023-09-28,sh.603396,52.9000,54.8800,48.3700,51.2000,27416016,1409451643.7200
54,2023-10-31,sh.603396,51.2000,51.6700,44.5600,48.2800,25451248,1238709081.8700
55,2023-11-30,sh.603396,48.2800,52.9800,46.7000,48.0600,29962361,1498025195.7800
56,2023-12-29,sh.603396,48.0800,54.6500,42.6100,54.6500,47134407,2257697926.4500
57,2024-01-31,sh.603396,53.8000,63.1200,38.6600,38.6600,199325697,10943275876.9300
