,date,code,open,high,low,close,volume,amount
0,2019-04-30,sh.603516,28.1100,29.4300,22.3800,24.6800,45406206,1238450336.0000
1,2019-05-31,sh.603516,24.3800,24.3800,20.3500,23.0300,28021210,619667832.0000
2,2019-06-28,sh.603516,23.0300,26.7400,22.3300,25.3300,27679107,682536953.0000
3,2019-07-31,sh.603516,25.9900,28.9400,23.7000,27.3900,54167525,1427469188.0000
4,2019-08-30,sh.603516,27.3100,36.2800,26.9300,31.7700,124106805,4008970661.0000
5,2019-09-30,sh.603516,32.0000,39.0000,30.2300,31.2500,81202634,2772911856.0000
6,2019-10-31,sh.603516,31.6500,36.8700,31.0400,36.0000,52456351,1808998888.0000
7,2019-11-29,sh.603516,35.8100,36.4700,31.3000,36.0200,45711028,1564957337.0000
8,2019-12-31,sh.603516,36.4800,41.5000,34.4700,37.9900,77905619,2975584203.0000
9,2020-01-23,sh.603516,38.5000,51.6900,37.8800,45.5200,58746978,2685768945.0000
10,2020-02-28,sh.603516,40.9700,54.9800,40.9700,47.4500,86763857,4185221578.0000
11,2020-03-31,sh.603516,48.0000,50.2600,38.0000,39.1600,60725800,2665835340.0000
12,2020-04-30,sh.603516,39.0000,40.8600,35.1600,38.2000,36305172,1405918239.0000
13,2020-05-29,sh.603516,37.8800,40.5000,34.5200,34.6000,32691503,1229980360.0000
14,2020-06-30,sh.603516,35.1700,39.2100,34.8700,38.1800,41513333,1533550976.0000
15,2020-07-31,sh.603516,38.3000,43.8000,35.5000,36.2900,67940674,2656467358.4900
16,2020-08-31,sh.603516,36.8600,43.9800,36.5000,40.8100,56818601,2283983195.3300
17,2020-09-30,sh.603516,40.0800,41.5000,32.3000,33.9400,31604296,1146923690.6400
18,2020-10-30,sh.603516,34.2900,38.4300,33.9700,36.0900,25802593,930271336.3300
19,2020-11-30,sh.603516,35.6500,38.0000,32.4000,33.0000,19071822,666022582.2300
20,2020-12-31,sh.603516,33.0000,34.9400,30.0000,32.3000,20553302,664694844.1800
21,2021-01-29,sh.603516,32.0000,34.1000,27.8200,28.1000,20528528,633044924.1700
22,2021-02-26,sh.603516,27.6500,35.6900,26.8000,34.1600,19660478,621844385.4200
23,2021-03-31,sh.603516,34.4500,39.7000,33.0600,37.3600,40305621,1461648790.2600
24,2021-04-30,sh.603516,37.2300,39.0000,23.7100,24.1400,32022918,928378490.5600
