,date,code,open,high,low,close,volume,amount
0,2019-04-30,sh.603520,29.6500,33.5500,29.3200,33.2900,23787077,745643958.0000
1,2019-05-31,sh.603520,32.7100,36.5500,28.8800,29.0800,44056252,1429941973.0000
2,2019-06-28,sh.603520,29.1100,34.1800,22.7200,23.1000,21233578,605673896.0000
3,2019-07-31,sh.603520,23.4700,24.9800,20.6300,22.0300,42387885,967695746.0000
4,2019-08-30,sh.603520,21.7400,26.4400,20.6500,25.5000,39834931,944551597.0000
5,2019-09-30,sh.603520,26.1000,35.4400,25.5000,33.8000,73717807,2317963309.0000
6,2019-10-31,sh.603520,34.5000,45.8900,33.6800,44.9900,55961477,2261528050.0000
7,2019-11-29,sh.603520,45.0000,46.9900,37.1000,44.8400,73543374,3056921477.0000
8,2019-12-31,sh.603520,43.1200,46.2500,38.5000,42.5000,52721297,2221381249.0000
9,2020-01-23,sh.603520,42.5100,51.2000,39.6000,46.8000,32154531,1394816839.0000
10,2020-02-28,sh.603520,42.1700,58.7800,42.1700,55.1200,46706644,2367887689.0000
11,2020-03-31,sh.603520,55.1100,63.4400,49.9000,58.9800,49818265,2815132394.0000
12,2020-04-30,sh.603520,58.9800,74.9500,57.9800,62.0200,50356062,3322623573.0000
13,2020-05-29,sh.603520,61.7600,87.9700,61.6200,87.9700,44404798,3316178999.0000
14,2020-06-30,sh.603520,64.2500,88.6000,59.1300,84.0600,85666425,6464793860.0000
15,2020-07-31,sh.603520,83.5000,88.5400,68.4200,71.9800,160777392,12327712307.0500
16,2020-08-31,sh.603520,71.7000,96.6100,69.0900,94.5300,90223896,7153250477.1100
17,2020-09-30,sh.603520,94.9400,98.5000,72.0900,79.1100,61323410,4952972615.9500
18,2020-10-30,sh.603520,79.2000,85.4000,62.6300,69.7400,47335805,3497231252.8500
19,2020-11-30,sh.603520,70.5900,72.8500,59.2600,62.4100,65366417,4267414525.0500
20,2020-12-31,sh.603520,62.0600,76.0000,61.6400,65.8300,86917890,5902049638.8000
21,2021-01-29,sh.603520,65.7800,73.6400,57.1100,58.8000,89655986,5745798185.7700
22,2021-02-26,sh.603520,58.6100,69.5000,52.9200,64.2600,90831578,5400232418.9800
23,2021-03-31,sh.603520,64.8500,69.3700,55.5500,58.6400,47657764,2889250501.2000
24,2021-04-30,sh.603520,58.3200,68.9000,54.7000,66.8000,86370721,5397420233.1700
25,2021-05-31,sh.603520,66.0000,74.4500,59.3500,71.7100,66110290,4401039221.8300
26,2021-06-30,sh.603520,72.4200,80.1700,60.7500,61.6500,90669646,6352204097.2600
27,2021-07-30,sh.603520,61.0700,63.0000,41.0500,41.9500,89842489,4600238051.7100
28,2021-08-31,sh.603520,42.5000,46.5800,38.1100,38.7400,95960294,4040714654.0700
29,2021-09-30,sh.603520,38.5000,55.5000,37.5400,49.7900,99198694,4777147452.5200
30,2021-10-29,sh.603520,50.3700,60.0000,47.1800,49.9100,64731660,3446752363.5200
31,2021-11-30,sh.603520,49.8900,66.0000,49.1000,61.8900,98409524,6001358178.6400
32,2021-12-31,sh.603520,61.8900,68.0000,57.7000,65.0000,67759804,4265846210.1600
33,2022-01-28,sh.603520,63.6100,63.6900,50.0000,53.2800,53294020,3018808831.1200
34,2022-02-28,sh.603520,55.0000,56.5000,49.2600,55.4400,35005759,1845800417.8600
35,2022-03-31,sh.603520,55.3000,65.7400,49.5000,58.8100,138333592,8171218826.1800
36,2022-04-29,sh.603520,58.2000,58.5500,37.8000,44.6900,68683859,3184615984.3900
37,2022-05-31,sh.603520,43.8600,50.5600,42.8100,44.8400,51049659,2344417738.5000
38,2022-06-30,sh.603520,44.8800,45.9600,27.5100,28.1200,120869558,4098871007.1200
39,2022-07-29,sh.603520,28.0000,31.7500,21.0900,21.8800,283280452,6986800207.7900
40,2022-08-31,sh.603520,21.8000,22.6000,19.3100,19.4400,142057593,2982905776.6500
41,2022-09-30,sh.603520,19.4900,19.6800,16.0700,17.1900,142459874,2571005890.0700
42,2022-10-31,sh.603520,17.3000,19.4000,15.6000,17.3800,155545758,2757429671.7200
43,2022-11-30,sh.603520,17.5400,21.8500,17.2500,18.1000,332082622,6664708058.7600
44,2022-12-30,sh.603520,18.2800,20.8200,17.6900,19.5700,238358036,4633943620.1100
45,2023-01-31,sh.603520,19.6500,23.4800,19.6400,22.0500,157229704,3371582746.5800
46,2023-02-28,sh.603520,22.0500,23.4700,20.4200,22.2300,147009674,3220965187.9600
47,2023-03-31,sh.603520,22.1900,22.2600,18.4600,18.9900,122473065,2453324890.4300
48,2023-04-28,sh.603520,18.8700,19.1800,16.6600,17.3100,103067478,1849051001.1400
49,2023-05-31,sh.603520,17.3000,17.6400,16.0300,17.1000,88531257,1493699298.0600
50,2023-06-30,sh.603520,17.1000,17.3800,15.9800,16.6800,69712802,1161541318.8200
