,date,code,open,high,low,close,volume,amount
0,2019-04-30,sh.603587,27.2600,29.9000,24.4000,25.5500,75342537,2053549698.0000
1,2019-05-31,sh.603587,24.6800,25.2800,22.5200,23.3100,34890915,831969277.0000
2,2019-06-28,sh.603587,23.2900,23.3900,20.4800,22.7400,30375967,667052355.0000
3,2019-07-31,sh.603587,22.7600,23.7600,21.4000,22.0000,29839318,677761393.0000
4,2019-08-30,sh.603587,21.8800,22.3500,20.2000,21.8000,25994748,555194301.0000
5,2019-09-30,sh.603587,21.8800,23.4600,21.8800,22.3200,21413591,486760807.0000
6,2019-10-31,sh.603587,22.3400,23.7000,21.6000,23.1200,20177548,456486099.0000
7,2019-11-29,sh.603587,23.1500,25.2000,22.7100,22.8600,38199585,920883395.0000
8,2019-12-31,sh.603587,22.9900,26.0800,22.7600,25.3800,44350603,1098169249.0000
9,2020-01-23,sh.603587,25.5200,28.4000,25.1100,25.6900,37085552,994163242.0000
10,2020-02-28,sh.603587,23.1200,24.1800,21.0000,21.7000,57811716,1316335302.0000
11,2020-03-31,sh.603587,21.6400,24.5000,20.1900,21.0100,36169873,811055336.0000
12,2020-04-30,sh.603587,21.0100,22.3700,19.7100,21.5500,40285280,849914312.0000
13,2020-05-29,sh.603587,21.4000,23.4500,16.6000,17.9900,41015159,853550216.0000
14,2020-06-30,sh.603587,18.2200,18.3600,16.2800,16.8500,50431963,863347178.0000
15,2020-07-31,sh.603587,16.8500,19.4200,16.8000,18.8100,80405661,1487250739.6200
16,2020-08-31,sh.603587,18.8100,23.3000,17.1500,22.3400,95850907,1884711252.2900
17,2020-09-30,sh.603587,22.4600,23.9600,20.1000,20.2400,100879564,2222072283.4600
18,2020-10-30,sh.603587,20.4600,23.3500,20.3600,21.5800,66640739,1474276480.9700
19,2020-11-30,sh.603587,21.6600,24.8600,19.8900,19.8900,84903761,1901540821.1300
20,2020-12-31,sh.603587,19.8000,20.2300,17.7000,19.0700,55213736,1048118797.4300
21,2021-01-29,sh.603587,19.0300,19.5500,16.5300,16.9100,71096808,1252677601.0300
22,2021-02-26,sh.603587,16.9800,20.1400,15.6700,18.9000,57955330,1040172912.3600
23,2021-03-31,sh.603587,19.0000,20.8800,18.7600,19.9400,74214005,1468810375.7100
24,2021-04-30,sh.603587,20.0000,20.5000,18.2600,19.1500,47886913,932064593.6900
25,2021-05-31,sh.603587,19.1500,22.7600,19.1500,20.1800,88486301,1863136255.1900
26,2021-06-30,sh.603587,20.2500,25.2800,19.1000,24.9100,73382300,1574527359.2500
27,2021-07-30,sh.603587,24.6800,27.3900,20.8000,21.6100,83442729,2053050323.4900
28,2021-08-31,sh.603587,21.7800,23.2200,20.0100,21.2400,64323070,1393365363.6100
29,2021-09-30,sh.603587,21.3400,24.3800,19.2300,19.8300,54982138,1199871460.3000
30,2021-10-29,sh.603587,19.7800,21.0800,18.4100,18.7400,22892711,456140396.2800
31,2021-11-30,sh.603587,18.7300,19.4900,18.1200,18.3000,39446089,738007116.6800
32,2021-12-31,sh.603587,18.2700,19.8800,18.0000,19.1600,59522884,1115277856.6300
33,2022-01-28,sh.603587,19.2000,20.2500,17.2300,17.4700,47339105,907031311.9100
34,2022-02-28,sh.603587,17.7700,18.2200,17.2300,17.4100,16121413,288039786.3800
35,2022-03-31,sh.603587,17.4100,18.1100,14.7400,16.3000,45895010,748022582.5300
36,2022-04-29,sh.603587,16.1400,17.3800,14.2000,14.4700,47439962,768095010.2100
37,2022-05-31,sh.603587,14.5000,15.4700,14.3200,15.4600,37849591,562478437.4900
38,2022-06-30,sh.603587,15.4600,15.9700,14.7500,15.8500,32279916,496140522.3000
39,2022-07-29,sh.603587,15.8300,16.3900,14.0400,14.1300,37522864,574231645.0600
40,2022-08-31,sh.603587,14.1300,15.6800,13.6600,14.4100,28553961,413040728.5700
41,2022-09-30,sh.603587,14.3700,14.9400,13.8300,13.9600,20206134,290280865.5100
42,2022-10-31,sh.603587,13.9800,14.4300,13.3000,13.4600,14097099,196139492.5400
43,2022-11-30,sh.603587,13.5100,14.8800,13.4700,14.7300,25642681,368032152.1500
44,2022-12-30,sh.603587,14.8400,16.4700,14.6200,15.2200,41683136,646268682.0600
45,2023-01-31,sh.603587,15.2700,15.7400,15.0000,15.6000,16052429,246078971.3100
46,2023-02-28,sh.603587,15.6300,17.5500,15.4900,17.1100,34488932,568503419.2800
47,2023-03-31,sh.603587,17.1500,17.2100,15.3700,15.4700,29968587,487129400.6700
48,2023-04-28,sh.603587,15.4500,16.1800,15.1000,15.8700,28291330,438437662.9900
49,2023-05-31,sh.603587,15.8700,17.3500,14.8200,14.9000,58499788,953316843.0000
50,2023-06-30,sh.603587,14.9300,15.2200,13.6800,14.6400,40625264,596592079.1200
51,2023-07-31,sh.603587,14.6700,15.9600,14.5900,15.8900,31471913,477047732.7400
52,2023-08-31,sh.603587,15.8700,16.1000,14.5800,15.0400,36417825,554883959.2500
53,2023-09-28,sh.603587,15.1600,15.7800,15.0000,15.5200,31183509,481835180.7400
54,2023-10-31,sh.603587,15.5200,15.5200,13.9300,14.0600,38552393,566551109.7700
55,2023-11-30,sh.603587,14.0300,14.2500,13.8300,13.8900,46204490,649042063.7900
56,2023-12-29,sh.603587,13.9200,13.9700,12.7100,13.1100,53859330,719245581.6900
57,2024-01-31,sh.603587,13.1300,13.9900,12.0000,12.2900,52579465,699565001.9200
58,2024-02-29,sh.603587,12.2900,13.2900,10.9800,12.6500,47991506,596545017.0400
59,2024-03-29,sh.603587,12.6600,12.9300,12.2900,12.7000,33087878,416950607.8300
