,date,code,open,high,low,close,volume,amount
0,2019-04-30,sh.603602,40.5000,45.0000,29.3200,29.9600,141180221,5256446442.0000
1,2019-05-31,sh.603602,28.8900,30.4900,19.9100,20.6000,84889373,1998465847.0000
2,2019-06-28,sh.603602,20.6300,25.3000,20.5000,21.0100,156625405,3584681291.0000
3,2019-07-31,sh.603602,21.5300,21.7800,18.0100,19.8700,63853149,1255777769.0000
4,2019-08-30,sh.603602,19.5300,22.3900,17.4200,20.0800,128926340,2650042643.0000
5,2019-09-30,sh.603602,20.4700,31.3500,20.1300,22.7100,283096558,7046795244.0000
6,2019-10-31,sh.603602,22.8400,23.1000,20.5800,21.9600,123338653,2726174709.0000
7,2019-11-29,sh.603602,21.4600,23.9500,20.6400,23.6100,168659500,3800899166.0000
8,2019-12-31,sh.603602,23.6500,26.7900,22.2800,23.6500,251311661,6191105350.0000
9,2020-01-23,sh.603602,23.8300,24.5200,21.9200,22.2800,94816371,2236410479.0000
10,2020-02-28,sh.603602,20.0500,25.9900,18.0500,21.7200,192332412,4408586192.0000
11,2020-03-31,sh.603602,22.1000,29.1000,21.3100,24.4000,328504137,8319285352.0000
12,2020-04-30,sh.603602,24.3900,26.5900,22.3900,23.2200,182316221,4466720186.0000
13,2020-05-29,sh.603602,23.0500,24.7600,20.9400,20.9600,72836122,1681268084.0000
14,2020-06-30,sh.603602,21.1000,22.2800,15.8200,16.3200,68953172,1223152221.0000
15,2020-07-31,sh.603602,16.3700,18.1000,14.9600,15.6300,143336473,2414809074.2700
16,2020-08-31,sh.603602,15.6800,15.9500,14.5100,14.7100,74535722,1148831015.0800
17,2020-09-30,sh.603602,14.6300,15.0700,12.2400,12.3500,61864317,839616777.7500
18,2020-10-30,sh.603602,12.5300,13.3700,11.2500,11.3300,28204810,355893831.7900
19,2020-11-30,sh.603602,11.3300,14.2500,10.8300,13.8100,97262367,1224089914.8200
20,2020-12-31,sh.603602,13.4000,14.2500,10.7000,12.2600,166801078,2151558537.0400
21,2021-01-29,sh.603602,12.0800,12.6600,10.1000,10.1700,70360880,822356108.1200
22,2021-02-26,sh.603602,10.1100,11.4800,9.6100,11.1500,36145171,383312550.9200
23,2021-03-31,sh.603602,11.0800,12.5400,10.3100,12.0400,113554822,1302359819.6600
24,2021-04-30,sh.603602,11.9200,12.1300,10.0000,10.0700,49794550,553002542.9300
25,2021-05-31,sh.603602,10.1100,10.6500,9.7900,10.3700,26092133,267552653.1900
26,2021-06-30,sh.603602,10.3500,11.3600,10.3000,10.4500,53429451,576801054.2500
27,2021-07-30,sh.603602,10.4500,11.0700,9.7500,10.8500,44172697,461447967.3900
28,2021-08-31,sh.603602,10.8800,11.3000,10.1300,10.2300,67379489,737007761.0500
29,2021-09-30,sh.603602,10.2300,10.5700,9.3900,9.5500,40275170,409524292.0200
30,2021-10-29,sh.603602,9.7000,9.9800,8.4900,8.9100,25384082,237330926.7700
31,2021-11-30,sh.603602,8.9100,10.7600,8.6000,10.3900,67688474,671546350.9300
32,2021-12-31,sh.603602,10.2700,10.8000,9.7700,10.2800,54478507,557897661.5900
33,2022-01-28,sh.603602,10.2700,12.8800,10.1600,11.8800,207833394,2472128855.1000
34,2022-02-28,sh.603602,12.1000,13.3500,11.6100,12.1900,143884516,1813299944.4700
35,2022-03-31,sh.603602,12.1900,15.0300,10.9200,14.0000,312049241,4026688729.9800
36,2022-04-29,sh.603602,13.9200,14.0000,8.3900,9.2100,152863505,1792421066.4300
37,2022-05-31,sh.603602,9.2000,10.2400,8.7400,9.8300,123219045,1185847049.5900
38,2022-06-30,sh.603602,9.8500,10.3400,9.5000,9.9900,101034208,1006187917.5200
39,2022-07-29,sh.603602,9.9600,10.0800,8.9800,9.7500,70279515,671527246.7100
40,2022-08-31,sh.603602,9.8800,11.7800,9.7200,10.6000,237978708,2571741253.1500
41,2022-09-30,sh.603602,10.5200,12.8000,9.2800,9.2800,166973369,1867942687.4600
42,2022-10-31,sh.603602,9.3500,11.6800,8.8500,11.0000,88887489,965518052.7300
43,2022-11-30,sh.603602,11.0400,11.8500,10.5000,10.9500,104982720,1177470129.9800
44,2022-12-30,sh.603602,10.9500,12.4200,10.7600,11.4200,137282533,1618618900.1600
45,2023-01-31,sh.603602,11.4200,12.9100,11.3200,12.8800,73847169,904431373.6500
46,2023-02-28,sh.603602,12.9200,15.2500,12.7100,14.0600,123015081,1750228842.3600
47,2023-03-31,sh.603602,14.0600,14.5600,13.0700,13.7400,77339160,1061044050.5900
48,2023-04-28,sh.603602,13.8700,14.1000,11.9500,12.4200,59484733,779629522.5800
49,2023-05-31,sh.603602,12.4200,12.8400,11.6000,12.7000,42426911,515572482.7100
50,2023-06-30,sh.603602,12.6000,13.1000,11.8900,12.2900,41854825,525018571.2400
51,2023-07-31,sh.603602,12.2100,12.5300,11.7900,12.1300,36260240,441465060.0900
52,2023-08-31,sh.603602,12.0200,12.6600,11.7100,12.5700,58701586,714420592.7300
53,2023-09-28,sh.603602,12.5000,14.1800,12.3800,13.7400,64768264,868043446.1200
54,2023-10-31,sh.603602,13.7300,15.7400,13.7300,15.5900,58183573,842839331.0300
55,2023-11-30,sh.603602,15.5900,16.6600,15.2000,16.1600,76813291,1231270917.9800
56,2023-12-29,sh.603602,16.1300,16.2900,14.0500,14.7400,57870834,880060760.9800
57,2024-01-31,sh.603602,14.8100,15.1100,11.0100,11.0900,74164250,972510389.6200
58,2024-02-29,sh.603602,11.0900,13.8300,8.6300,13.2000,94251575,1086097948.3800
59,2024-03-29,sh.603602,13.1600,14.6800,13.0000,14.2500,75931102,1051091631.9000
