,date,code,open,high,low,close,volume,amount
0,2019-04-30,sh.603679,36.0000,51.5000,35.5100,50.3500,39539977,1714248389.0000
1,2019-05-31,sh.603679,48.3900,49.2800,41.1900,46.4000,15014252,685117591.0000
2,2019-06-28,sh.603679,46.6000,52.0000,40.6500,45.4000,12401400,562351416.0000
3,2019-07-31,sh.603679,47.5900,47.6000,37.4600,40.0100,17626068,733718084.0000
4,2019-08-30,sh.603679,39.0900,41.3800,34.6500,35.9800,20592500,765812091.0000
5,2019-09-30,sh.603679,35.9600,45.3000,35.0700,43.2000,34873862,1449771616.0000
6,2019-10-31,sh.603679,43.4000,50.4000,41.0700,44.0000,33892419,1557000962.0000
7,2019-11-29,sh.603679,43.6400,46.2900,38.1300,39.9500,23289720,988294609.0000
8,2019-12-31,sh.603679,40.4800,45.6000,38.5200,41.2000,23565694,996642049.0000
9,2020-01-23,sh.603679,41.2000,49.6600,41.2000,46.7000,22904253,1052918588.0000
10,2020-02-28,sh.603679,42.0300,52.4300,37.9000,46.2000,46266700,2091443753.0000
11,2020-03-31,sh.603679,47.1000,55.0000,40.4400,45.0000,61187604,2912837120.0000
12,2020-04-30,sh.603679,44.8200,48.3000,40.8000,45.9400,22470197,1014341782.0000
13,2020-05-29,sh.603679,45.2400,47.5900,40.5000,41.9000,19507197,873798196.0000
14,2020-06-30,sh.603679,41.6900,43.4600,39.0300,39.3100,22000825,901092643.0000
15,2020-07-31,sh.603679,39.4900,44.2500,25.9900,27.4400,63915117,2045589856.3100
16,2020-08-31,sh.603679,27.4400,32.5000,26.9900,27.8700,62782343,1845511723.0800
17,2020-09-30,sh.603679,27.6600,27.7000,23.0000,24.5300,35397741,884265696.8900
18,2020-10-30,sh.603679,24.7200,24.8800,20.2800,20.3200,22440055,522792984.9700
19,2020-11-30,sh.603679,20.6000,25.5000,20.2800,24.4800,42331093,979910583.7000
20,2020-12-31,sh.603679,24.6000,25.4900,22.0400,22.7300,48909076,1175938148.1800
21,2021-01-29,sh.603679,22.7500,22.8500,18.4000,18.4200,23010122,490030816.7900
22,2021-02-26,sh.603679,18.5700,19.7300,16.6800,18.8300,12040970,219444262.0600
23,2021-03-31,sh.603679,18.8200,20.8500,17.3800,17.8600,19593687,372390917.8100
