,date,code,open,high,low,close,volume,amount
0,2019-04-30,sh.603703,11.6200,12.9900,11.5000,12.4300,53126329,634472854.0000
1,2019-05-31,sh.603703,12.0100,13.4800,11.3200,11.6500,63787408,782735138.0000
2,2019-06-28,sh.603703,11.7000,13.3900,11.5200,12.2000,46922239,574804559.0000
3,2019-07-31,sh.603703,12.3700,14.8500,12.2000,14.0800,60906703,822442786.0000
4,2019-08-30,sh.603703,14.1900,15.5500,12.6200,14.8200,51234861,723680175.0000
5,2019-09-30,sh.603703,14.7500,15.2300,14.0300,14.7800,32377836,478910759.0000
6,2019-10-31,sh.603703,14.7800,17.7900,13.7800,13.8200,59017543,940543058.0000
7,2019-11-29,sh.603703,13.8000,15.4100,13.4100,15.2500,46305288,676149732.0000
8,2019-12-31,sh.603703,15.3100,16.6900,14.8400,15.2300,77734167,1231447371.0000
9,2020-01-23,sh.603703,15.2600,16.1000,15.0400,15.2500,32140675,495342081.0000
10,2020-02-28,sh.603703,14.5000,17.1400,13.7500,15.2400,55147653,859566162.0000
11,2020-03-31,sh.603703,15.3000,20.3400,15.3000,17.8000,117934537,2142280929.0000
12,2020-04-30,sh.603703,17.9600,19.6500,17.5400,19.0100,84485701,1537181219.0000
13,2020-05-29,sh.603703,18.7200,25.7800,18.4100,23.5000,171504890,3732358105.0000
14,2020-06-30,sh.603703,23.5000,25.5800,12.3800,13.0700,297899729,4985943856.0000
15,2020-07-31,sh.603703,13.0800,16.5200,13.0200,13.6700,255260087,3704987928.2500
16,2020-08-31,sh.603703,13.8700,14.3500,12.6300,12.7800,79994060,1068043744.7300
17,2020-09-30,sh.603703,12.7800,12.8500,10.4800,10.7300,56192276,657011732.4200
18,2020-10-30,sh.603703,10.8300,13.8700,10.7100,10.7200,97360261,1181503500.2200
19,2020-11-30,sh.603703,10.6800,12.2500,10.5400,12.0100,78027950,898381189.7600
20,2020-12-31,sh.603703,11.9400,12.7600,11.4900,12.4200,77506454,944582446.3200
21,2021-01-29,sh.603703,12.4200,13.7600,10.9900,12.1800,84525570,1050445052.9600
22,2021-02-26,sh.603703,12.1700,13.5500,11.5000,12.8500,48613264,620957808.8500
23,2021-03-31,sh.603703,12.8500,13.5700,12.0700,13.2500,62690546,802253523.4100
24,2021-04-30,sh.603703,13.4600,14.5000,12.7800,13.5700,71174635,976401027.8500
25,2021-05-31,sh.603703,13.5600,13.7900,11.7800,12.1100,29219681,371841579.5700
26,2021-06-30,sh.603703,12.1100,13.7600,11.8300,12.7000,42650980,540904236.4000
27,2021-07-30,sh.603703,12.7000,12.7000,11.0000,11.6400,46487940,549241409.0900
28,2021-08-31,sh.603703,11.6500,12.1300,11.0600,11.3600,50463082,581642105.2800
29,2021-09-30,sh.603703,11.3300,13.9000,11.2200,12.7400,131502113,1642426079.6500
30,2021-10-29,sh.603703,12.7100,16.1900,12.7100,15.7700,120090626,1801536655.7100
31,2021-11-30,sh.603703,15.7700,25.6600,15.7700,22.8500,384976107,8442585833.7100
