,date,code,open,high,low,close,volume,amount
0,2019-04-30,sh.603779,14.4600,16.5700,13.5000,13.8100,42878951,653689353.0000
1,2019-05-31,sh.603779,13.7800,14.0000,12.7000,13.4800,16955308,226868874.0000
2,2019-06-28,sh.603779,13.4500,14.9700,13.0900,13.9500,27193014,385888141.0000
3,2019-07-31,sh.603779,14.0800,15.8800,13.9800,14.3000,37604645,554820889.0000
4,2019-08-30,sh.603779,14.4000,14.4400,13.0100,14.0300,12858535,177759742.0000
5,2019-09-30,sh.603779,14.1000,15.0000,13.2900,13.4100,25300088,362381824.0000
6,2019-10-31,sh.603779,13.0100,13.5000,7.1500,7.5400,73321483,636498765.0000
7,2019-11-29,sh.603779,7.4400,7.5900,5.1700,5.1700,38315351,258189445.0000
8,2019-12-31,sh.603779,5.0900,6.7800,4.9600,6.0100,82062282,470106589.0000
9,2020-01-23,sh.603779,6.0500,6.9100,5.8300,5.8400,41264460,259477366.0000
10,2020-02-28,sh.603779,5.5500,5.7100,5.0500,5.0500,34903472,189110763.0000
11,2020-03-31,sh.603779,4.9500,5.4800,4.8700,5.0800,26255993,135783307.0000
12,2020-04-30,sh.603779,5.0800,5.4700,5.0200,5.3400,18442605,97472229.0000
13,2020-05-29,sh.603779,5.3300,5.3500,4.9700,5.0300,14075370,71997043.0000
14,2020-06-30,sh.603779,5.0300,5.5900,5.0100,5.5500,20147985,104611633.0000
15,2020-07-31,sh.603779,5.7300,7.2800,5.4700,6.3300,41417869,259204552.9300
16,2020-08-31,sh.603779,6.3900,6.9000,6.0500,6.4300,60490679,393195246.3200
17,2020-09-30,sh.603779,6.4100,6.5800,5.1800,5.3200,19803942,116494560.5500
18,2020-10-30,sh.603779,5.3600,6.5100,5.3300,6.4000,18260112,108646684.2500
19,2020-11-30,sh.603779,6.3000,6.8900,6.0400,6.2000,38595320,248554100.5000
20,2020-12-31,sh.603779,6.2000,6.8900,5.7700,5.8900,35182023,224734597.2800
21,2021-01-29,sh.603779,5.7900,6.6100,5.1100,5.6000,18726626,108331043.5400
22,2021-02-26,sh.603779,5.6000,6.1100,5.5300,5.6900,10075590,58603521.8000
23,2021-03-31,sh.603779,5.7000,6.4000,5.4800,6.1100,16500334,98188645.3500
24,2021-04-30,sh.603779,6.1100,6.4600,5.9000,6.4000,16498699,101504183.5700
25,2021-05-31,sh.603779,6.3400,7.0600,6.1800,6.5700,30095652,198752147.9300
26,2021-06-30,sh.603779,6.5600,10.1500,6.5100,8.2900,154676955,1314006682.9700
27,2021-07-30,sh.603779,8.2200,9.6900,7.6000,8.8000,133941539,1144515211.3000
28,2021-08-31,sh.603779,8.7100,12.2400,8.3300,8.3600,229549152,2283356148.2600
29,2021-09-30,sh.603779,8.4000,9.1900,7.6900,7.8100,137075408,1139082558.8500
30,2021-10-29,sh.603779,7.8100,8.3000,6.8000,7.2500,65882557,499813280.1800
31,2021-11-30,sh.603779,7.0900,7.7400,6.7000,6.7900,80834032,586045481.7800
32,2021-12-31,sh.603779,6.7900,10.6200,6.7900,8.1400,427743273,3871672346.4700
33,2022-01-28,sh.603779,8.1700,8.5400,6.6500,6.9500,131639130,1032798408.2000
34,2022-02-28,sh.603779,6.9900,7.2000,6.6800,7.0400,65818025,456261870.5500
35,2022-03-31,sh.603779,7.0100,7.2900,6.0000,6.4100,75977972,508221151.2000
36,2022-04-29,sh.603779,6.3300,7.3700,5.4600,6.1200,171030390,1117418007.1000
37,2022-05-31,sh.603779,6.0200,7.7800,5.7300,7.2700,215394385,1515385784.5500
38,2022-06-30,sh.603779,7.2300,7.3300,6.1100,6.8400,136317838,909399954.7800
39,2022-07-29,sh.603779,6.8300,6.9900,6.1400,6.5500,106231081,699185895.1000
40,2022-08-31,sh.603779,6.5800,6.8800,6.0900,6.4600,87230714,561238065.1200
41,2022-09-30,sh.603779,6.4600,6.5300,5.8300,5.9300,74981951,463713974.4200
42,2022-10-31,sh.603779,6.0400,6.3900,5.4100,5.8500,62329965,363508956.1000
43,2022-11-30,sh.603779,5.9300,6.7500,5.8800,6.2800,124492157,787896455.4500
44,2022-12-30,sh.603779,6.3500,6.9600,6.3000,6.6000,129705793,864237136.6400
45,2023-01-31,sh.603779,6.6200,6.9000,6.0500,6.6900,87216200,562758923.5200
46,2023-02-28,sh.603779,6.7400,8.1800,6.7000,7.7900,231017855,1758193527.2300
47,2023-03-31,sh.603779,7.8200,7.8800,6.5500,7.0500,100438298,709673470.6400
48,2023-04-28,sh.603779,7.0300,7.0500,6.1600,6.3000,71078598,464402309.6200
49,2023-05-31,sh.603779,6.1500,7.3900,6.0500,6.5400,196076004,1343614544.6500
50,2023-06-30,sh.603779,6.5100,14.4600,6.4100,11.5900,768906567,9057440323.1200
51,2023-07-31,sh.603779,11.6800,11.8000,9.6400,9.7000,373415413,3938830457.3700
52,2023-08-31,sh.603779,9.7200,10.5500,8.6600,9.1900,303012660,2854004393.7500
53,2023-09-28,sh.603779,9.2500,9.4900,8.3600,8.7600,147268439,1301770801.1400
54,2023-10-31,sh.603779,8.5000,10.4400,7.9200,9.7300,463705546,4212718642.6100
55,2023-11-30,sh.603779,10.1400,11.9600,9.3100,9.5800,536618815,5370931984.8600
56,2023-12-29,sh.603779,9.5600,13.5500,9.3600,10.9600,643137546,7468533811.9900
57,2024-01-31,sh.603779,10.4500,10.6300,7.9900,8.3400,515411421,4813529809.2400
58,2024-02-29,sh.603779,8.3300,9.7100,7.5200,9.3400,266660255,2387531679.7200
59,2024-03-29,sh.603779,9.5000,10.0800,8.9800,9.2600,292039079,2784025419.5200
