,date,code,open,high,low,close,volume,amount
0,2019-04-30,sh.603806,33.4500,37.8500,32.6800,36.6800,41538430,1451577579.0000
1,2019-05-31,sh.603806,35.7300,38.7800,32.8000,34.7800,29947132,1072830795.0000
2,2019-06-28,sh.603806,34.7800,37.1000,32.1600,36.7300,24264418,838852651.0000
3,2019-07-31,sh.603806,37.1100,39.5800,36.0000,39.4500,22644142,849183496.0000
4,2019-08-30,sh.603806,39.4500,44.9900,37.6900,42.3000,30696326,1256890895.0000
5,2019-09-30,sh.603806,42.2900,46.3900,41.4000,45.4000,27469419,1202132606.0000
6,2019-10-31,sh.603806,45.8100,45.8100,40.1700,40.3600,35883070,1514146522.0000
7,2019-11-29,sh.603806,40.1200,42.8000,39.0700,40.9200,35574521,1452305143.0000
8,2019-12-31,sh.603806,40.9200,49.7000,40.4000,48.6000,27632726,1243108007.0000
9,2020-01-23,sh.603806,47.8500,52.1000,47.6000,48.7000,25890906,1284903989.0000
10,2020-02-28,sh.603806,43.8300,54.4600,43.8300,46.8300,70586142,3543253776.0000
11,2020-03-31,sh.603806,47.2000,50.3800,38.8300,40.7200,60993489,2669052079.0000
12,2020-04-30,sh.603806,40.8900,49.6800,40.2200,48.5500,51059684,2278292306.0000
13,2020-05-29,sh.603806,48.9800,50.1200,33.4700,37.7300,56476650,2294618307.0000
14,2020-06-30,sh.603806,38.5000,51.4400,38.2000,49.9100,104372067,4539299438.0000
15,2020-07-31,sh.603806,53.0000,73.6000,47.6700,71.5300,142967432,8341721422.2600
16,2020-08-31,sh.603806,71.8000,75.3500,63.7600,70.1600,121633762,8427220696.6800
17,2020-09-30,sh.603806,69.8900,74.3600,59.3400,73.0900,103112503,6964812729.2500
18,2020-10-30,sh.603806,80.4000,87.7700,70.7000,75.9600,74315667,5896923499.0800
19,2020-11-30,sh.603806,77.0700,77.8300,68.0200,71.6400,119421158,8741267128.4200
20,2020-12-31,sh.603806,71.6400,91.5000,67.9500,85.4000,126969511,10206331494.6700
21,2021-01-29,sh.603806,85.4000,110.5800,81.5100,99.6100,132325068,12628948579.4700
22,2021-02-26,sh.603806,102.1500,108.8000,86.6200,90.1500,92295581,9203213709.7100
23,2021-03-31,sh.603806,91.0000,94.7800,73.5500,85.9100,126802413,10292242028.2600
24,2021-04-30,sh.603806,86.6200,93.0800,76.6000,91.4600,105241654,8924458533.8400
25,2021-05-31,sh.603806,91.0000,94.6200,73.6800,81.6000,89510323,7470146171.1300
26,2021-06-30,sh.603806,81.0000,108.8000,68.0200,105.1300,207882558,18693248174.7200
27,2021-07-30,sh.603806,106.2700,134.0500,97.0000,134.0500,204870325,23020109312.4600
28,2021-08-31,sh.603806,134.0300,167.0800,114.0600,152.0000,209165148,28485678060.0100
29,2021-09-30,sh.603806,152.0000,160.8900,115.2900,126.8000,191320577,25685520663.0500
30,2021-10-29,sh.603806,130.0000,148.5400,120.6000,143.3000,118564219,16206614793.6000
31,2021-11-30,sh.603806,144.0000,145.9000,116.8800,121.6000,151555907,19521717612.6700
32,2021-12-31,sh.603806,122.5300,137.9500,108.1100,130.5500,138869357,17142930780.5400
33,2022-01-28,sh.603806,130.3000,130.3000,102.3600,114.0000,136988119,15635468328.5400
34,2022-02-28,sh.603806,117.2600,119.7900,97.1100,118.6400,96137727,10298855965.7700
35,2022-03-31,sh.603806,122.0000,131.0000,107.8800,113.4900,131194472,15473808202.2500
36,2022-04-29,sh.603806,113.6700,116.2700,81.2200,92.7400,126103263,11960268468.5800
37,2022-05-31,sh.603806,88.8800,117.1400,76.6100,79.3400,106674920,10387900628.9500
38,2022-06-30,sh.603806,78.8000,84.2500,63.8300,65.5200,234901118,17277074071.0300
39,2022-07-29,sh.603806,65.6000,72.5000,61.5000,69.7300,254132193,16858966401.8400
40,2022-08-31,sh.603806,69.2200,78.8000,63.6600,64.8800,252392014,18003255930.6500
41,2022-09-30,sh.603806,64.8000,68.3400,52.6300,53.2000,174414153,10423399677.8500
42,2022-10-31,sh.603806,53.2000,66.9900,49.4300,64.0600,145939031,8581664453.9500
43,2022-11-30,sh.603806,64.0600,71.5400,58.9200,60.0900,174414766,11434362341.6400
44,2022-12-30,sh.603806,60.3000,68.0000,56.1600,66.4400,182920500,11372196294.3700
45,2023-01-31,sh.603806,66.4000,76.6600,64.7900,75.2300,154151148,11230625285.8600
46,2023-02-28,sh.603806,75.8200,77.9700,64.5000,68.6900,146951346,10256479416.8000
47,2023-03-31,sh.603806,68.6900,68.7000,56.0600,58.7500,180780254,11078075752.6600
48,2023-04-28,sh.603806,58.9900,59.5800,46.9500,49.1300,195365331,10181832304.2300
49,2023-05-31,sh.603806,48.8700,50.2900,30.3000,30.6400,201338471,8597306166.7600
50,2023-06-30,sh.603806,30.8600,39.8300,28.2300,37.1900,385576348,12809400582.2500
51,2023-07-31,sh.603806,37.5600,38.2000,32.2100,34.9600,239833490,8414270936.9100
52,2023-08-31,sh.603806,34.8500,36.8000,28.0500,31.0900,236269884,7604452357.3600
53,2023-09-28,sh.603806,31.1300,31.1300,26.8000,28.5600,143674222,4125769645.3200
54,2023-10-31,sh.603806,28.5600,28.9500,23.5400,25.5700,190531986,4980550311.5700
55,2023-11-30,sh.603806,25.5600,27.5800,23.1600,23.2300,204681828,5256839095.0100
56,2023-12-29,sh.603806,23.2000,25.1900,20.7800,24.2700,248685463,5590849733.8700
57,2024-01-31,sh.603806,24.0500,27.1000,21.5000,22.7300,458403396,11295876080.2900
58,2024-02-29,sh.603806,22.7500,29.4500,20.0300,27.8200,260247174,6505718407.5900
59,2024-03-29,sh.603806,27.8300,32.9000,27.0400,28.4100,286899535,8389572983.3500
