,date,code,open,high,low,close,volume,amount
0,2019-04-30,sh.603817,7.9500,9.0000,6.9000,7.2400,101483973,839072528.0000
1,2019-05-31,sh.603817,7.1600,7.2700,6.5500,6.9900,27950762,195524563.0000
2,2019-06-28,sh.603817,7.0400,8.8500,6.3500,7.7500,137896165,1065744121.0000
3,2019-07-31,sh.603817,8.0000,9.5200,7.0400,7.1900,303887171,2543615633.0000
4,2019-08-30,sh.603817,7.1500,7.1500,6.5700,6.8300,73132558,504483337.0000
5,2019-09-30,sh.603817,6.8200,7.4300,6.6600,6.7100,78040260,558329038.0000
6,2019-10-31,sh.603817,6.7100,7.0200,6.6000,6.6100,33572304,228685622.0000
7,2019-11-29,sh.603817,6.6200,6.7300,6.2000,6.2600,21612867,138467815.0000
8,2019-12-31,sh.603817,6.2600,6.8000,6.1500,6.7400,48237551,309049783.0000
9,2020-01-23,sh.603817,6.7500,7.0600,6.3800,6.4300,67457664,456152392.0000
10,2020-02-28,sh.603817,5.7900,6.3900,5.2300,5.9100,56497376,343174594.0000
11,2020-03-31,sh.603817,5.9600,6.5700,5.5800,5.6600,72024210,446470510.0000
12,2020-04-30,sh.603817,5.6200,6.0100,5.5800,6.0000,36035197,211498241.0000
13,2020-05-29,sh.603817,5.9400,6.4300,5.8900,6.0800,52660236,322342791.0000
14,2020-06-30,sh.603817,6.1100,6.2800,5.9100,6.0500,36827102,223869080.0000
15,2020-07-31,sh.603817,6.0600,6.9200,6.0300,6.6400,134712477,881881176.5600
16,2020-08-31,sh.603817,6.6500,7.2300,6.2900,6.8200,129155130,887238211.7600
17,2020-09-30,sh.603817,6.8000,6.8700,6.1500,6.2000,54879074,361028440.3700
18,2020-10-30,sh.603817,6.2600,6.6600,6.2200,6.2400,27316061,175778713.1700
19,2020-11-30,sh.603817,6.2300,6.4300,6.0200,6.1300,39823540,250320134.3000
20,2020-12-31,sh.603817,6.1200,6.2300,5.7700,6.0000,27708839,166128876.4300
21,2021-01-29,sh.603817,6.0300,6.0300,5.5000,5.5400,24313711,138576894.9500
22,2021-02-26,sh.603817,5.5200,5.5900,5.0600,5.4900,19562624,104773435.8300
23,2021-03-31,sh.603817,5.5100,7.1400,5.4300,6.2600,216835228,1377670142.5100
24,2021-04-30,sh.603817,6.1800,8.0000,5.8000,5.8700,363096557,2442882511.9300
25,2021-05-31,sh.603817,5.9000,6.1400,5.6800,5.9600,99698192,588907259.2900
26,2021-06-30,sh.603817,5.9600,6.0200,5.5200,5.6000,55644047,320008479.5100
27,2021-07-30,sh.603817,5.6300,5.7400,5.2300,5.3300,41492020,229711483.0400
28,2021-08-31,sh.603817,5.3300,5.8600,5.2900,5.8500,58824517,332268419.3100
29,2021-09-30,sh.603817,5.8300,6.2900,5.7200,5.9500,123362859,735365373.5300
30,2021-10-29,sh.603817,6.0200,6.4400,5.3300,5.4400,59758307,351635249.9800
31,2021-11-30,sh.603817,5.4700,5.9200,5.3200,5.8700,54667576,311798761.3700
32,2021-12-31,sh.603817,5.8600,6.3500,5.7800,6.2300,98927921,600524443.5400
33,2022-01-28,sh.603817,6.3000,6.5600,5.7000,5.8700,74932333,468347807.8000
34,2022-02-28,sh.603817,5.8900,7.4700,5.8800,6.9500,276840287,1933983312.9200
35,2022-03-31,sh.603817,7.0500,7.3500,6.1000,6.4600,183300729,1218651894.5600
36,2022-04-29,sh.603817,6.5100,6.6900,5.5700,5.9300,126650273,794350340.9200
37,2022-05-31,sh.603817,5.9100,7.1800,5.8200,6.8600,136579923,891523883.2200
38,2022-06-30,sh.603817,6.8900,7.3000,6.4800,7.3000,144018128,979985977.6800
39,2022-07-29,sh.603817,7.7000,8.0300,6.6400,7.4000,286561510,2071137338.0400
40,2022-08-31,sh.603817,7.3700,7.5200,6.5400,6.5700,144559349,984979415.4600
41,2022-09-30,sh.603817,6.5700,6.7300,5.9500,6.1300,65729042,416728872.1300
42,2022-10-31,sh.603817,6.1800,6.4800,6.0000,6.1500,43685940,273013854.0300
43,2022-11-30,sh.603817,6.1600,6.6000,6.1200,6.5500,67024731,431060955.6400
44,2022-12-30,sh.603817,6.5500,6.6400,5.9600,6.0500,51243200,324177459.4800
45,2023-01-31,sh.603817,6.0400,6.1800,5.7700,6.0900,80519846,479537421.2900
46,2023-02-28,sh.603817,6.0900,6.2500,6.0400,6.2100,88385621,544469417.6100
47,2023-03-31,sh.603817,6.1900,6.3000,5.8500,5.8900,89321036,546105424.7500
48,2023-04-28,sh.603817,5.8900,5.9700,5.6800,5.9000,72294156,423383760.9600
49,2023-05-31,sh.603817,5.8800,6.5100,5.8600,6.2800,121439446,757201860.5000
50,2023-06-30,sh.603817,6.2900,6.2900,5.9200,6.1700,69743442,428317531.9800
51,2023-07-31,sh.603817,6.1300,6.5100,6.1200,6.4800,73448506,463516579.0800
52,2023-08-31,sh.603817,6.5000,7.1500,6.2000,6.2800,255708418,1690383529.2400
53,2023-09-28,sh.603817,6.2700,6.9100,6.0800,6.2100,251441126,1600102495.3600
54,2023-10-31,sh.603817,6.2200,6.2200,5.7200,6.1100,83882207,504569597.7900
55,2023-11-30,sh.603817,6.1100,6.5500,6.0800,6.4200,106713965,672822458.3800
56,2023-12-29,sh.603817,6.4500,6.6900,6.1500,6.3800,119208888,764093312.2200
57,2024-01-31,sh.603817,6.3700,7.0300,5.3400,5.6800,214711089,1353481160.2000
58,2024-02-29,sh.603817,5.6300,5.6700,4.1200,5.0900,198225631,958272857.5200
59,2024-03-29,sh.603817,5.0900,5.4800,4.9100,5.4000,114787935,600802843.8600
