,date,code,open,high,low,close,volume,amount
0,2019-04-30,sh.603833,125.0300,131.6000,113.0000,120.0400,24710079,3004111433.0000
1,2019-05-31,sh.603833,118.0000,118.0000,101.5000,114.1000,16077640,1769500735.0000
2,2019-06-28,sh.603833,116.0000,119.9800,102.5800,107.6200,14672956,1596439681.0000
3,2019-07-31,sh.603833,107.9800,113.5600,99.5800,103.9800,16843856,1814353509.0000
4,2019-08-30,sh.603833,103.7800,121.4200,95.4800,120.2600,21945675,2329530072.0000
5,2019-09-30,sh.603833,120.2200,124.5000,109.4400,111.4600,19935793,2347689483.0000
6,2019-10-31,sh.603833,110.1600,121.9700,107.5000,110.4000,16826507,1917551884.0000
7,2019-11-29,sh.603833,109.6600,115.8000,97.2000,99.0000,25309622,2685143744.0000
8,2019-12-31,sh.603833,98.0100,117.8800,97.2000,117.0000,31120835,3294881263.0000
9,2020-01-23,sh.603833,117.0000,125.1500,110.1400,113.0000,22295981,2618453218.0000
10,2020-02-28,sh.603833,101.7000,123.3100,101.7000,110.1600,39052528,4347031662.0000
11,2020-03-31,sh.603833,110.0600,121.0000,87.6700,94.5700,43451786,4440023537.0000
12,2020-04-30,sh.603833,94.5400,110.8000,93.2100,106.3700,23279481,2417743813.0000
13,2020-05-29,sh.603833,107.4000,122.8000,104.7200,121.0600,28599694,3245455683.0000
14,2020-06-30,sh.603833,120.0000,123.8000,109.0000,115.9000,25521556,2929427867.0000
15,2020-07-31,sh.603833,115.9200,136.0200,84.5000,89.5900,54359853,5885544224.8200
16,2020-08-31,sh.603833,89.9300,109.9900,88.4000,101.0000,49245179,4949890576.0000
17,2020-09-30,sh.603833,100.7800,117.4800,100.5100,107.7700,51427961,5578579601.7500
18,2020-10-30,sh.603833,110.0000,130.2500,105.8800,122.8900,27705754,3245186783.3300
19,2020-11-30,sh.603833,124.7500,139.0000,123.1500,127.5800,41247882,5395924091.8100
20,2020-12-31,sh.603833,128.5000,135.1900,117.6400,134.5000,37122842,4722555258.5100
21,2021-01-29,sh.603833,136.6600,159.5500,118.5000,149.6000,56320895,7672726468.5000
22,2021-02-26,sh.603833,149.6000,170.0000,145.0000,151.5300,42150913,6689724065.3300
23,2021-03-31,sh.603833,148.8700,167.5000,138.5000,157.6100,54731851,8330915857.9500
