,date,code,open,high,low,close,volume,amount
0,2019-04-30,sh.603855,9.2900,10.2400,8.9900,9.1300,41673424,400992351.0000
1,2019-05-31,sh.603855,9.0800,9.2700,8.4300,8.5800,25178952,220529484.0000
2,2019-06-28,sh.603855,8.5500,8.9600,8.0400,8.7800,19119564,163057532.0000
3,2019-07-31,sh.603855,8.8500,9.0900,8.3500,8.8700,19413584,170369583.0000
4,2019-08-30,sh.603855,8.8200,9.0700,8.2200,8.7500,24626283,214277946.0000
5,2019-09-30,sh.603855,8.8400,9.2100,8.5200,8.7300,26916683,241632037.0000
6,2019-10-31,sh.603855,8.6800,9.1700,8.6100,8.8900,21044275,188345490.0000
7,2019-11-29,sh.603855,8.8400,9.6200,8.6600,9.2800,55198525,507203476.0000
8,2019-12-31,sh.603855,9.2600,10.3000,8.8900,9.7900,95417403,930809503.0000
9,2020-01-23,sh.603855,9.7900,10.1500,9.3900,9.4200,39145791,384965617.0000
10,2020-02-28,sh.603855,8.4800,9.1900,8.2000,8.5800,37249487,325678247.0000
11,2020-03-31,sh.603855,8.5500,9.5600,8.2100,8.8300,52930876,476161345.0000
12,2020-04-30,sh.603855,8.8000,9.4800,8.6300,9.3400,37684959,339125285.0000
13,2020-05-29,sh.603855,9.3300,14.2100,9.2500,13.9000,188446853,2357399416.0000
14,2020-06-30,sh.603855,14.2400,17.8500,14.0200,17.8500,113559651,1765528306.0000
15,2020-07-31,sh.603855,17.8800,21.9900,16.8100,18.2200,148692943,2857768134.6300
16,2020-08-31,sh.603855,18.4800,19.9500,17.1000,19.0000,91169295,1704946468.8300
17,2020-09-30,sh.603855,18.8500,19.5000,16.9100,17.7600,58890627,1070269179.8900
18,2020-10-30,sh.603855,18.2000,20.2500,17.8200,18.9500,62611186,1197785088.7100
19,2020-11-30,sh.603855,18.8600,19.4500,15.5500,16.2100,65823657,1187564227.3700
20,2020-12-31,sh.603855,16.0500,17.2800,14.1000,16.1400,73643437,1150065192.0700
21,2021-01-29,sh.603855,16.1000,16.6800,13.6800,14.4700,63686538,955754003.8400
22,2021-02-26,sh.603855,14.4800,18.9600,14.0000,18.7200,62784161,1054594728.3200
23,2021-03-31,sh.603855,18.8700,22.1700,17.9900,19.2500,89223094,1771220793.0600
24,2021-04-30,sh.603855,19.2700,20.6600,18.5800,19.6000,45238298,881299526.1800
25,2021-05-31,sh.603855,19.6300,19.6700,16.9000,17.5200,31330240,558678966.6900
26,2021-06-30,sh.603855,17.5000,18.9000,16.0000,17.1000,39445473,689697060.3600
27,2021-07-30,sh.603855,17.1200,20.9700,15.0300,18.9900,114740345,2092564541.6600
28,2021-08-31,sh.603855,18.9000,26.2000,18.7200,25.6800,130997577,2889963728.9700
29,2021-09-30,sh.603855,25.8600,26.2800,20.2900,21.6000,114457676,2612929065.2600
30,2021-10-29,sh.603855,21.7500,23.7500,19.8700,23.0900,38269616,821080757.1700
31,2021-11-30,sh.603855,23.1000,26.5000,22.4600,24.4000,63747979,1530326825.1700
32,2021-12-31,sh.603855,24.5800,25.8600,22.8900,25.2800,63958798,1542053413.4400
33,2022-01-28,sh.603855,25.3800,28.3400,24.6100,26.5300,40576389,1074011525.1200
34,2022-02-28,sh.603855,26.8000,27.1800,22.9300,25.4100,29913608,743205218.2800
35,2022-03-31,sh.603855,25.4300,25.7500,19.1700,20.3600,55280377,1211384634.5700
36,2022-04-29,sh.603855,20.4800,21.8600,17.9800,21.7700,42037124,825916813.6400
37,2022-05-31,sh.603855,21.4500,23.6600,20.8500,23.5000,31000537,687830743.5200
38,2022-06-30,sh.603855,23.6800,25.6800,22.9300,25.5000,39778431,970756397.0600
39,2022-07-29,sh.603855,25.4900,26.9100,23.4000,24.9500,32339752,809595075.4300
40,2022-08-31,sh.603855,24.6500,24.7400,20.5500,22.5800,41902471,952086569.9400
41,2022-09-30,sh.603855,22.2100,23.4700,20.6000,21.7000,22575381,497188256.6800
42,2022-10-31,sh.603855,21.0300,24.1100,19.9200,22.3800,26996471,607361020.1600
43,2022-11-30,sh.603855,22.3800,25.0000,21.7800,25.0000,34543557,804665745.1200
44,2022-12-30,sh.603855,24.8100,25.8500,21.7100,23.1000,30180857,724266622.9100
45,2023-01-31,sh.603855,22.5500,25.0000,22.5500,24.9900,17559834,420494452.5000
46,2023-02-28,sh.603855,24.9300,26.9100,24.1800,25.5800,26944192,683059089.9900
47,2023-03-31,sh.603855,25.6400,30.2300,25.3000,28.4900,39040254,1082135402.2200
48,2023-04-28,sh.603855,28.5000,28.5000,24.5200,27.2600,38267774,1002172965.2300
49,2023-05-31,sh.603855,27.4800,29.5700,27.1500,28.1000,25119612,707384984.4500
50,2023-06-30,sh.603855,28.2900,28.2900,24.8000,26.6000,21425274,567675098.8900
51,2023-07-31,sh.603855,26.2200,26.5500,23.9100,24.9700,22569464,570264706.7600
52,2023-08-31,sh.603855,25.0700,26.0800,22.3700,22.8000,26839867,637151445.4900
53,2023-09-28,sh.603855,22.9100,23.7500,21.1200,21.8000,38282608,850406873.9000
54,2023-10-31,sh.603855,21.5200,21.5600,16.8500,17.0000,49620580,926693391.1500
55,2023-11-30,sh.603855,17.0000,21.7000,16.8000,20.0100,77886977,1503103498.4600
56,2023-12-29,sh.603855,19.9300,20.5900,18.1300,19.9600,30590595,595845481.0100
57,2024-01-31,sh.603855,19.9600,20.2000,15.4100,16.0700,47799414,840189961.9900
58,2024-02-29,sh.603855,15.7200,18.8800,15.0400,18.2700,43550265,742997945.0800
59,2024-03-29,sh.603855,18.4000,21.7800,18.2700,21.7800,40471341,802645497.4000
