,date,code,open,high,low,close,volume,amount
0,2019-04-30,sh.603859,26.2500,30.0100,21.7500,21.9700,61344141,1624985815.0000
1,2019-05-31,sh.603859,21.5300,22.0500,18.5000,19.9200,58832830,1197510534.0000
2,2019-06-28,sh.603859,19.9800,21.2800,18.0000,19.9500,40658831,803027796.0000
3,2019-07-31,sh.603859,20.2800,23.6000,19.0700,23.0500,61757351,1292069387.0000
4,2019-08-30,sh.603859,22.9500,26.1800,20.9500,23.1200,55070945,1287845206.0000
5,2019-09-30,sh.603859,23.6900,30.9500,23.5600,26.3500,86539611,2347681914.0000
6,2019-10-31,sh.603859,26.3800,27.4200,23.4800,24.8500,47793400,1218098561.0000
7,2019-11-29,sh.603859,24.8800,26.0800,22.5400,22.7100,33837422,819528038.0000
8,2019-12-31,sh.603859,22.7900,28.3300,21.8500,27.6000,56238832,1450914290.0000
9,2020-01-23,sh.603859,27.6600,30.1000,26.6000,26.6000,51340898,1445582130.0000
10,2020-02-28,sh.603859,23.9400,42.6100,23.9400,38.3500,122340805,3980041783.0000
11,2020-03-31,sh.603859,37.3000,38.8900,27.0000,27.6200,117542066,3849707807.0000
12,2020-04-30,sh.603859,27.4900,34.4800,26.8300,33.8400,75933303,2385565483.0000
13,2020-05-29,sh.603859,33.6800,37.1500,28.9100,30.2700,69479738,2325831477.0000
14,2020-06-30,sh.603859,30.7500,35.4600,30.3100,34.1600,60536272,1998629152.0000
15,2020-07-31,sh.603859,35.5300,42.3300,33.5200,37.5700,100910090,3780266407.4800
16,2020-08-31,sh.603859,37.9000,51.6000,37.5900,39.5400,139567941,6127131160.2200
17,2020-09-30,sh.603859,39.5400,40.4000,34.3200,36.6500,47189089,1769802547.2200
18,2020-10-30,sh.603859,36.9900,39.0800,33.4700,33.5500,24073116,880027672.6400
19,2020-11-30,sh.603859,33.5800,43.0200,33.2800,38.6800,63302994,2453696783.9700
20,2020-12-31,sh.603859,38.3800,39.5600,33.0000,35.3500,38758156,1410939794.3200
21,2021-01-29,sh.603859,35.4300,35.5600,28.9900,30.1800,50730887,1587012880.9300
22,2021-02-26,sh.603859,30.3000,34.0000,29.5000,32.8300,26794474,855394493.5700
23,2021-03-31,sh.603859,32.8500,35.3200,30.7000,32.1600,41156516,1374901737.0000
24,2021-04-30,sh.603859,32.3500,33.3200,31.2800,32.1700,21846560,702671593.5100
25,2021-05-31,sh.603859,32.2500,33.9000,29.9600,33.9000,22441343,712738136.3800
26,2021-06-30,sh.603859,33.7800,39.5400,33.0000,36.2700,56530072,2059196860.4500
27,2021-07-30,sh.603859,36.4500,39.9000,34.4500,38.2500,44718704,1662394931.8000
28,2021-08-31,sh.603859,38.2700,45.5000,35.6600,35.9800,89731908,3742474396.8100
29,2021-09-30,sh.603859,35.9900,38.1900,33.8000,35.5000,46627465,1665178457.7600
