,date,code,open,high,low,close,volume,amount
0,2019-04-30,sh.603860,28.6800,33.1600,26.6000,26.9500,16961416,510235418.0000
1,2019-05-31,sh.603860,26.1000,27.8000,24.2700,27.3100,7471901,198008082.0000
2,2019-06-28,sh.603860,27.0600,28.6800,25.2100,27.7500,5835952,158511049.0000
3,2019-07-31,sh.603860,27.9900,29.5300,26.3000,28.6200,8025103,223348499.0000
4,2019-08-30,sh.603860,28.5900,28.9000,26.0200,28.1400,6524433,180426475.0000
5,2019-09-30,sh.603860,28.1300,31.0000,26.9000,26.9200,12685457,363573107.0000
6,2019-10-31,sh.603860,26.9900,28.3500,26.6900,27.0000,4290832,118201112.0000
7,2019-11-29,sh.603860,27.0000,27.3300,24.7500,25.2600,3928804,101617389.0000
8,2019-12-31,sh.603860,25.4700,27.7800,25.1000,27.3600,5507832,146209354.0000
9,2020-01-23,sh.603860,27.6900,29.3900,25.7500,26.2000,6012010,166742736.0000
10,2020-02-28,sh.603860,23.5800,26.8500,22.9500,24.4900,7236271,181607891.0000
11,2020-03-31,sh.603860,24.5500,27.7600,23.9800,25.9000,9118051,237082033.0000
12,2020-04-30,sh.603860,26.0000,28.6800,24.4000,24.5200,12288733,326549248.0000
13,2020-05-29,sh.603860,24.3000,25.6600,24.0500,25.3100,4725353,117731397.0000
14,2020-06-30,sh.603860,25.4400,29.1300,25.3000,26.8200,7410236,201622959.0000
15,2020-07-31,sh.603860,26.9600,30.7900,26.7800,29.0500,13288773,381339556.3100
16,2020-08-31,sh.603860,29.1000,32.6000,28.7200,31.3200,12093390,370419152.0900
17,2020-09-30,sh.603860,31.1400,31.4400,25.8300,25.9100,10834856,310190373.4800
18,2020-10-30,sh.603860,26.2800,26.9900,24.3900,24.4100,7836479,201126603.4300
19,2020-11-30,sh.603860,24.2700,26.6500,24.2700,26.1200,6445334,165382350.4200
20,2020-12-31,sh.603860,26.0500,27.1400,22.1000,22.2300,11734188,289717625.9300
21,2021-01-29,sh.603860,22.2500,22.7000,18.7000,18.8800,6303286,128868132.6800
22,2021-02-26,sh.603860,18.8900,20.7000,18.3600,19.8800,4484185,86970916.5300
23,2021-03-31,sh.603860,19.9800,24.8100,19.9800,21.1500,12869604,278557057.6800
24,2021-04-30,sh.603860,21.2800,23.0000,20.5700,21.9700,6703228,143973073.9400
25,2021-05-31,sh.603860,21.9700,25.6000,20.5800,21.3100,15828686,358764714.4800
26,2021-06-30,sh.603860,21.3100,22.8500,20.3600,20.8500,16919082,365303081.7100
27,2021-07-30,sh.603860,20.9000,21.1500,18.9500,19.0700,5213192,105667626.8300
28,2021-08-31,sh.603860,19.0700,20.7400,19.0100,20.1800,6994702,140000346.4900
29,2021-09-30,sh.603860,20.1800,21.4000,19.3400,19.8000,6744000,138120569.0000
30,2021-10-29,sh.603860,19.9500,20.4000,18.6100,19.2500,3057794,60520492.4300
31,2021-11-30,sh.603860,19.3000,21.1000,19.0000,20.8000,6394168,130365874.6000
32,2021-12-31,sh.603860,20.8600,24.1600,20.1900,22.1900,12048223,260572422.9800
33,2022-01-28,sh.603860,22.0200,23.1800,20.9900,21.8500,10540307,234381798.4200
34,2022-02-28,sh.603860,22.1500,24.3000,21.9100,24.2600,9901500,232721911.0000
35,2022-03-31,sh.603860,24.3100,26.5200,22.0300,24.1000,26451609,654126785.5400
36,2022-04-29,sh.603860,24.1000,24.2200,18.5300,20.2400,14934998,323698952.6800
37,2022-05-31,sh.603860,20.1400,26.8500,19.0000,23.7100,13197278,289864030.2600
38,2022-06-30,sh.603860,23.7000,23.9800,21.0100,21.8000,16260157,362450142.1500
39,2022-07-29,sh.603860,21.6100,23.2600,21.1200,23.0700,9201620,204313326.6000
40,2022-08-31,sh.603860,23.2000,24.3600,21.5900,22.2800,9780402,224636090.8600
41,2022-09-30,sh.603860,22.0500,23.5500,19.8000,19.9200,10433295,229269575.3000
42,2022-10-31,sh.603860,19.7600,21.9000,19.2000,20.7600,8101404,168961507.8400
43,2022-11-30,sh.603860,20.9900,25.7600,20.8000,25.0800,44884182,1074776020.2500
44,2022-12-30,sh.603860,25.0000,29.5500,22.7700,23.2300,68546187,1769669841.2400
45,2023-01-31,sh.603860,23.2300,25.8100,23.0000,24.9000,16297329,394738264.5000
46,2023-02-28,sh.603860,24.9500,25.8000,23.9700,24.8200,17710841,443064180.2400
47,2023-03-31,sh.603860,24.8200,44.0100,24.6800,31.2400,213012074,7808487610.7200
48,2023-04-28,sh.603860,31.1000,33.5000,27.5800,29.2300,89679277,2772198900.8300
49,2023-05-31,sh.603860,29.4600,33.5900,26.9700,28.2700,72599650,2225520187.0000
50,2023-06-30,sh.603860,28.1000,31.6300,26.5000,28.5800,57792300,1662775695.0000
51,2023-07-31,sh.603860,28.6700,29.7000,27.3800,29.2200,29298773,832800768.1800
52,2023-08-31,sh.603860,29.0800,30.9700,25.3100,27.5600,58796297,1663102473.4400
53,2023-09-28,sh.603860,27.6300,28.1400,25.4500,27.5000,22254936,599122111.1400
54,2023-10-31,sh.603860,27.7600,27.8100,24.3200,26.7200,17380880,455147638.6000
55,2023-11-30,sh.603860,26.6000,33.9400,26.6000,32.1200,75174972,2268233663.7800
56,2023-12-29,sh.603860,31.8000,47.0300,30.1100,31.0500,132376406,4728850971.5400
57,2024-01-31,sh.603860,31.2000,35.4300,25.7600,34.4400,103505101,3273184162.1100
58,2024-02-29,sh.603860,32.9500,33.0000,20.4600,30.5000,111459778,3048917376.7200
59,2024-03-29,sh.603860,30.0000,30.4700,26.2000,27.8200,71335691,2043475416.6600
