,date,code,open,high,low,close,volume,amount
0,2019-04-30,sh.603936,19.6200,20.8200,16.6100,16.9800,60649421,1196099401.0000
1,2019-05-31,sh.603936,16.5100,20.2300,15.3200,18.4900,63654970,1109555957.0000
2,2019-06-28,sh.603936,18.3000,18.6100,11.1300,13.5800,138493949,1818876086.0000
3,2019-07-31,sh.603936,13.9900,16.2500,11.4800,14.2000,167630393,2331787819.0000
4,2019-08-30,sh.603936,14.0300,21.4000,13.9100,19.3500,461136988,7873438633.0000
5,2019-09-30,sh.603936,19.1800,28.3400,19.1800,22.0000,431669138,10588303236.0000
6,2019-10-31,sh.603936,22.3600,24.7300,18.3500,18.6900,201993457,4393745522.0000
7,2019-11-29,sh.603936,18.6300,19.4700,16.6600,17.2400,184929507,3364320116.0000
8,2019-12-31,sh.603936,17.2600,19.5800,16.5300,17.1900,210981703,3833984373.0000
9,2020-01-23,sh.603936,17.3300,24.9800,17.1200,23.0300,313424995,6735434879.0000
10,2020-02-28,sh.603936,20.7300,26.2500,18.6600,21.3200,388303571,8932071530.0000
11,2020-03-31,sh.603936,22.0000,23.7500,16.6500,17.1200,188509748,3840714762.0000
12,2020-04-30,sh.603936,17.0600,18.9200,16.3600,18.2200,105685899,1904188819.0000
13,2020-05-29,sh.603936,18.0100,19.5400,17.2700,17.5200,96655704,1792005887.0000
14,2020-06-30,sh.603936,17.6000,19.4200,13.0000,14.7700,172559245,2491808949.0000
15,2020-07-31,sh.603936,14.7000,16.6000,14.0300,15.9500,293363449,4518031559.4700
16,2020-08-31,sh.603936,16.2900,16.4300,14.3700,15.9000,332770561,5189478385.5100
17,2020-09-30,sh.603936,15.9300,16.6900,13.3800,13.6000,245755129,3708786602.7600
18,2020-10-30,sh.603936,13.8000,16.1700,13.7600,14.6600,165987664,2548112348.6000
19,2020-11-30,sh.603936,14.6900,15.4600,13.0600,13.3600,171149020,2430667344.6400
20,2020-12-31,sh.603936,14.7000,15.2600,11.9100,12.5600,285844379,4003709628.3100
21,2021-01-29,sh.603936,12.5800,12.6700,10.8500,11.0200,114218186,1340128196.4000
22,2021-02-26,sh.603936,11.0700,13.0800,10.1000,12.5100,138892280,1663840726.1800
23,2021-03-31,sh.603936,12.6000,13.5200,11.2000,11.4500,163112060,2019341145.3700
24,2021-04-30,sh.603936,11.5000,12.1300,10.7500,10.8900,99460358,1139819598.5800
25,2021-05-31,sh.603936,10.9800,11.3800,10.4800,11.0900,85432362,929106959.8800
26,2021-06-30,sh.603936,11.0800,11.9200,10.8700,11.8500,174527350,1992640104.0200
27,2021-07-30,sh.603936,11.8300,12.7600,11.0000,12.5700,289222144,3476032162.0700
28,2021-08-31,sh.603936,12.4900,15.5600,12.1500,14.6300,563213496,7719176157.1700
29,2021-09-30,sh.603936,14.5700,15.8500,12.2000,12.7100,328448477,4685411984.9100
30,2021-10-29,sh.603936,12.7800,13.4500,12.2000,13.2600,160602383,2064750345.9100
31,2021-11-30,sh.603936,13.2700,16.3300,13.1600,13.9500,534747333,7556788610.4100
32,2021-12-31,sh.603936,13.9500,17.8900,12.7600,17.2000,564010075,8518768414.3000
33,2022-01-28,sh.603936,17.4600,17.5200,13.8100,14.2800,324156216,5200734289.0200
34,2022-02-28,sh.603936,14.3500,14.6600,13.1700,14.3500,170197492,2369193694.0800
35,2022-03-31,sh.603936,14.3900,14.4400,11.9000,12.3700,217436968,2822825888.6700
36,2022-04-29,sh.603936,12.2000,12.3700,8.0500,9.1700,206692238,2087575094.8200
37,2022-05-31,sh.603936,9.1900,10.8000,8.7300,9.7600,170563516,1641851745.7700
38,2022-06-30,sh.603936,9.7600,14.0700,9.6600,13.6200,428294510,4942936319.2200
39,2022-07-29,sh.603936,13.6000,15.5100,12.2000,14.4100,383074566,5208566877.2700
40,2022-08-31,sh.603936,14.4300,18.9000,13.5700,14.1100,571530962,9016834858.8100
41,2022-09-30,sh.603936,14.1900,16.2500,11.6300,11.6500,395170706,5558929785.8100
42,2022-10-31,sh.603936,11.8500,13.6700,10.8700,11.6300,219970226,2693915329.0800
43,2022-11-30,sh.603936,11.7200,15.2900,11.5600,14.9300,432024933,5990507562.9300
44,2022-12-30,sh.603936,15.1100,15.3400,12.1600,12.2200,218605342,3022891463.1800
45,2023-01-31,sh.603936,12.2700,14.4200,12.2200,14.0400,221469223,3076590075.0700
46,2023-02-28,sh.603936,14.0200,15.5500,13.6300,14.3800,320356057,4699133229.4500
47,2023-03-31,sh.603936,14.3800,15.0000,12.7000,14.5700,416171125,5860019223.8400
48,2023-04-28,sh.603936,14.5700,16.1000,11.8600,12.1500,516145145,7414247613.5800
49,2023-05-31,sh.603936,12.1700,12.3200,11.0800,12.3100,212250741,2497942085.2900
50,2023-06-30,sh.603936,12.2000,12.9300,11.3100,12.0000,256673083,3109248937.4100
51,2023-07-31,sh.603936,12.0700,12.8400,11.7600,12.2300,242747183,2949427624.5500
52,2023-08-31,sh.603936,12.2100,12.2700,10.1900,10.8400,141864611,1591615280.5700
53,2023-09-28,sh.603936,10.8000,11.3800,10.5800,10.8700,118991478,1302880937.6000
54,2023-10-31,sh.603936,10.7600,11.4100,9.4400,10.5900,346711155,3646756403.3800
55,2023-11-30,sh.603936,10.5600,11.6000,10.2200,11.1100,291252212,3226059913.6100
56,2023-12-29,sh.603936,11.3000,11.3800,9.6600,10.4400,194306170,2043690077.4600
57,2024-01-31,sh.603936,10.4800,10.5100,6.9800,6.9800,223975741,1990800391.0200
58,2024-02-29,sh.603936,6.5500,8.1500,5.2900,7.6000,344608870,2337791793.8700
59,2024-03-29,sh.603936,7.6400,9.2700,7.4600,8.6000,598109363,5028558338.4200
