,date,code,open,high,low,close,volume,amount
0,2020-07-31,sh.605118,11.1400,14.7000,11.1400,14.7000,169494,2293147.0000
1,2020-08-31,sh.605118,16.1700,27.4500,16.1700,20.6600,150006764,3550471630.5800
2,2020-09-30,sh.605118,20.7000,20.7300,17.2100,17.8700,58130087,1111275296.4300
3,2020-10-30,sh.605118,18.1900,21.1400,17.3300,17.4600,57121064,1130887485.6000
4,2020-11-30,sh.605118,17.5000,19.2600,17.0600,18.2500,35842067,656269278.1000
5,2020-12-31,sh.605118,18.2800,19.3500,14.5300,15.1500,31955978,550189869.4300
6,2021-01-29,sh.605118,15.2100,16.8300,13.8900,14.7300,46051980,717836795.1000
7,2021-02-26,sh.605118,14.6000,15.0300,13.5100,14.4200,13236565,190358836.8700
8,2021-03-31,sh.605118,14.6000,15.4300,13.4900,15.0000,23338676,338243457.5200
9,2021-04-30,sh.605118,14.9500,18.0600,14.2100,14.2600,94637402,1540515131.2800
10,2021-05-31,sh.605118,14.2600,16.3000,13.8000,14.3000,22839842,328899226.0200
11,2021-06-30,sh.605118,14.2600,14.6300,13.6600,14.3200,19642338,277780343.1100
12,2021-07-30,sh.605118,14.3200,14.4600,12.5500,13.2600,19466143,269060205.7100
13,2021-08-31,sh.605118,13.2600,15.2000,13.0400,14.5400,31555874,448575755.5400
14,2021-09-30,sh.605118,14.5400,17.5900,12.9500,13.0600,80719374,1243149910.1500
15,2021-10-29,sh.605118,13.0700,14.2500,12.5900,12.7700,8735442,115846426.6200
16,2021-11-30,sh.605118,13.0000,16.9100,12.9500,16.9100,77147129,1181159888.8900
17,2021-12-31,sh.605118,16.9800,17.3000,14.8300,16.6000,103420291,1674213820.1000
18,2022-01-28,sh.605118,16.7200,19.0000,15.5200,15.9000,87625530,1522781092.1600
19,2022-02-28,sh.605118,16.1700,16.6000,14.2100,14.4000,31012458,466440587.1700
20,2022-03-31,sh.605118,14.4300,14.6200,12.1200,13.1600,26967495,361834860.0000
21,2022-04-29,sh.605118,13.1200,13.4900,10.0200,11.4400,20244357,242017651.3300
22,2022-05-31,sh.605118,11.6800,13.3200,11.3700,13.3000,25900650,322331133.8100
23,2022-06-30,sh.605118,13.4000,16.1600,12.7100,14.2400,45787903,647687962.5600
24,2022-07-29,sh.605118,14.1400,14.4800,12.6500,14.2900,46058180,619865352.7800
25,2022-08-31,sh.605118,14.3100,17.0300,13.6000,13.9000,142472050,2191226426.6100
26,2022-09-30,sh.605118,13.7600,14.7300,12.1000,12.1600,29276322,399910068.3800
27,2022-10-31,sh.605118,12.2200,13.6500,11.7000,13.1900,16971952,219439638.2800
28,2022-11-30,sh.605118,13.3000,14.3000,13.1000,13.5300,29183765,401838739.3100
29,2022-12-30,sh.605118,13.6600,13.8500,12.1200,12.5000,15676078,205677909.5300
30,2023-01-31,sh.605118,12.5000,14.5900,12.4700,13.8200,41816709,576782380.0200
31,2023-02-28,sh.605118,13.7900,14.7300,13.7600,14.0600,31476548,447682346.3800
32,2023-03-31,sh.605118,14.0900,15.2400,13.6500,14.7600,43090954,621965226.2400
33,2023-04-28,sh.605118,14.8200,15.1700,12.4300,12.9700,40228420,570249236.1000
34,2023-05-31,sh.605118,12.2400,18.4100,12.0500,18.4100,107109754,1634420319.0400
35,2023-06-30,sh.605118,20.0000,24.0700,16.0000,17.3700,251294571,4788645269.8700
36,2023-07-31,sh.605118,17.2400,20.3900,14.2300,14.5400,144266607,2528031292.7100
37,2023-08-31,sh.605118,14.5300,15.2300,13.5600,14.8700,47789979,695854001.6100
38,2023-09-28,sh.605118,14.8800,15.6900,14.4400,15.2300,38477130,578101230.7700
39,2023-10-31,sh.605118,15.1400,15.9200,13.7000,14.8800,39904945,597656672.6700
40,2023-11-30,sh.605118,14.7700,18.0000,14.7100,17.6400,103735307,1737035376.2300
41,2023-12-29,sh.605118,17.5000,24.1900,15.6000,24.1900,246542438,4655415536.1600
42,2024-01-31,sh.605118,24.4300,29.2700,16.0000,16.0600,267545166,6007104835.8300
43,2024-02-29,sh.605118,15.7000,17.1900,10.9300,15.8200,111380505,1612376966.1100
44,2024-03-29,sh.605118,16.0000,20.7100,15.8400,19.4000,224382335,4025752046.7900
