,date,code,open,high,low,close,volume,amount
0,2020-12-31,sh.605258,31.8700,55.9000,31.8700,36.5300,96312244,4238987373.0500
1,2021-01-29,sh.605258,36.6000,39.0000,31.3900,33.4500,58248785,2028673522.0900
2,2021-02-26,sh.605258,33.1000,37.2200,31.4500,36.3400,35481149,1204510208.6100
3,2021-03-31,sh.605258,36.3500,38.9000,32.6000,34.3000,49001197,1750105638.0000
4,2021-04-30,sh.605258,34.1800,42.8600,31.6600,31.9300,74821288,2804430150.2600
5,2021-05-31,sh.605258,31.9300,33.2200,30.2600,31.8300,17473098,555888898.2200
6,2021-06-30,sh.605258,31.8400,34.2500,31.2800,32.1500,28387231,925439755.2900
7,2021-07-30,sh.605258,32.1300,35.4500,29.0100,34.8300,36629886,1182218267.5800
8,2021-08-31,sh.605258,34.3100,34.6100,30.5300,30.7000,32710921,1067035173.3400
9,2021-09-30,sh.605258,30.5600,31.7800,29.0800,29.3500,10824548,332793701.8200
10,2021-10-29,sh.605258,29.3600,31.1800,26.6300,26.9700,7003826,205274656.0600
11,2021-11-30,sh.605258,26.9800,34.5000,26.8300,32.0900,26940316,841132517.5000
12,2021-12-31,sh.605258,31.5000,34.9500,28.3400,31.8300,54009850,1734400808.3500
13,2022-01-28,sh.605258,31.9500,32.8500,27.1000,27.6100,24405374,764874745.5800
14,2022-02-28,sh.605258,28.1600,28.5300,26.1900,27.3200,11518593,317508472.3500
15,2022-03-31,sh.605258,27.3200,27.8300,22.7200,24.5800,12035705,304962501.4000
16,2022-04-29,sh.605258,24.5900,25.0800,17.4700,19.1600,11143588,240031221.9800
17,2022-05-31,sh.605258,18.9800,22.0000,18.5800,21.8600,8499633,172936042.1500
18,2022-06-30,sh.605258,21.8500,26.2000,21.6900,24.1500,38620305,929381415.3800
19,2022-07-29,sh.605258,24.1400,28.0000,22.4600,26.0600,41758204,1034959132.5300
20,2022-08-31,sh.605258,26.0600,31.5000,22.7000,23.0100,71785264,1979560499.3700
21,2022-09-30,sh.605258,22.9500,23.5500,19.2600,19.2600,12885213,281693797.2100
22,2022-10-31,sh.605258,19.3100,23.5900,18.6000,23.1100,16026566,350949127.0900
23,2022-11-30,sh.605258,23.2000,24.5000,21.2000,22.3600,23591330,543395742.2200
24,2022-12-30,sh.605258,22.5400,27.0000,22.3300,25.1300,44680025,1096304883.4300
25,2023-01-31,sh.605258,25.0000,25.4600,21.8200,23.6500,23001665,547625843.9000
26,2023-02-28,sh.605258,23.7300,29.7600,23.6000,25.8900,53304699,1420134810.6400
27,2023-03-31,sh.605258,25.6900,27.1300,24.4900,25.8000,61377855,1591126779.0900
28,2023-04-28,sh.605258,25.7400,26.9000,21.7500,22.4400,25490366,638546003.0200
29,2023-05-31,sh.605258,22.0700,25.5400,22.0700,25.2600,22206551,535344789.0800
30,2023-06-30,sh.605258,25.0100,26.2800,23.2800,25.9800,19788656,494368857.9400
31,2023-07-31,sh.605258,26.0000,31.1900,24.7800,25.3400,62392387,1708804575.3700
32,2023-08-31,sh.605258,25.3400,26.3500,23.1500,26.2200,33131835,825631086.8800
33,2023-09-28,sh.605258,26.2200,27.9900,26.0000,27.1400,29431679,790395914.1300
34,2023-10-31,sh.605258,27.1200,29.8900,25.9300,26.8500,64795114,1786491015.3400
35,2023-11-30,sh.605258,26.6000,34.5100,26.2800,28.1900,120992713,3664351747.9400
36,2023-12-29,sh.605258,28.0800,29.0600,25.7300,27.7700,31765521,868362781.0100
37,2024-01-31,sh.605258,27.6900,28.1000,20.1700,20.2700,23055483,577357820.4200
38,2024-02-29,sh.605258,20.0900,21.8800,13.4000,19.6500,42777372,763278778.9800
39,2024-03-29,sh.605258,19.7700,22.4400,18.9600,21.7000,38881596,804184110.4300
