,date,code,open,high,low,close,volume,amount
0,2019-07-31,sh.688020,106.0000,136.4900,74.7400,112.9600,56695535,5707159289.0000
1,2019-08-30,sh.688020,109.9000,141.9500,93.5100,96.7500,96501502,11400938425.0000
2,2019-09-30,sh.688020,96.7200,105.6900,86.3400,87.8000,31098016,3006616566.0000
3,2019-10-31,sh.688020,87.6000,96.4200,78.8000,79.0200,24843296,2195176662.0000
4,2019-11-29,sh.688020,79.0300,85.1000,76.3200,81.3000,16688679,1342618439.0000
5,2019-12-31,sh.688020,81.5000,96.5100,78.8000,90.7300,21034968,1876471538.0000
6,2020-01-23,sh.688020,91.3900,113.0000,91.0000,103.2500,20800063,2083054933.0000
7,2020-02-28,sh.688020,86.0300,132.5000,83.2400,99.4500,36567210,3991232737.0000
8,2020-03-31,sh.688020,103.9000,117.4500,80.4700,82.2500,24641363,2417581681.0000
9,2020-04-30,sh.688020,82.0000,101.6400,82.0000,100.9200,12565629,1148087625.0000
10,2020-05-29,sh.688020,99.3000,122.9600,94.4400,103.3800,20879156,2226122784.0000
11,2020-06-30,sh.688020,103.0000,118.5000,98.6900,115.9000,19084677,2031564949.0000
12,2020-07-31,sh.688020,116.0500,131.0000,101.0800,115.7700,31410629,3666180438.3300
13,2020-08-31,sh.688020,117.3100,124.0000,99.0000,100.4000,15698571,1722635328.0000
14,2020-09-30,sh.688020,100.4000,100.7700,87.5200,92.5000,12776627,1203264273.1400
15,2020-10-30,sh.688020,93.6600,95.4900,83.5000,85.1500,11683503,1043920007.0200
16,2020-11-30,sh.688020,86.1000,99.8700,84.3700,95.0500,10098452,946735667.2100
17,2020-12-31,sh.688020,95.0500,98.2700,87.7000,95.2100,15023755,1408528783.0000
18,2021-01-29,sh.688020,95.2500,96.1600,73.4200,78.0000,15563742,1293685979.3300
19,2021-02-26,sh.688020,78.7300,87.7100,74.1200,84.0000,8475884,697992767.1200
20,2021-03-31,sh.688020,84.3000,89.5000,70.0100,71.0000,7887877,609258710.5000
21,2021-04-30,sh.688020,71.2200,84.2800,71.1200,79.4500,7370192,571867174.6400
22,2021-05-31,sh.688020,78.5000,82.0000,74.4000,80.1100,5989226,465643487.8500
23,2021-06-30,sh.688020,80.1100,97.9800,75.6000,92.9700,14085133,1213991335.1500
24,2021-07-30,sh.688020,93.9500,98.5800,83.8800,98.0000,15615641,1415016447.4800
25,2021-08-31,sh.688020,100.1900,101.0000,82.8000,92.0200,15517315,1394907305.0500
26,2021-09-30,sh.688020,92.0200,109.3000,79.4000,84.0100,17736265,1674871124.2500
27,2021-10-29,sh.688020,85.4900,89.8700,78.5100,85.3500,4833336,409246652.4300
28,2021-11-30,sh.688020,85.3500,101.1600,81.0100,91.0900,16752773,1577895852.7900
29,2021-12-31,sh.688020,91.2000,96.0000,84.3100,91.1500,12527970,1136352898.0400
30,2022-01-28,sh.688020,91.3100,93.5200,72.5800,73.4500,9046630,735758271.1600
31,2022-02-28,sh.688020,73.8800,74.9300,65.0000,68.7000,6429452,446067704.9200
32,2022-03-31,sh.688020,68.3800,69.2800,50.1600,50.9300,7712160,447742921.9300
33,2022-04-29,sh.688020,50.9300,50.9300,29.3300,32.9000,9215832,356821697.1800
34,2022-05-31,sh.688020,34.6000,39.6100,32.0000,38.3900,9393719,335777352.0500
35,2022-06-30,sh.688020,38.8000,45.6700,37.6200,38.9900,15222555,621408565.0900
36,2022-07-29,sh.688020,39.0000,64.5000,34.2200,58.9500,36267474,1838733505.6800
37,2022-08-31,sh.688020,59.9300,67.4800,43.0000,43.6700,52299554,3001913944.3400
38,2022-09-30,sh.688020,43.5800,44.8000,36.7300,38.4800,22633643,942017868.2100
39,2022-10-31,sh.688020,39.0400,45.7600,34.8500,44.9300,18276992,734366326.8100
40,2022-11-30,sh.688020,46.5800,60.0000,39.9000,58.4100,52089775,2497785285.1700
41,2022-12-30,sh.688020,59.0000,60.8000,50.8000,52.7700,26362221,1486229836.5100
42,2023-01-31,sh.688020,52.0200,57.8200,49.7900,56.0400,12301165,659145799.1200
43,2023-02-28,sh.688020,56.6300,75.4500,56.6300,64.6600,33743888,2330484319.4300
44,2023-03-31,sh.688020,66.1900,77.9400,62.3000,62.8400,31348350,2190540980.8800
45,2023-04-28,sh.688020,63.0000,72.0800,51.4100,53.1800,25908456,1578967119.4700
46,2023-05-31,sh.688020,53.0000,54.1400,47.2000,51.5000,15477593,775393327.8800
47,2023-06-30,sh.688020,51.4000,55.3000,46.5000,49.9700,17560438,896234760.4000
48,2023-07-31,sh.688020,49.9600,51.5300,43.9900,45.1100,11469797,546890154.6200
49,2023-08-31,sh.688020,45.1100,50.6900,38.9000,46.0000,17228423,782757356.5800
50,2023-09-28,sh.688020,46.0000,48.4200,42.0200,43.9900,8816081,398688160.5400
51,2023-10-31,sh.688020,44.0300,64.2500,42.2100,61.6000,37832930,2053911949.1600
52,2023-11-30,sh.688020,61.8800,63.5600,55.0000,56.2000,24889060,1479512291.7400
53,2023-12-29,sh.688020,56.4400,57.4000,46.0200,48.4800,15596327,798670515.2500
54,2024-01-31,sh.688020,49.1700,49.6700,31.3100,31.3900,19690284,818543218.3500
55,2024-02-29,sh.688020,31.6500,35.9400,20.4400,32.8800,32446635,899394530.6700
56,2024-03-29,sh.688020,32.6800,35.1000,28.7500,31.3500,17890413,580089400.7500
