,date,code,open,high,low,close,volume,amount
0,2019-10-31,sh.688025,56.1000,68.9000,56.1000,58.6600,14526990,871981706.0000
1,2019-11-29,sh.688025,52.2800,52.2800,38.3800,40.2000,46404854,2083528014.0000
2,2019-12-31,sh.688025,40.1100,44.9900,37.7000,42.1500,36130905,1496699178.0000
3,2020-01-23,sh.688025,42.3800,53.6900,42.3200,49.5500,39197883,1868887663.0000
4,2020-02-28,sh.688025,39.7000,55.5000,39.6400,43.4800,56572286,2781255397.0000
5,2020-03-31,sh.688025,43.8500,48.2800,38.4000,38.7400,23732860,1028052265.0000
6,2020-04-30,sh.688025,38.9700,49.0000,38.5600,45.1000,24730985,1111312716.0000
7,2020-05-29,sh.688025,44.5100,49.8800,40.2300,45.5400,26461792,1164944901.0000
8,2020-06-30,sh.688025,45.6600,59.1900,45.6600,57.5000,38210656,1991233327.0000
9,2020-07-31,sh.688025,57.2900,81.7700,54.7500,70.9700,36768383,2617559412.3400
10,2020-08-31,sh.688025,70.9800,79.2100,59.1300,60.0000,20395290,1425076110.0000
11,2020-09-30,sh.688025,59.4900,61.8600,49.1400,51.3700,9111217,499291860.0700
12,2020-10-30,sh.688025,52.4800,58.8300,44.0000,45.9800,13210315,654164948.8700
13,2020-11-30,sh.688025,46.0000,51.4600,44.5000,46.3500,29954180,1441639711.4100
14,2020-12-31,sh.688025,46.2000,48.8600,39.0100,43.7100,20865587,925287014.0000
15,2021-01-29,sh.688025,43.9500,46.2000,39.6800,42.8500,15494747,663292469.9900
16,2021-02-26,sh.688025,42.9000,43.5000,38.0400,40.1400,10565012,430795736.6100
17,2021-03-31,sh.688025,39.5300,44.1500,34.0000,35.4200,17052374,673849992.7500
18,2021-04-30,sh.688025,35.6900,38.8800,34.8000,37.3300,16251050,598318369.3400
19,2021-05-31,sh.688025,37.4400,45.3300,36.4300,44.0400,28804520,1171582893.8900
20,2021-06-30,sh.688025,43.9600,47.7000,39.3300,47.1100,28700056,1256016536.7000
21,2021-07-30,sh.688025,46.9200,55.2000,43.6000,54.3500,41119350,1980990740.7000
22,2021-08-31,sh.688025,56.6400,77.8900,55.9500,56.0000,63272160,4143035646.5200
23,2021-09-30,sh.688025,57.5600,64.2000,50.0600,54.0500,33990406,1934178555.4300
24,2021-10-29,sh.688025,55.0000,56.3000,44.6500,46.4000,22372515,1065308219.4100
25,2021-11-30,sh.688025,46.6000,62.5600,45.7800,58.6000,59220399,3255626810.4900
26,2021-12-31,sh.688025,58.2900,78.4000,57.6100,77.0500,65457529,4436234181.5400
27,2022-01-28,sh.688025,75.5800,78.7900,54.6600,56.4900,44168144,2740834084.5100
28,2022-02-28,sh.688025,56.5000,62.2400,49.2200,59.4100,29883378,1655382631.8100
29,2022-03-31,sh.688025,59.8600,60.6800,42.7800,47.7200,36620577,1820437135.2800
30,2022-04-29,sh.688025,47.7200,48.4500,34.0000,39.5500,27472592,1153399943.6000
31,2022-05-31,sh.688025,38.0000,45.3100,35.2200,43.9900,36817611,1449951995.0600
32,2022-06-30,sh.688025,43.9900,57.0900,41.0000,49.5800,94118481,4442898748.0600
33,2022-07-29,sh.688025,49.5500,62.5000,46.6400,60.5000,61485206,3222993686.3300
34,2022-08-31,sh.688025,60.1000,75.0000,55.0000,57.6000,75679099,4871997169.6900
35,2022-09-30,sh.688025,58.0700,65.5000,49.5600,50.7100,32009764,1813391498.9600
36,2022-10-31,sh.688025,50.7000,52.1400,43.9900,46.7300,24402977,1176003643.4100
37,2022-11-30,sh.688025,46.6300,56.4900,45.6200,47.2800,33843753,1722043406.9300
38,2022-12-30,sh.688025,48.0000,53.8900,42.1000,44.3900,27464035,1341289835.8500
39,2023-01-31,sh.688025,44.4000,64.6800,44.0000,60.3100,33200551,1796814422.2500
40,2023-02-28,sh.688025,61.0000,63.8000,53.9800,56.0500,49639623,2958601063.6600
41,2023-03-31,sh.688025,56.0500,62.0600,49.9900,52.5100,47891922,2663700025.1300
42,2023-04-28,sh.688025,52.0300,58.0200,44.0000,58.0200,49268480,2566357830.3100
43,2023-05-31,sh.688025,57.5700,65.7800,55.1000,64.6000,84654978,5087253139.3800
44,2023-06-30,sh.688025,65.7600,90.8800,56.0100,87.3500,106702082,7623453045.5600
45,2023-07-31,sh.688025,89.8500,94.9800,72.1600,74.6800,54045286,4497802011.8700
46,2023-08-31,sh.688025,75.2200,86.2800,65.1300,76.6100,38778302,2926368132.5600
47,2023-09-28,sh.688025,76.5000,82.3900,69.6000,74.6100,25656992,1919547854.8400
48,2023-10-31,sh.688025,74.3600,81.0000,66.2000,79.3800,16851850,1257141803.7000
49,2023-11-30,sh.688025,78.9800,88.2300,75.6200,86.6200,32103899,2646947734.0500
50,2023-12-29,sh.688025,86.4500,97.9800,83.0800,92.5500,42634150,3819901687.4000
51,2024-01-31,sh.688025,91.0300,91.8000,50.6300,51.2000,61233515,4257197376.2600
52,2024-02-29,sh.688025,51.2000,62.1500,40.8800,54.9900,82710236,4338040708.7000
53,2024-03-29,sh.688025,54.8900,60.8900,46.3000,48.3500,86288497,4668246671.1300
