,date,code,open,high,low,close,volume,amount
0,2019-07-31,sh.688033,35.0000,56.0000,28.3000,47.3000,156646697,6462347263.0000
1,2019-08-30,sh.688033,46.4800,64.8000,39.3800,40.4600,234732900,11977393819.0000
2,2019-09-30,sh.688033,40.7500,44.3000,33.6200,34.0800,71054161,2876290173.0000
3,2019-10-31,sh.688033,34.0700,35.2000,28.9000,29.0800,39258313,1282123460.0000
4,2019-11-29,sh.688033,29.2900,30.0000,23.2300,24.2100,26822660,711131073.0000
5,2019-12-31,sh.688033,24.3600,29.0100,23.1700,27.0200,43868895,1165502025.0000
6,2020-01-23,sh.688033,27.2100,33.4500,27.1000,29.6900,52992455,1596565182.0000
7,2020-02-28,sh.688033,23.7600,32.9700,23.7500,26.2000,85891343,2480006433.0000
8,2020-03-31,sh.688033,26.6900,34.8900,24.7500,25.4500,93541972,2783126646.0000
9,2020-04-30,sh.688033,25.0500,27.0200,21.6300,24.5000,29347167,753478746.0000
10,2020-05-29,sh.688033,24.5100,26.3500,22.8800,24.4400,27641395,682891186.0000
11,2020-06-30,sh.688033,24.2500,26.4900,23.9000,24.1800,36019296,905331365.0000
12,2020-07-31,sh.688033,24.1800,30.1800,19.9100,20.9000,128621489,3096530338.3700
13,2020-08-31,sh.688033,21.0900,22.0700,19.7300,19.8800,82199477,1718067922.0000
14,2020-09-30,sh.688033,19.9000,20.5700,17.8500,19.0000,57044077,1112689204.1700
15,2020-10-30,sh.688033,19.3600,19.8600,17.4700,17.4900,27170671,512560114.1600
16,2020-11-30,sh.688033,17.6000,18.5800,16.9100,17.1800,41010430,720806351.6200
17,2020-12-31,sh.688033,17.2000,17.3800,13.8000,14.3300,73660351,1129760164.0000
18,2021-01-29,sh.688033,14.2700,15.1800,12.1300,12.3100,71307189,967919258.9700
19,2021-02-26,sh.688033,12.3900,12.7900,11.3100,12.1500,47041354,569292891.7100
20,2021-03-31,sh.688033,12.1800,14.1800,12.1700,12.7600,116689477,1555356736.9500
21,2021-04-30,sh.688033,12.8100,13.2700,11.4000,11.4400,57649177,728019652.8400
22,2021-05-31,sh.688033,11.4400,12.2800,11.1400,11.9100,59035222,685729223.7400
23,2021-06-30,sh.688033,11.9400,16.4600,11.8100,15.8900,157051704,2131587619.5700
24,2021-07-30,sh.688033,16.0500,22.4000,15.2800,21.8500,253621803,4789423179.5300
25,2021-08-31,sh.688033,21.9000,28.2800,21.1400,26.5900,226528267,5738397199.9400
26,2021-09-30,sh.688033,26.5400,27.2000,19.5500,21.7000,146544733,3459947155.1100
27,2021-10-29,sh.688033,22.0900,30.3300,19.2500,28.5200,151527662,3938458392.5600
28,2021-11-30,sh.688033,28.9900,34.9600,27.4100,30.8800,192018714,5892051221.1900
29,2021-12-31,sh.688033,30.8700,34.0600,26.8000,33.0500,165665107,4972401932.8200
30,2022-01-28,sh.688033,32.7800,33.3400,23.1000,24.5000,179301620,4692410210.1700
31,2022-02-28,sh.688033,25.5000,25.8200,20.3600,24.2600,96015357,2164776119.3300
32,2022-03-31,sh.688033,24.4000,25.8000,17.0000,17.8000,151118149,3041395193.6700
33,2022-04-29,sh.688033,17.7900,18.6900,13.1000,16.0000,152605165,2437406554.8900
34,2022-05-31,sh.688033,15.9000,19.7600,15.1000,17.4300,127167393,2205756387.0600
35,2022-06-30,sh.688033,17.5000,24.1100,17.4600,21.2400,277029508,5878526364.0000
36,2022-07-29,sh.688033,21.2400,29.1500,19.8300,28.1800,241391962,5599219688.4900
37,2022-08-31,sh.688033,28.1000,32.4700,22.7000,22.8500,211456701,5940180552.4000
38,2022-09-30,sh.688033,22.9000,26.9300,21.8600,22.5500,178282311,4321201321.8000
39,2022-10-31,sh.688033,22.8000,24.0000,19.2500,21.0500,167376417,3534964279.0000
40,2022-11-30,sh.688033,21.3700,27.0000,20.9100,21.2500,237054154,5592193576.0600
41,2022-12-30,sh.688033,21.8000,23.5700,19.9300,21.7700,111996662,2469479793.6000
42,2023-01-31,sh.688033,21.8800,24.8700,21.5100,23.9900,83958928,1962081287.8100
43,2023-02-28,sh.688033,23.9700,25.1500,21.5200,22.0500,108159142,2516900807.2100
44,2023-03-31,sh.688033,22.0800,22.6600,19.0300,20.4100,130586083,2702078878.1800
45,2023-04-28,sh.688033,20.4200,20.7500,17.9400,19.2700,114415574,2200475699.4000
46,2023-05-31,sh.688033,19.2000,20.2000,16.5400,16.6300,98765844,1790686679.8200
47,2023-06-30,sh.688033,16.7300,19.3100,16.3700,19.1200,114368284,2047477621.3000
48,2023-07-31,sh.688033,19.0200,19.9800,17.8800,18.3900,92900668,1755313748.5400
49,2023-08-31,sh.688033,18.3100,18.9200,16.3000,17.5300,80840322,1429674917.9400
50,2023-09-28,sh.688033,17.5200,18.1800,15.8100,18.0100,92176313,1569402231.2500
51,2023-10-31,sh.688033,18.0100,19.1600,17.1200,18.2300,138258561,2511926008.0400
52,2023-11-30,sh.688033,18.4300,19.4500,16.5900,17.1700,158870748,2887083289.2900
53,2023-12-29,sh.688033,17.0000,17.2000,15.5600,16.9000,99638530,1630832122.9200
54,2024-01-31,sh.688033,16.8800,16.9600,11.4000,11.4700,204697975,2893285553.4100
55,2024-02-29,sh.688033,11.3800,12.6200,9.2500,12.1800,234195419,2669467804.7500
56,2024-03-29,sh.688033,12.2500,13.1000,9.8600,10.2800,615402179,6940835393.5100
