,date,code,open,high,low,close,volume,amount
0,2019-09-30,sh.688036,53.0000,69.0000,53.0000,57.8000,48626644,2888291706.0000
1,2019-10-31,sh.688036,55.0000,55.5500,40.5500,41.6600,200788792,9313012982.0000
2,2019-11-29,sh.688036,41.7600,44.4600,38.3600,39.1200,94572529,3944406845.0000
3,2019-12-31,sh.688036,39.1800,46.2100,37.2800,45.6300,90998432,3810243840.0000
4,2020-01-23,sh.688036,45.4400,78.6800,45.4000,73.0000,104693659,6007744074.0000
5,2020-02-28,sh.688036,59.8000,76.8800,57.2600,57.2600,113655879,7808575604.0000
6,2020-03-31,sh.688036,58.6000,63.5000,41.5100,42.8100,65970943,3403134481.0000
7,2020-04-30,sh.688036,42.3800,54.7800,41.8900,54.5000,74246872,3490505549.0000
8,2020-05-29,sh.688036,53.5000,57.6000,47.0000,50.0000,69067812,3657308543.0000
9,2020-06-30,sh.688036,50.6600,73.9900,50.0300,71.0000,106547856,6582936704.0000
10,2020-07-31,sh.688036,70.0000,108.8800,66.5600,100.1000,103511041,9111491183.9200
11,2020-08-31,sh.688036,102.0500,123.7800,90.0500,111.7300,55786969,5811989130.0000
12,2020-09-30,sh.688036,111.7300,118.6000,85.3400,96.8200,46135100,4546274462.3100
13,2020-10-30,sh.688036,100.0000,128.5000,89.0200,122.0500,58422225,6079199894.6600
14,2020-11-30,sh.688036,126.3200,150.2600,120.3000,137.8100,89470212,12158889167.5900
15,2020-12-31,sh.688036,138.0100,155.5800,124.4500,152.1400,84390617,11735841680.0000
16,2021-01-29,sh.688036,152.9800,211.9900,142.6500,206.0000,82841673,13917245244.5000
17,2021-02-26,sh.688036,200.0000,261.9400,180.0100,196.6100,59190400,12396786045.6900
18,2021-03-31,sh.688036,200.5700,209.5000,166.2100,209.3800,73921344,13964847121.4300
19,2021-04-30,sh.688036,205.1200,209.5000,155.8600,174.3700,71760980,12710145703.5000
20,2021-05-31,sh.688036,170.0000,181.0000,146.4400,178.0000,49573739,8083328616.2400
21,2021-06-30,sh.688036,173.2100,220.8000,156.0000,209.5000,76843546,13926259433.4700
22,2021-07-30,sh.688036,209.5000,210.0000,154.3200,162.9000,87517772,15665841496.0200
23,2021-08-31,sh.688036,162.3600,185.7400,139.8800,147.5000,67406907,11074875883.2800
24,2021-09-30,sh.688036,146.5200,155.0000,134.6200,141.0000,50418448,7252823564.5800
25,2021-10-29,sh.688036,142.0000,170.0000,135.1000,157.9900,39214142,5877734514.1000
26,2021-11-30,sh.688036,158.9700,184.0000,144.1700,167.2800,60190858,9781123533.6000
27,2021-12-31,sh.688036,165.0000,165.2800,148.7500,156.9000,50836492,7993692545.2200
28,2022-01-28,sh.688036,156.6000,163.3400,132.1000,135.4300,52970424,7638643207.1500
29,2022-02-28,sh.688036,135.4600,140.6000,123.3300,135.4200,30640757,4021887315.6800
30,2022-03-31,sh.688036,135.7900,135.8900,94.3900,95.6100,59433348,6342135258.7300
31,2022-04-29,sh.688036,95.6700,97.2000,76.6600,84.6000,45984740,4008115946.5600
32,2022-05-31,sh.688036,84.6500,95.1700,77.0100,87.9500,57363192,4903202898.5700
33,2022-06-30,sh.688036,87.5000,106.5900,85.6900,89.2300,103750146,9952057426.0700
34,2022-07-29,sh.688036,89.2600,92.4800,69.4700,70.8600,91730651,7052700356.5700
35,2022-08-31,sh.688036,70.5100,83.6700,66.3100,68.2600,174730329,12937122258.6900
36,2022-09-30,sh.688036,68.5000,69.6800,55.4000,58.1600,89598371,5646312888.3400
37,2022-10-31,sh.688036,58.3600,65.1600,53.0000,62.1300,49644143,2992429678.4800
38,2022-11-30,sh.688036,62.2900,81.3000,60.5200,77.7400,88361027,6393112423.2800
39,2022-12-30,sh.688036,78.0000,85.1900,74.0000,79.5200,63678155,5067455687.8500
40,2023-01-31,sh.688036,80.6000,93.4600,74.3100,85.5300,54700743,4469082314.8400
41,2023-02-28,sh.688036,85.5300,96.5800,79.9500,80.6800,44116308,3882050703.1700
42,2023-03-31,sh.688036,80.0800,116.0300,79.2800,101.2000,134324447,13224666762.0700
43,2023-04-28,sh.688036,106.0000,142.5000,95.1000,109.0000,275362445,30793646779.4100
44,2023-05-31,sh.688036,112.5800,132.8000,106.0000,125.7500,144664770,17053793484.1700
45,2023-06-30,sh.688036,124.4700,156.0000,121.5000,147.0000,115201215,15921754760.6700
46,2023-07-31,sh.688036,146.7900,147.5000,118.1000,122.7300,95198879,12528627703.1500
47,2023-08-31,sh.688036,125.0000,149.6200,120.5800,146.8200,81562300,10691911909.4000
48,2023-09-28,sh.688036,145.5000,149.8000,129.7000,145.7400,53965550,7522353026.1600
49,2023-10-31,sh.688036,145.7400,149.2800,130.9400,134.1600,47790904,6671827580.8100
50,2023-11-30,sh.688036,133.2400,139.5800,109.6800,110.6700,93093577,11623914981.0700
51,2023-12-29,sh.688036,110.6900,139.2800,110.2800,138.4000,81998687,10195469383.6400
52,2024-01-31,sh.688036,137.9100,148.9600,126.8800,136.6500,70388452,9557599803.1500
53,2024-02-29,sh.688036,136.6700,163.7900,135.0300,158.7000,64624469,9718786178.9200
54,2024-03-29,sh.688036,158.7200,173.2000,156.1700,168.2700,71130415,11732988847.2400
