,date,code,open,high,low,close,volume,amount
0,2022-09-30,sh.688137,82.0000,89.6900,73.8800,75.5100,10177348,810167175.8800
1,2022-10-31,sh.688137,76.2700,89.8000,62.6400,74.7800,39094568,3001349377.9700
2,2022-11-30,sh.688137,76.1800,119.4600,74.7000,113.8000,52224943,5372143871.6600
3,2022-12-30,sh.688137,112.9000,112.9000,73.3500,76.0000,32286160,2826144220.0600
4,2023-01-31,sh.688137,75.9900,91.7500,75.5000,83.3000,13145515,1109447850.3600
5,2023-02-28,sh.688137,83.2600,87.7600,76.9000,77.8800,11345017,945510496.7100
6,2023-03-31,sh.688137,78.0000,81.5000,66.2600,66.9800,12298912,902199634.1600
7,2023-04-28,sh.688137,66.8500,75.3000,62.2000,66.0300,13943017,971518708.7500
8,2023-05-31,sh.688137,66.7800,66.7800,55.0000,56.4500,7931704,461728175.4400
9,2023-06-30,sh.688137,56.1000,59.5500,49.6800,51.4800,6599764,355608456.5700
10,2023-07-31,sh.688137,51.3000,56.5000,51.2500,53.7400,6111955,325267786.5900
11,2023-08-31,sh.688137,53.7400,61.4000,46.4900,51.5000,22373775,1229735793.6900
12,2023-09-28,sh.688137,51.2500,51.8500,48.1300,50.0300,6591844,331906922.9400
13,2023-10-31,sh.688137,51.6000,54.6000,45.7200,53.6000,9281837,470840138.6000
14,2023-11-30,sh.688137,55.0000,60.5000,50.3800,54.9900,16855660,925408278.0400
15,2023-12-29,sh.688137,54.8600,57.5100,52.0800,55.4800,9043222,491399602.6700
16,2024-01-31,sh.688137,55.7100,56.1900,37.8000,38.0300,6462209,302521550.4500
17,2024-02-29,sh.688137,38.4600,41.9600,30.6700,37.5300,6185841,227042808.9900
18,2024-03-29,sh.688137,37.6300,40.3300,36.3900,37.1300,6670138,253669732.1700
