,date,code,open,high,low,close,volume,amount
0,2022-03-31,sh.688193,68.0000,72.0000,62.6000,63.2200,8534993,566065249.2300
1,2022-04-29,sh.688193,62.0000,62.4900,46.0000,49.1000,14177404,823025830.9500
2,2022-05-31,sh.688193,48.8000,60.7900,48.2200,53.5000,7195612,396982240.3800
3,2022-06-30,sh.688193,53.5900,60.4300,52.5600,54.1000,6262846,350308943.5700
4,2022-07-29,sh.688193,54.2700,57.5700,51.1700,55.4700,8066306,436023699.7000
5,2022-08-31,sh.688193,55.9400,59.9500,51.0000,51.6000,6322231,351465586.4000
6,2022-09-30,sh.688193,51.1100,52.5400,46.1100,46.2300,1709804,85015651.2000
7,2022-10-31,sh.688193,45.8100,50.6600,44.5900,47.5400,2636001,127144932.2500
8,2022-11-30,sh.688193,47.4000,54.9800,47.3000,49.7800,5081587,260380573.8300
9,2022-12-30,sh.688193,50.3500,52.7700,46.0000,46.7200,2644763,128042252.1400
10,2023-01-31,sh.688193,46.5000,49.4700,46.3500,48.1000,1979848,94245526.1800
11,2023-02-28,sh.688193,48.0100,59.9900,48.0100,57.9000,5852854,317685689.2600
12,2023-03-31,sh.688193,57.3000,65.4000,51.4800,52.2800,7161568,416561908.3800
13,2023-04-28,sh.688193,52.3600,52.7000,42.6000,44.6700,5796345,277960738.6600
14,2023-05-31,sh.688193,44.5900,45.4600,41.5600,44.5700,2614418,113467297.8700
15,2023-06-30,sh.688193,44.5700,45.6500,40.3600,43.0800,2122099,91748552.2400
16,2023-07-31,sh.688193,43.2100,46.3800,43.0000,46.3800,2049148,91402212.8200
17,2023-08-31,sh.688193,45.0000,46.3300,41.6400,45.7700,3083086,136034098.5200
18,2023-09-28,sh.688193,45.6900,48.4500,44.6400,47.4400,2845899,132844906.2900
19,2023-10-31,sh.688193,47.4300,52.6300,40.5500,48.0400,4707661,213071968.0600
20,2023-11-30,sh.688193,48.1900,50.4500,47.1400,48.1900,5329593,259474393.0800
21,2023-12-29,sh.688193,47.7100,48.9200,41.9400,45.1200,4799626,217818790.2700
22,2024-01-31,sh.688193,45.1200,46.7900,33.5100,33.7900,5384575,220785853.3200
23,2024-02-29,sh.688193,33.7700,35.4000,22.5000,30.5700,8160731,235473415.2900
24,2024-03-29,sh.688193,30.4900,34.7800,29.5300,32.8000,4680893,148404479.6000
