,date,code,open,high,low,close,volume,amount
0,2021-12-31,sh.688246,41.0000,47.4800,34.2100,36.5600,104344725,4216728323.7600
1,2022-01-28,sh.688246,36.4900,41.3900,34.2900,35.4500,43777678,1644141222.6000
2,2022-02-28,sh.688246,35.4800,36.9900,30.8100,30.9400,24758546,855058298.1600
3,2022-03-31,sh.688246,30.9900,31.8700,25.1300,26.6100,16772923,473453117.5200
4,2022-04-29,sh.688246,26.4400,29.2000,18.2600,19.7700,10059249,244620112.9200
5,2022-05-31,sh.688246,19.7700,22.1500,19.5400,21.9100,10884636,226925335.5400
6,2022-06-30,sh.688246,21.9800,27.8000,20.9200,26.6600,20219190,489715854.5500
7,2022-07-29,sh.688246,26.5000,29.2000,24.2000,28.2000,15098623,405321603.9700
8,2022-08-31,sh.688246,28.0000,28.3900,22.0200,22.3000,12697492,327164259.3000
9,2022-09-30,sh.688246,22.0700,23.7600,20.2100,20.3600,7725346,170269360.6300
10,2022-10-31,sh.688246,20.3600,29.9800,19.3200,28.6600,20039929,528781647.1700
11,2022-11-30,sh.688246,29.0600,35.9800,26.3300,28.6800,41951020,1327305255.4100
12,2022-12-30,sh.688246,28.4200,35.3700,27.9700,29.3100,32277308,993932043.0100
13,2023-01-31,sh.688246,29.9000,35.8800,29.1700,33.8800,30157993,990398508.9400
14,2023-02-28,sh.688246,34.2600,39.9900,33.2300,38.0300,47214460,1732509378.6200
15,2023-03-31,sh.688246,38.7400,51.0600,36.4000,49.1100,55752440,2409641250.7000
16,2023-04-28,sh.688246,48.5000,53.8800,41.1100,42.4700,49643578,2326990559.8200
17,2023-05-31,sh.688246,41.7000,45.0000,36.6800,39.8800,36396382,1448259311.6900
18,2023-06-30,sh.688246,38.5700,45.4800,37.3000,41.8700,39124418,1591695421.7700
19,2023-07-31,sh.688246,42.2900,42.2900,32.5900,32.8100,19646719,730954424.4400
20,2023-08-31,sh.688246,32.7300,34.9000,30.5600,34.7300,19351788,639551489.4800
21,2023-09-28,sh.688246,34.9800,35.3500,30.9900,31.9000,18388170,600642524.9000
22,2023-10-31,sh.688246,31.8300,33.2300,23.6000,33.0800,23714876,713607103.0200
23,2023-11-30,sh.688246,33.1600,37.3000,31.8900,32.8700,36320927,1260842181.8000
24,2023-12-29,sh.688246,32.5800,36.5000,31.4800,33.4200,25233402,860203468.0300
25,2024-01-31,sh.688246,33.5800,34.2100,21.3200,22.6800,22289626,614556058.9500
26,2024-02-29,sh.688246,22.4900,25.7400,17.1000,24.2400,36038939,797194689.2400
27,2024-03-29,sh.688246,24.2000,32.5800,22.8800,27.5600,45535324,1273032742.0400
