,date,code,open,high,low,close,volume,amount
0,2022-04-29,sh.688290,30.0000,33.3000,28.1600,31.7300,8538199,256614656.9300
1,2022-05-31,sh.688290,31.0000,48.6000,30.0000,43.0100,64934235,2536974864.9400
2,2022-06-30,sh.688290,42.8300,53.3000,39.8900,50.9000,28400232,1305418279.7600
3,2022-07-29,sh.688290,51.6600,87.6600,46.3200,82.2000,30714205,2125166902.0400
4,2022-08-31,sh.688290,83.1900,103.6000,73.5800,81.2000,26396543,2255422633.2500
5,2022-09-30,sh.688290,80.1300,107.0000,80.1300,85.5800,14957036,1388053283.9900
6,2022-10-31,sh.688290,85.5100,101.9600,77.5100,85.9500,9893200,886098508.8200
7,2022-11-30,sh.688290,84.6400,88.7700,71.0000,72.2900,7661691,622813688.9200
8,2022-12-30,sh.688290,73.5200,79.9900,65.5800,72.0800,7249183,525866223.5600
9,2023-01-31,sh.688290,71.0500,85.5900,70.9900,81.2500,6516417,506663514.0800
10,2023-02-28,sh.688290,80.8500,84.8800,76.4000,84.1600,5884575,476146504.0900
11,2023-03-31,sh.688290,84.4700,91.7600,77.8000,85.0000,10768361,907661597.6400
12,2023-04-28,sh.688290,85.0000,88.5000,63.6300,65.9000,6994868,549407616.2900
13,2023-05-31,sh.688290,67.1500,74.3000,61.7200,69.0300,6399575,440880197.9700
14,2023-06-30,sh.688290,67.8000,72.0000,62.0900,66.7100,12008463,803650935.5500
15,2023-07-31,sh.688290,66.0000,67.9500,57.2800,59.3500,9145265,568685064.2700
16,2023-08-31,sh.688290,60.1000,63.0600,44.9000,50.7000,14182404,763010534.4200
17,2023-09-28,sh.688290,50.7400,51.6700,44.9200,47.4000,7314920,352717255.6700
18,2023-10-31,sh.688290,47.4100,47.4200,37.7800,41.5600,7331116,305462566.1100
19,2023-11-30,sh.688290,42.5600,47.0000,40.5000,41.2600,11339215,493346125.9500
20,2023-12-29,sh.688290,40.5400,48.0000,39.2100,47.7700,11022973,470089214.2300
21,2024-01-31,sh.688290,49.0200,52.9000,37.7000,37.7000,20647452,964828774.0700
22,2024-02-29,sh.688290,37.3600,41.4900,30.0000,35.8900,14498430,532763340.9700
23,2024-03-29,sh.688290,35.7700,46.5400,33.1800,40.1100,34128073,1367886672.9400
