,date,code,open,high,low,close,volume,amount
0,2023-04-28,sh.688352,16.3000,18.9300,12.8800,13.5800,313487718,4797713057.3600
1,2023-05-31,sh.688352,13.7900,15.7100,12.3200,14.7900,353167832,4896220309.0400
2,2023-06-30,sh.688352,14.9600,15.9800,12.9200,13.4400,200517151,2939379787.3800
3,2023-07-31,sh.688352,13.4800,15.6200,12.9300,13.3800,222813221,3180054455.1100
4,2023-08-31,sh.688352,13.2800,13.5300,11.6300,13.4200,120682074,1543278205.3100
5,2023-09-28,sh.688352,13.4300,13.5200,11.9700,12.4500,96510994,1231604977.9000
6,2023-10-31,sh.688352,12.4500,13.4900,11.1000,13.2800,103140335,1271521893.1000
7,2023-11-30,sh.688352,13.1800,14.6800,12.9500,13.8000,141203585,1946711805.6000
8,2023-12-29,sh.688352,13.8800,15.5800,13.3900,15.4100,123736333,1763530663.8400
9,2024-01-31,sh.688352,15.3000,15.3000,10.3100,10.3100,127306049,1607831968.2000
10,2024-02-29,sh.688352,10.3100,11.9400,8.2600,11.0900,141393597,1424645830.4800
11,2024-03-29,sh.688352,11.1900,11.9400,10.0300,10.3400,108159033,1205946215.9000
