,date,code,open,high,low,close,volume,amount
0,2019-12-31,sh.688357,44.0000,50.3900,39.9000,47.4700,56175950,2548738350.0000
1,2020-01-23,sh.688357,47.5000,60.4800,47.5000,56.1300,28030697,1505222836.0000
2,2020-02-28,sh.688357,45.2000,61.9900,45.2000,51.5800,35824644,2032040208.0000
3,2020-03-31,sh.688357,52.3200,56.2500,44.4100,44.5600,14642307,736484902.0000
4,2020-04-30,sh.688357,44.7000,48.4800,40.1200,43.0800,11283671,512724156.0000
5,2020-05-29,sh.688357,42.2000,47.8900,42.0100,43.9700,9517955,430948912.0000
6,2020-06-30,sh.688357,44.1100,56.0300,44.1100,50.8500,21286927,1083382905.0000
7,2020-07-31,sh.688357,51.0800,63.4900,50.8000,53.9200,22495103,1249436865.1000
8,2020-08-31,sh.688357,54.1500,83.8000,50.5200,75.1000,40260227,2744877071.0000
9,2020-09-30,sh.688357,74.0000,89.0000,70.3000,73.0700,20225257,1560328392.0200
10,2020-10-30,sh.688357,74.2800,88.6000,71.2900,71.7700,11941670,946424846.0000
11,2020-11-30,sh.688357,71.6000,73.8600,63.0200,63.8500,15004104,1010377076.9600
12,2020-12-31,sh.688357,64.0500,71.1800,61.0800,64.0400,12897165,845961658.0000
13,2021-01-29,sh.688357,63.8800,70.5800,61.3500,62.5700,12769211,844694881.6500
14,2021-02-26,sh.688357,62.3000,63.0000,54.2000,60.7100,6436924,381929423.1200
15,2021-03-31,sh.688357,60.8200,73.7600,59.6600,72.5600,10095203,675677141.1300
16,2021-04-30,sh.688357,72.1600,93.5800,72.1600,93.0000,16245086,1332529623.9300
17,2021-05-31,sh.688357,94.8800,94.8800,72.6500,84.3900,10597389,871184220.4400
18,2021-06-30,sh.688357,83.8000,112.0200,82.8200,109.9500,11712213,1133270964.4500
19,2021-07-30,sh.688357,125.0000,171.8800,125.0000,165.3000,23048401,3383519569.9700
20,2021-08-31,sh.688357,165.2700,178.9900,142.3200,144.0300,17193777,2773238922.4100
21,2021-09-30,sh.688357,149.0100,150.8700,123.0000,137.2700,11952817,1658343608.2500
22,2021-10-29,sh.688357,139.9500,208.7800,122.6700,194.9800,18032833,3370856867.2200
23,2021-11-30,sh.688357,196.2900,240.8000,191.2200,228.9800,16783037,3621892921.1600
24,2021-12-31,sh.688357,228.9000,233.9800,184.2600,191.9400,14225211,2950289833.1800
25,2022-01-28,sh.688357,198.9800,198.9800,144.1300,147.4700,15864646,2648755737.8900
26,2022-02-28,sh.688357,149.6600,168.4000,133.3000,162.3900,13102492,1965220049.7500
27,2022-03-31,sh.688357,163.1800,167.0900,121.5700,123.1000,14428065,2015919458.1500
28,2022-04-29,sh.688357,125.4900,125.9000,86.3100,91.2800,9463431,995997636.4400
29,2022-05-31,sh.688357,90.0000,110.1600,89.0100,109.6900,10637342,1065428305.7300
30,2022-06-30,sh.688357,109.6400,123.1000,106.1100,112.4400,15331390,1767237384.8700
31,2022-07-29,sh.688357,112.4000,113.4900,93.0500,93.3700,9060002,902589759.9400
32,2022-08-31,sh.688357,93.0000,110.0000,86.6000,87.7000,17889056,1739740393.1200
33,2022-09-30,sh.688357,89.0000,93.0000,76.1000,86.1600,9352661,795246704.2800
34,2022-10-31,sh.688357,86.1500,92.3000,72.8700,86.2000,13236201,1113067898.9000
35,2022-11-30,sh.688357,87.9900,133.8600,87.6700,107.7800,37119924,4031208100.5600
36,2022-12-30,sh.688357,111.1400,113.4800,88.5700,110.9000,15154230,1517594596.5900
37,2023-01-31,sh.688357,111.7100,121.9700,104.7900,106.0100,11668916,1315665918.7300
38,2023-02-28,sh.688357,106.6300,128.6000,105.0000,122.8100,17133129,1981130756.9300
39,2023-03-31,sh.688357,121.5800,126.5300,92.2300,94.0600,16058045,1746069122.9000
40,2023-04-28,sh.688357,94.1100,115.8900,90.6000,110.1600,15965422,1612278221.3200
41,2023-05-31,sh.688357,107.8900,109.9100,90.8200,92.1800,12676631,1233477615.0900
42,2023-06-30,sh.688357,92.1800,95.1800,59.7500,64.6900,11361227,779319668.9900
43,2023-07-31,sh.688357,65.2800,66.1400,59.0000,62.2400,9508713,601626075.4800
44,2023-08-31,sh.688357,61.8600,66.6600,48.7300,57.1000,33276899,1931976628.5400
45,2023-09-28,sh.688357,56.8000,56.8100,48.8400,50.3800,19847349,1017878634.0300
46,2023-10-31,sh.688357,50.3800,57.4700,47.6100,56.4900,19663167,1038097494.9600
47,2023-11-30,sh.688357,56.2200,58.0000,51.7000,53.6500,18288712,999163716.7100
48,2023-12-29,sh.688357,53.7900,53.9600,47.3100,51.6900,8301683,420113970.7900
49,2024-01-31,sh.688357,51.8900,52.5000,39.8800,39.9000,10729205,504006442.1600
50,2024-02-29,sh.688357,39.7000,44.9900,33.6800,41.6400,12879212,523885584.5000
51,2024-03-29,sh.688357,41.9900,43.4600,36.2500,37.8400,18584836,735075081.1100
