,date,code,open,high,low,close,volume,amount
0,2020-12-31,sh.688510,35.0000,45.5000,30.6000,35.4300,225436462,8338980556.0000
1,2021-01-29,sh.688510,36.1000,44.4300,24.9700,25.3500,111766109,3930169380.3900
2,2021-02-26,sh.688510,25.5000,29.6600,24.8000,25.8400,31673477,850854852.2700
3,2021-03-31,sh.688510,26.0700,28.5500,22.2800,23.0700,30427311,762776609.5600
4,2021-04-30,sh.688510,23.2800,24.5000,20.3000,21.5500,26409504,601245442.7600
5,2021-05-31,sh.688510,21.5500,26.9300,19.8000,26.9300,22462175,501680498.0300
6,2021-06-30,sh.688510,27.0000,29.5000,24.5000,26.3000,93714433,2527842187.5500
7,2021-07-30,sh.688510,26.6000,30.4000,22.3000,27.3200,74621005,1910895815.6500
8,2021-08-31,sh.688510,27.3000,38.3800,26.5100,33.5000,107293086,3372518783.1100
9,2021-09-30,sh.688510,33.8300,34.3900,25.7300,25.7800,47911951,1412714791.3700
10,2021-10-29,sh.688510,26.0300,26.7600,21.6000,23.1700,23173574,554719879.0200
11,2021-11-30,sh.688510,23.2000,31.9600,22.3200,30.4800,52053526,1413366179.2500
12,2021-12-31,sh.688510,30.0800,33.3000,25.0400,29.0700,43997478,1248534925.6200
13,2022-01-28,sh.688510,29.5700,29.5700,23.5300,23.7300,14456919,376909744.9400
14,2022-02-28,sh.688510,23.5000,26.1200,23.5000,23.9800,7508826,186681346.3500
15,2022-03-31,sh.688510,24.0000,25.0000,17.7000,17.8000,23658339,467924368.9800
16,2022-04-29,sh.688510,17.8000,17.8900,11.5100,12.9800,16224840,239574550.5600
17,2022-05-31,sh.688510,13.2900,16.2700,13.0100,15.2400,19635664,293565558.8400
18,2022-06-30,sh.688510,15.3200,21.0000,15.0300,19.1600,63338129,1134061499.1600
19,2022-07-29,sh.688510,19.0500,20.8800,17.9800,19.4600,39403630,770819280.6800
20,2022-08-31,sh.688510,19.4900,21.6000,16.7200,16.9800,41579742,816780089.6000
21,2022-09-30,sh.688510,16.7000,19.8900,15.6200,15.6200,28919885,530154446.3600
22,2022-10-31,sh.688510,15.7100,19.5000,15.0900,19.0200,18669065,329168652.6300
23,2022-11-30,sh.688510,19.4900,19.4900,16.0400,16.3700,31045701,561967778.2400
24,2022-12-30,sh.688510,16.5700,16.9900,14.9000,15.9000,13966414,224327226.1400
25,2023-01-31,sh.688510,15.6600,18.9600,15.6600,18.6600,16452096,285501471.1000
26,2023-02-28,sh.688510,18.8200,19.2600,17.2000,17.3600,21025056,377958527.7800
27,2023-03-31,sh.688510,17.4500,18.4800,16.1100,16.2400,23397248,406820113.6800
28,2023-04-28,sh.688510,16.1800,19.2000,15.1300,18.7000,33172067,570507503.8800
29,2023-05-31,sh.688510,18.5200,20.6900,17.8000,19.0700,56591244,1066663646.8900
30,2023-06-30,sh.688510,19.1100,20.3800,17.6700,19.8900,38348712,728149238.5700
31,2023-07-31,sh.688510,20.2100,20.4700,18.5200,18.7800,31277157,610738328.0500
32,2023-08-31,sh.688510,18.6800,19.2000,16.7900,17.9800,42161588,747537564.8800
33,2023-09-28,sh.688510,17.9200,18.3200,15.6800,17.6100,46048969,788020980.0900
34,2023-10-31,sh.688510,17.5700,18.3800,15.7600,18.2300,49495284,835423961.0800
35,2023-11-30,sh.688510,18.0500,18.9400,17.7100,17.8800,45034579,823422966.9400
36,2023-12-29,sh.688510,17.7500,18.0500,16.3100,17.6200,45192811,776003715.2400
37,2024-01-31,sh.688510,17.6000,18.2000,12.8900,13.0200,57422138,893958094.5200
38,2024-02-29,sh.688510,12.8600,14.8900,10.2100,14.1200,72769694,944991934.8400
39,2024-03-29,sh.688510,14.1200,18.3600,13.8900,17.3400,83162835,1370385243.8400
