,date,code,open,high,low,close,volume,amount
0,2021-06-30,sh.688601,160.0000,200.8000,155.2300,184.1000,23816305,4078340306.0200
1,2021-07-30,sh.688601,177.1200,215.5800,144.7200,204.5000,56585745,9488686324.2900
2,2021-08-31,sh.688601,200.0000,215.8800,160.0000,162.3800,28956674,5525777019.3200
3,2021-09-30,sh.688601,161.5000,172.0000,142.0100,155.8100,12741853,2004098412.5900
4,2021-10-29,sh.688601,156.9700,169.4500,138.0000,167.0800,12502674,1950720582.6800
5,2021-11-30,sh.688601,167.0000,201.0000,163.6300,183.4000,16985924,3100381643.2300
6,2021-12-31,sh.688601,183.2000,186.6700,145.2800,151.8000,13235183,2112758386.3000
7,2022-01-28,sh.688601,151.8100,173.3000,135.9900,136.3500,19128685,2932932462.1800
8,2022-02-28,sh.688601,138.2100,155.5000,129.3000,149.6000,13343344,1888906987.3500
9,2022-03-31,sh.688601,149.6000,178.5000,120.0000,166.4700,22875486,3497648128.8000
10,2022-04-29,sh.688601,165.8000,178.5000,115.3900,131.8000,14859293,2144060929.9400
11,2022-05-31,sh.688601,132.9100,146.9800,121.2200,132.4800,14898864,2015988751.2600
12,2022-06-30,sh.688601,131.7000,157.8700,127.5300,150.0000,24374870,3482871750.6600
13,2022-07-29,sh.688601,150.0000,157.7200,107.3900,109.3000,43768198,5669844355.1000
14,2022-08-31,sh.688601,107.8000,130.9700,105.2600,112.7000,41467304,4971552867.5700
15,2022-09-30,sh.688601,115.0000,119.9400,64.3700,64.4000,23775236,2436508840.8300
16,2022-10-31,sh.688601,64.1000,68.2400,57.8800,62.3300,24356166,1545462899.0800
17,2022-11-30,sh.688601,62.1500,77.3700,61.3000,65.8900,37258164,2573167320.3400
18,2022-12-30,sh.688601,66.5900,68.7400,56.0200,56.3900,26929182,1718882856.7600
19,2023-01-31,sh.688601,56.3700,73.0900,56.1300,67.8300,23860452,1556649045.6000
20,2023-02-28,sh.688601,67.9700,84.2300,67.9700,72.2200,32922743,2487528288.8900
21,2023-03-31,sh.688601,72.6600,88.4600,72.2600,86.1000,37504258,3018934418.3200
22,2023-04-28,sh.688601,85.6900,98.7000,71.0000,75.8000,31514543,2720685468.7600
23,2023-05-31,sh.688601,74.8800,78.4300,66.2000,75.7500,15954826,1160798535.8800
24,2023-06-30,sh.688601,76.2800,81.3800,44.2000,47.1000,22167494,1181081380.3600
25,2023-07-31,sh.688601,47.0100,51.5000,40.5300,42.1100,23087876,1079194158.7900
26,2023-08-31,sh.688601,42.0100,50.2000,39.7000,47.0000,45641581,2013724426.7000
27,2023-09-28,sh.688601,47.4000,50.9900,42.0400,44.8000,38865680,1786042057.5200
28,2023-10-31,sh.688601,46.3000,62.9300,45.3300,60.5300,62809780,3344763367.3100
29,2023-11-30,sh.688601,60.4000,65.6600,53.2400,54.1100,41656779,2457108363.1800
30,2023-12-29,sh.688601,53.9800,54.8800,48.5500,52.3900,32100507,1663690231.7300
31,2024-01-31,sh.688601,52.6600,54.4000,36.3100,36.4000,38585061,1732327470.6100
32,2024-02-29,sh.688601,36.3200,52.5000,29.1800,51.8700,62128654,2591464303.6100
33,2024-03-29,sh.688601,51.4700,59.8800,43.5300,45.5500,65478135,3439859371.7200
