,date,code,open,high,low,close,volume,amount
0,2020-12-31,sh.688618,54.0000,86.4000,50.0500,53.6600,13518219,748535216.0000
1,2021-01-29,sh.688618,53.2200,68.8000,46.0000,47.6200,39858107,2324850515.4900
2,2021-02-26,sh.688618,46.6000,50.3000,40.7000,43.7900,8579367,383576427.4300
3,2021-03-31,sh.688618,43.1000,47.5000,41.1000,44.3300,11344125,508786673.3300
4,2021-04-30,sh.688618,44.7100,47.3100,35.9000,35.9600,10779845,469096054.0200
5,2021-05-31,sh.688618,36.2800,38.7500,35.6200,38.2900,5955026,219463015.5900
6,2021-06-30,sh.688618,38.3000,43.4900,37.6600,42.7200,11637094,466080079.8200
7,2021-07-30,sh.688618,42.0000,47.6600,38.3000,46.4800,14496710,608750298.8100
8,2021-08-31,sh.688618,45.5000,48.8600,41.9000,43.0000,11894433,540433394.8200
9,2021-09-30,sh.688618,42.2600,43.4100,37.2200,37.5700,4087606,166083747.5600
10,2021-10-29,sh.688618,37.8600,39.3000,36.2100,36.9300,2690962,101511726.6700
11,2021-11-30,sh.688618,37.2700,50.0000,36.6800,45.4700,9986859,436845517.6900
12,2021-12-31,sh.688618,44.5600,47.6900,40.6000,44.3900,5606672,244376310.1500
13,2022-01-28,sh.688618,44.0800,50.8300,43.2900,48.1600,8236092,388343192.1000
14,2022-02-28,sh.688618,48.8000,54.4400,46.3100,51.6900,9580234,485489577.9600
15,2022-03-31,sh.688618,52.0200,55.2100,39.3000,41.5000,6874341,315298560.9900
16,2022-04-29,sh.688618,41.5300,41.9000,32.0100,36.8300,3436124,127087637.4900
17,2022-05-31,sh.688618,36.3600,40.9000,35.9800,39.6600,3595588,139897246.1600
18,2022-06-30,sh.688618,39.6600,45.0900,39.4700,42.3400,4811183,204574052.7600
19,2022-07-29,sh.688618,42.0500,46.2900,38.5000,45.1800,3767278,160995875.2600
20,2022-08-31,sh.688618,44.8000,60.6000,44.5200,50.6800,9984978,535384108.4900
21,2022-09-30,sh.688618,51.0000,60.1000,48.7200,49.9800,7631594,414731591.8600
22,2022-10-31,sh.688618,49.9800,68.4000,46.2000,68.4000,5702964,315671609.6400
23,2022-11-30,sh.688618,71.8200,97.6700,68.8900,78.2900,20365873,1636475670.4200
24,2022-12-30,sh.688618,79.1700,89.6000,72.1000,79.9000,11081249,900353022.1500
25,2023-01-31,sh.688618,82.9000,95.7900,72.6000,93.6000,9014443,763662302.5300
26,2023-02-28,sh.688618,93.5100,112.4500,90.0200,99.2900,8741690,845822065.3900
27,2023-03-31,sh.688618,98.7900,114.0700,97.0300,103.5100,9043765,947364053.4400
28,2023-04-28,sh.688618,105.0600,109.6600,88.9300,94.4600,10272963,1032715337.7400
29,2023-05-31,sh.688618,93.6700,96.4100,60.2000,68.8000,11142170,871493052.1600
30,2023-06-30,sh.688618,68.8000,72.1700,64.8100,67.7200,8969010,611425246.1200
31,2023-07-31,sh.688618,67.4900,67.9900,55.4300,62.1000,6691523,413179298.8100
32,2023-08-31,sh.688618,62.1700,64.5000,52.0100,61.2200,5678366,334393672.9500
33,2023-09-28,sh.688618,61.9000,72.6500,56.7200,70.7100,8132474,519305124.3900
34,2023-10-31,sh.688618,70.0100,78.0400,58.9800,65.9900,12156017,826910815.1900
35,2023-11-30,sh.688618,64.8900,66.9800,57.5700,58.2800,9715984,609539024.2600
36,2023-12-29,sh.688618,57.9800,59.5800,51.2100,58.6000,8803566,493810845.6900
37,2024-01-31,sh.688618,58.0100,58.5000,39.1700,39.1800,15131582,730743888.7400
38,2024-02-29,sh.688618,39.5000,46.3600,30.2300,43.7700,18175203,739500552.3400
39,2024-03-29,sh.688618,43.6300,49.5100,40.1000,49.5100,22140465,963797453.3700
