,date,code,open,high,low,close,volume,amount
0,2023-06-30,sh.688629,21.0000,25.4400,18.0100,23.2200,170107409,3630593671.3500
1,2023-07-31,sh.688629,23.5800,28.4100,19.3100,20.2100,363386510,8548037632.5100
2,2023-08-31,sh.688629,20.0100,24.8300,17.0000,23.9500,233423076,5002584982.1200
3,2023-09-28,sh.688629,23.9800,26.4300,20.3200,20.7400,95596412,2205147880.9000
4,2023-10-31,sh.688629,20.8400,32.2300,20.2000,24.7000,166681314,4328663128.3900
5,2023-11-30,sh.688629,24.8500,28.6000,22.7500,25.9900,119021422,3052189006.9600
6,2023-12-29,sh.688629,25.7000,26.9000,20.5900,21.9000,51173017,1215382500.9500
7,2024-01-31,sh.688629,21.8600,22.1200,16.6600,18.1500,81207750,1534119836.5800
8,2024-02-29,sh.688629,17.7500,25.3700,14.7000,22.5000,101602496,2027635195.2100
9,2024-03-29,sh.688629,22.4900,35.6500,21.9100,26.4300,178727170,4946666024.9700
