,date,code,open,high,low,close,volume,amount
0,2020-12-31,sh.688699,82.2700,96.1600,53.0000,55.1700,49024047,3411209538.0000
1,2021-01-29,sh.688699,55.1700,72.8200,54.8000,71.0000,52319933,3271229798.4000
2,2021-02-26,sh.688699,71.0000,72.6000,55.6600,58.6000,20472664,1270260504.3600
3,2021-03-31,sh.688699,59.0500,79.6800,59.0200,78.0000,27758817,1880891664.1000
4,2021-04-30,sh.688699,78.3600,139.1300,76.5900,132.7400,45685824,4829480191.1600
5,2021-05-31,sh.688699,129.4100,197.5000,118.9000,196.6200,27983664,4173675638.9200
6,2021-06-30,sh.688699,194.9400,285.3200,171.3100,285.3200,37727967,7357170290.9100
7,2021-07-30,sh.688699,342.3800,410.8600,313.1300,334.7000,56508843,19723204816.5300
8,2021-08-31,sh.688699,327.3900,339.9900,268.3600,289.9200,41739808,12562620661.9200
9,2021-09-30,sh.688699,289.9800,324.9900,268.0900,273.3000,18710546,5472848352.9500
10,2021-10-29,sh.688699,274.8000,288.3100,208.2900,212.0100,20466244,4862766045.5800
11,2021-11-30,sh.688699,212.0900,249.0000,202.0000,218.6000,31318343,7029812457.1100
12,2021-12-31,sh.688699,217.2000,229.7700,180.0300,187.2000,23327208,4791984711.7100
13,2022-01-28,sh.688699,183.2800,184.9800,128.8600,129.5400,20468475,3277666159.4600
14,2022-02-28,sh.688699,131.4900,143.8500,126.6800,139.4300,12997057,1763231120.5000
15,2022-03-31,sh.688699,140.9000,160.8000,128.0000,141.0100,36973236,5412156704.6000
16,2022-04-29,sh.688699,139.8600,143.0000,76.6700,85.1100,20028217,2142585652.7600
17,2022-05-31,sh.688699,85.3000,99.3000,81.1000,93.9300,16683343,1530769636.6900
18,2022-06-30,sh.688699,93.9300,113.8800,93.1100,108.4600,26541965,2797278996.4700
19,2022-07-29,sh.688699,109.3000,109.8300,88.0800,91.3300,19251065,1860977919.8000
20,2022-08-31,sh.688699,90.3400,128.7800,84.1100,84.3000,50890905,5685418329.9700
21,2022-09-30,sh.688699,84.4800,86.4500,49.2600,50.2900,20186663,1573334789.9500
22,2022-10-31,sh.688699,50.0000,54.8300,42.7100,49.8700,29330513,1471871393.5800
23,2022-11-30,sh.688699,49.9900,65.0000,49.0200,57.2700,58875057,3408869306.6500
24,2022-12-30,sh.688699,58.0100,60.3800,45.6500,45.8900,36177831,1939837571.7400
25,2023-01-31,sh.688699,46.0200,55.2700,45.6100,52.9800,24890817,1270703898.9400
26,2023-02-28,sh.688699,53.5000,61.8800,52.1000,53.2100,40764600,2320912688.9800
27,2023-03-31,sh.688699,53.2300,62.3900,52.8000,60.3500,55400043,3171235018.6700
28,2023-04-28,sh.688699,61.3500,76.8000,51.5000,53.4800,79588571,5254806903.5400
29,2023-05-31,sh.688699,53.4800,55.2000,49.1200,53.1200,30038322,1564924601.5800
30,2023-06-30,sh.688699,53.1000,62.7700,48.2000,50.3200,42002607,2302130137.5800
31,2023-07-31,sh.688699,50.2100,52.8000,46.1400,48.2000,17544348,889193932.6300
32,2023-08-31,sh.688699,48.2000,49.3600,36.5600,40.9300,24235035,986671876.8500
33,2023-09-28,sh.688699,40.9600,43.2500,38.9100,40.1800,18982623,783752586.8000
34,2023-10-31,sh.688699,40.1700,43.2900,36.1800,42.6000,18657555,747326221.5700
35,2023-11-30,sh.688699,42.5900,44.9200,41.1200,42.4500,26736218,1156094519.1300
36,2023-12-29,sh.688699,42.5400,43.0000,36.9600,40.3500,17752870,711738423.6800
37,2024-01-31,sh.688699,40.5300,40.9000,27.5200,27.6000,17934758,613375185.1000
38,2024-02-29,sh.688699,28.6900,31.7500,20.1800,29.5000,28138105,732646250.0100
39,2024-03-29,sh.688699,29.5000,32.5400,27.7900,30.1300,20714848,628088818.2700
