,date,code,open,high,low,close,volume,amount
0,2019-04-30,sz.000050,15.6200,17.6600,13.7300,14.0600,1233765796,19864296912.4100
1,2019-05-31,sz.000050,13.0200,14.2400,12.6500,13.5500,658616392,8950785133.6700
2,2019-06-28,sz.000050,13.6000,13.9500,12.8000,13.4400,362202576,4888626348.6000
3,2019-07-31,sz.000050,13.9700,15.8400,13.3000,14.6800,1027479455,15039389228.2600
4,2019-08-30,sz.000050,14.8800,15.0800,12.8800,13.5400,694520038,9768268645.3500
5,2019-09-30,sz.000050,13.5400,15.9600,13.5100,13.8200,771592489,11587675063.2500
6,2019-10-31,sz.000050,14.2400,14.5700,13.4700,13.7800,222491122,3121236267.1900
7,2019-11-29,sz.000050,13.7300,15.3700,13.6400,15.3300,583212498,8486476053.7900
8,2019-12-31,sz.000050,15.4200,17.5700,15.0400,16.2900,936654222,15221746346.4300
9,2020-01-23,sz.000050,16.4000,17.9300,16.0500,16.5400,485136462,8240148606.4100
10,2020-02-28,sz.000050,14.8900,18.9500,13.4000,16.2000,914889430,15470090121.5700
11,2020-03-31,sz.000050,16.3400,17.3500,13.1800,13.3300,515567430,7978476530.9600
12,2020-04-30,sz.000050,13.3400,14.2500,12.8000,14.1800,286541728,3895335276.1500
13,2020-05-29,sz.000050,13.9300,14.5000,13.1700,13.5500,272731888,3808507935.1200
14,2020-06-30,sz.000050,13.5800,15.7600,13.5500,15.3600,530792991,7846060880.9300
15,2020-07-31,sz.000050,15.3000,18.2000,14.9000,16.8100,794857681,13099327476.3400
16,2020-08-31,sz.000050,17.2100,18.4500,15.8100,16.4300,571551337,9806842412.8000
17,2020-09-30,sz.000050,16.6200,16.8600,14.5700,14.7700,318725411,4941347593.7300
18,2020-10-30,sz.000050,15.0300,15.7500,14.2500,14.2600,188726099,2855408908.7700
19,2020-11-30,sz.000050,14.2800,15.6400,14.0400,15.3300,304085666,4549340268.3300
20,2020-12-31,sz.000050,15.4100,16.8800,14.0400,14.7400,414916617,6346689671.9800
21,2021-01-29,sz.000050,14.7700,17.4800,14.4000,16.0400,650163406,10472936523.2200
22,2021-02-26,sz.000050,16.1700,17.1800,14.8400,15.0200,383160014,6155929571.8700
23,2021-03-31,sz.000050,15.2000,16.2700,13.8000,14.0000,501854104,7304224009.6300
24,2021-04-30,sz.000050,14.0500,14.6500,13.8300,13.9000,376692009,5347257730.5600
25,2021-05-31,sz.000050,13.8500,13.9700,13.3600,13.8300,206439053,2818611435.1000
26,2021-06-30,sz.000050,13.9100,14.4500,13.6100,14.1800,351809255,4939872295.2600
27,2021-07-30,sz.000050,14.1800,16.2900,13.4400,14.0000,893664867,13257109930.0400
28,2021-08-31,sz.000050,14.0200,15.2300,13.7500,14.1500,507861761,7349419353.4700
29,2021-09-30,sz.000050,14.0600,15.2800,13.3900,13.5700,380944316,5413163660.2900
30,2021-10-29,sz.000050,13.6500,13.8900,11.9800,12.3100,180827967,2360353316.5900
31,2021-11-30,sz.000050,12.0600,12.9500,11.8500,12.5000,233287205,2911914357.9300
32,2021-12-31,sz.000050,12.4200,13.3200,12.4100,13.0200,302004937,3898698578.3800
33,2022-01-28,sz.000050,13.0500,13.3700,11.7800,11.8900,195166822,2512295936.4000
34,2022-02-28,sz.000050,12.0700,12.3300,11.5100,11.6900,116979171,1408784339.7100
35,2022-03-31,sz.000050,11.6400,11.7400,9.8500,10.4500,186543795,2008463608.6200
36,2022-04-29,sz.000050,10.4000,10.5600,8.4400,9.1600,143625764,1392985319.2700
37,2022-05-31,sz.000050,9.1000,9.5000,8.5000,9.4400,161131391,1462249006.4500
38,2022-06-30,sz.000050,9.4000,10.2500,9.0300,9.9700,278998016,2703819324.8700
39,2022-07-29,sz.000050,10.0700,10.4500,9.3200,9.7200,166382737,1621841359.7800
40,2022-08-31,sz.000050,9.6800,10.7400,9.3500,9.4400,250398586,2509233652.8500
41,2022-09-30,sz.000050,9.3800,9.4300,8.5100,8.5100,123415264,1110906897.2200
42,2022-10-31,sz.000050,8.5500,9.0900,8.3300,8.8400,95114414,838367790.1100
43,2022-11-30,sz.000050,8.8800,9.4000,8.8500,9.1600,136899253,1255394089.6100
44,2022-12-30,sz.000050,9.2000,9.7300,8.5800,8.6600,178248177,1630823683.2200
45,2023-01-31,sz.000050,8.6700,9.5500,8.6600,9.4300,100434148,915807742.8400
46,2023-02-28,sz.000050,9.4800,10.1200,9.3300,9.5700,179938048,1734927949.4600
47,2023-03-31,sz.000050,9.5700,11.1700,9.5400,10.5100,610734962,6291690774.5800
48,2023-04-28,sz.000050,10.5700,11.3800,9.6900,9.8600,349563140,3728107864.6600
49,2023-05-31,sz.000050,9.2000,9.6800,8.7000,9.6700,213471025,1950842052.1600
50,2023-06-30,sz.000050,9.6400,9.7400,8.9700,9.1800,128508032,1202113176.9900
51,2023-07-31,sz.000050,9.2400,9.6600,9.0100,9.3700,156760803,1459357600.5000
52,2023-08-31,sz.000050,9.4000,9.5900,8.1100,8.6000,182591008,1613185830.1400
53,2023-09-28,sz.000050,8.6100,9.4300,8.5700,9.2200,183504328,1677788026.7100
54,2023-10-31,sz.000050,9.2200,10.2400,9.1500,9.7900,277365798,2698407951.1100
55,2023-11-30,sz.000050,9.8200,11.3300,9.7000,10.8700,442300979,4718224299.6000
56,2023-12-29,sz.000050,10.8400,10.8900,9.9000,10.6500,269613844,2799537964.3400
57,2024-01-31,sz.000050,10.6500,10.6900,8.2700,8.3200,243079388,2280980368.7300
58,2024-02-29,sz.000050,8.3200,9.5200,7.0700,9.1600,289550781,2491014284.5600
59,2024-03-29,sz.000050,9.1700,9.3900,8.0100,8.2600,255383390,2272572645.7800
