,date,code,open,high,low,close,volume,amount
0,2019-04-30,sz.000415,4.6800,5.1800,4.2900,4.3900,1127049363,5464879458.2700
1,2019-05-31,sz.000415,4.2600,4.2700,3.8200,3.8600,532186629,2151140060.6000
2,2019-06-28,sz.000415,3.8400,4.0900,3.7700,3.9200,389906466,1528394215.7300
3,2019-07-31,sz.000415,4.0100,4.0700,3.7000,3.7500,399589854,1559467713.4000
4,2019-08-30,sz.000415,3.7300,3.7700,3.3200,3.5200,420503645,1481011804.1000
5,2019-09-30,sz.000415,3.5600,3.9600,3.5600,3.5800,382463308,1443276996.7000
6,2019-10-31,sz.000415,3.5800,4.0600,3.5100,3.5100,386683744,1456818646.1100
7,2019-11-29,sz.000415,3.5000,3.6200,3.3700,3.4200,288111067,1006420052.5100
8,2019-12-31,sz.000415,3.4200,3.8400,3.4200,3.8000,378806036,1384523777.9300
9,2020-01-23,sz.000415,3.8300,3.8800,3.4400,3.4600,272022884,1007871471.7500
10,2020-02-28,sz.000415,3.1100,3.6900,2.8200,3.3000,708257130,2363175248.8300
11,2020-03-31,sz.000415,3.4200,3.6500,2.8700,2.9000,615840845,2008670149.4500
12,2020-04-30,sz.000415,2.8800,2.9800,2.6400,2.7400,340130737,969681362.1700
13,2020-05-29,sz.000415,2.7200,3.2200,2.6900,3.0800,622957754,1849228179.9400
14,2020-06-30,sz.000415,3.0800,3.2600,2.9300,2.9800,512525729,1566555090.9700
15,2020-07-31,sz.000415,2.9900,3.6800,2.8200,3.0700,1354267258,4359245350.6200
16,2020-08-31,sz.000415,3.0800,3.1500,2.8100,2.8800,656850406,1963741668.9400
17,2020-09-30,sz.000415,2.8600,3.0600,2.7300,2.7900,593814870,1705449560.9000
18,2020-10-30,sz.000415,2.8100,2.8900,2.5300,2.5400,234248262,646197061.6200
19,2020-11-30,sz.000415,2.5500,2.8600,2.4500,2.6600,449249332,1206155337.7300
20,2020-12-31,sz.000415,2.6900,2.8700,2.3400,2.4000,424185140,1103497296.3900
21,2021-01-29,sz.000415,2.4000,2.4100,2.0600,2.3500,585768303,1307170377.8700
22,2021-02-26,sz.000415,2.3500,2.3500,1.8400,2.2300,492483456,1039889889.8500
23,2021-03-31,sz.000415,2.2500,2.3800,2.1800,2.2200,540135626,1220330408.7400
24,2021-04-30,sz.000415,2.2100,2.3200,2.0100,2.0700,366710756,806864455.3800
25,2021-05-31,sz.000415,2.0600,2.6100,2.0600,2.4400,511445527,1187691688.3200
26,2021-06-30,sz.000415,2.4000,2.9000,2.3500,2.4200,891261629,2306402154.8200
27,2021-07-30,sz.000415,2.4100,2.6500,2.2600,2.5300,436436101,1060798255.0200
28,2021-08-31,sz.000415,2.5100,2.7200,2.4100,2.5900,646694201,1653707306.6300
29,2021-09-30,sz.000415,2.6200,3.0100,2.5800,2.6800,709712249,1973783203.0100
30,2021-10-29,sz.000415,2.7500,2.8300,2.5800,2.6300,361949336,977668008.6000
31,2021-11-30,sz.000415,2.6500,3.0800,2.6200,3.0800,638814359,1827131660.6100
32,2021-12-31,sz.000415,3.0000,3.1600,2.7600,2.9100,665900653,1965765987.4000
33,2022-01-28,sz.000415,2.9400,3.0900,2.6100,2.6800,407945500,1168948854.0300
