,date,code,open,high,low,close,volume,amount
0,2019-04-30,sz.000488,6.6500,7.7700,5.8700,5.9500,1296590234,8877734509.4700
1,2019-05-31,sz.000488,5.8300,5.8400,5.2900,5.4000,357497305,1972014509.6400
2,2019-06-28,sz.000488,5.4000,5.5100,5.1300,5.3600,220162910,1173228550.2900
3,2019-07-31,sz.000488,5.4700,5.7800,5.2200,5.3200,339926890,1864722642.9100
4,2019-08-30,sz.000488,5.3000,5.3300,4.5700,4.6100,242198645,1177175497.9600
5,2019-09-30,sz.000488,4.6100,5.2800,4.5800,4.7400,353002607,1734509842.7500
6,2019-10-31,sz.000488,4.7400,4.9900,4.7000,4.8100,176672943,856591443.1800
7,2019-11-29,sz.000488,4.8000,4.9900,4.6500,4.7300,211469791,1011413724.3400
8,2019-12-31,sz.000488,4.7300,5.1400,4.5300,5.0900,335393291,1614640773.5900
9,2020-01-23,sz.000488,5.2500,5.6000,4.9200,4.9500,466828176,2463196710.2400
10,2020-02-28,sz.000488,4.4600,4.9400,4.4200,4.5800,573088318,2672026278.3100
11,2020-03-31,sz.000488,4.6100,5.1500,4.4100,4.7800,599756614,2850208476.6700
12,2020-04-30,sz.000488,4.8100,5.3300,4.6300,4.9100,621244289,3131226797.1700
13,2020-05-29,sz.000488,4.8500,5.1500,4.7300,4.8100,268579204,1319218242.8100
14,2020-06-30,sz.000488,4.8300,5.0500,4.7700,4.9400,321995171,1576915567.0100
15,2020-07-31,sz.000488,4.9500,5.9800,4.9000,5.4400,1130239933,6183812760.4500
16,2020-08-31,sz.000488,5.4600,6.0100,5.1500,5.8100,985082171,5371632528.5000
17,2020-09-30,sz.000488,5.7900,5.8600,5.1600,5.1900,937133641,5233390298.1900
18,2020-10-30,sz.000488,5.2700,5.4400,5.2200,5.2600,293943230,1566221863.5300
19,2020-11-30,sz.000488,5.2900,7.3700,5.2900,6.8600,1484131913,9465392662.6000
20,2020-12-31,sz.000488,6.8600,7.0300,5.9400,6.4200,1234089206,7926764589.4700
21,2021-01-29,sz.000488,6.4900,8.6200,6.4800,7.2300,2010363178,15429656639.6100
22,2021-02-26,sz.000488,7.2800,12.9900,7.1900,11.0700,2282777622,23534873236.9300
23,2021-03-31,sz.000488,11.4100,11.7300,9.0000,10.1100,2032783403,20620915951.6600
24,2021-04-30,sz.000488,10.1000,12.5100,10.0500,10.7300,1485805731,16195548255.0500
25,2021-05-31,sz.000488,10.9400,11.7400,9.8500,10.2500,1424528445,15240336136.9300
26,2021-06-30,sz.000488,10.1500,10.3500,8.0800,8.1400,1214101943,10948239792.9900
27,2021-07-30,sz.000488,8.1700,9.1200,7.0800,7.3500,1449457070,12020331224.7600
28,2021-08-31,sz.000488,7.2800,8.3300,7.1700,7.8600,1140555771,8906501987.0500
29,2021-09-30,sz.000488,7.8300,9.2500,7.8000,8.0300,1779817789,15057380790.2700
30,2021-10-29,sz.000488,8.0500,8.1100,6.8500,7.0700,475598336,3526273322.0900
31,2021-11-30,sz.000488,7.0100,7.4800,6.8900,7.1800,493470145,3519135217.1000
32,2021-12-31,sz.000488,7.2000,7.7900,7.1100,7.2400,753862054,5548221036.5000
33,2022-01-28,sz.000488,7.2500,7.4900,6.6000,6.7000,444496503,3226664999.7700
34,2022-02-28,sz.000488,6.7600,7.1800,6.7600,6.9700,260372311,1819261020.1400
35,2022-03-31,sz.000488,6.9700,7.2500,6.0900,6.4000,531180292,3632924430.6800
36,2022-04-29,sz.000488,6.3600,6.4200,4.9600,5.2800,310496644,1779991214.6000
37,2022-05-31,sz.000488,5.1700,5.8600,5.0300,5.5700,559763691,3079097673.6700
38,2022-06-30,sz.000488,5.5000,5.8200,5.2900,5.6400,465757813,2588302579.5900
39,2022-07-29,sz.000488,5.6400,5.6500,5.2700,5.4800,265647998,1458351082.3900
40,2022-08-31,sz.000488,5.5000,5.5000,5.1200,5.3000,240279111,1265560571.0900
41,2022-09-30,sz.000488,5.2800,5.4300,4.6400,4.6800,254488527,1299778065.1900
42,2022-10-31,sz.000488,4.6800,4.8900,4.6000,4.7000,129892328,620833563.4600
43,2022-11-30,sz.000488,4.7200,5.1300,4.6800,5.1100,222023829,1103075363.6300
44,2022-12-30,sz.000488,5.1400,5.4300,4.8900,4.9800,362780250,1865621840.3600
45,2023-01-31,sz.000488,4.9700,5.2600,4.9500,5.1700,183522523,936755274.0300
46,2023-02-28,sz.000488,5.1700,5.4400,5.1100,5.3100,336829335,1782045735.2400
47,2023-03-31,sz.000488,5.3000,5.5200,5.1000,5.3100,337503725,1789515942.2600
48,2023-04-28,sz.000488,5.3500,5.3500,4.8500,5.0300,207764035,1068670079.8400
49,2023-05-31,sz.000488,4.9200,5.1000,4.7600,4.8000,186322759,923656727.0500
