,date,code,open,high,low,close,volume,amount
0,2019-04-30,sz.000539,4.9300,5.1500,4.4400,4.5500,297243259,1461096068.4100
1,2019-05-31,sz.000539,4.4800,4.4800,4.0700,4.2400,89229755,380863852.0700
2,2019-06-28,sz.000539,4.2400,4.3500,4.1300,4.3000,74506771,317412942.7400
3,2019-07-31,sz.000539,4.2900,4.3000,3.8900,3.9700,97840255,397015058.3300
4,2019-08-30,sz.000539,3.9500,4.0200,3.6500,3.9100,69113733,267148170.2400
5,2019-09-30,sz.000539,3.9100,4.0400,3.8600,3.9000,58273185,230699341.3900
6,2019-10-31,sz.000539,3.8900,4.3900,3.8500,3.9300,87423982,352726300.3600
7,2019-11-29,sz.000539,3.9500,4.1700,3.9000,4.1300,73147381,295579142.0900
8,2019-12-31,sz.000539,4.1300,4.1800,4.0200,4.1000,67965170,278856747.8300
9,2020-01-23,sz.000539,4.1000,4.1500,3.8800,3.9700,68582345,279224230.7900
10,2020-02-28,sz.000539,3.5800,3.7600,3.5000,3.5900,174912945,638927650.4500
11,2020-03-31,sz.000539,3.5900,3.8400,3.4200,3.5400,148252832,539107582.8600
12,2020-04-30,sz.000539,3.5200,3.6500,3.4300,3.4700,82401634,292391592.5200
13,2020-05-29,sz.000539,3.4600,4.1100,3.3900,3.7600,188562837,705418389.5700
14,2020-06-30,sz.000539,3.7200,3.8200,3.3600,3.3900,192539231,695522431.6700
15,2020-07-31,sz.000539,3.3900,4.1100,3.3800,3.8600,271187544,1020479059.4900
16,2020-08-31,sz.000539,3.9000,4.4200,3.8200,3.9000,206137113,828397945.0300
17,2020-09-30,sz.000539,3.9200,3.9800,3.7600,3.7900,61060005,236383462.3200
18,2020-10-30,sz.000539,3.8100,3.9100,3.6900,3.7100,38229678,146358162.0700
19,2020-11-30,sz.000539,3.6800,3.9200,3.6400,3.8400,71848627,272648309.1800
20,2020-12-31,sz.000539,3.8200,4.1100,3.6600,3.8800,233364787,913113054.6500
21,2021-01-29,sz.000539,3.8600,3.9100,3.5200,3.5300,126953415,470979314.8400
22,2021-02-26,sz.000539,3.5100,3.9100,3.4400,3.6800,111284460,406212496.5600
23,2021-03-31,sz.000539,3.6700,4.6200,3.6400,4.4500,502824797,2038758422.8600
24,2021-04-30,sz.000539,4.3400,4.5100,3.6500,3.7300,335459575,1382378801.7500
25,2021-05-31,sz.000539,3.7000,3.9400,3.6700,3.7400,142882378,542108093.1600
26,2021-06-30,sz.000539,3.7400,3.9700,3.6700,3.7600,148069363,558295937.2100
27,2021-07-30,sz.000539,3.7600,3.9500,3.5400,3.7800,246773738,923823084.4000
28,2021-08-31,sz.000539,3.8000,4.1300,3.7100,3.9700,301372262,1160944696.2800
29,2021-09-30,sz.000539,3.9700,5.1900,3.9300,5.1800,940895321,4406268102.4200
30,2021-10-29,sz.000539,5.2100,5.4400,3.9700,4.3700,836990052,3828625354.2000
31,2021-11-30,sz.000539,4.2800,4.6300,3.9400,4.5900,495445756,2144431265.9200
32,2021-12-31,sz.000539,4.5400,6.3200,4.4300,6.1500,1063678836,5709364447.2200
33,2022-01-28,sz.000539,6.2400,6.3100,4.6100,4.7900,558491091,2912572925.7600
34,2022-02-28,sz.000539,4.8900,5.5600,4.6300,5.4700,506028437,2565413302.6300
35,2022-03-31,sz.000539,5.5000,5.6400,4.3000,4.7800,690670287,3514249889.3600
36,2022-04-29,sz.000539,4.7200,4.7300,3.9000,4.3200,385412039,1668462306.8100
37,2022-05-31,sz.000539,4.3000,4.7000,3.9800,4.6200,348955260,1523271445.1900
38,2022-06-30,sz.000539,4.6000,4.7700,4.1000,4.2000,534515215,2328541131.7100
39,2022-07-29,sz.000539,4.2000,5.2800,4.1300,4.4000,1094657440,5038418271.0800
40,2022-08-31,sz.000539,4.4000,4.7800,4.0200,4.4800,838325231,3677887056.3200
41,2022-09-30,sz.000539,4.5300,5.9600,4.4400,4.4600,908353266,4756988486.9900
42,2022-10-31,sz.000539,4.5200,5.3000,4.3100,4.3700,419667651,2040880041.8000
43,2022-11-30,sz.000539,4.3700,6.0800,4.3700,5.6600,758025298,3952018765.2400
44,2022-12-30,sz.000539,5.8000,5.8600,4.8600,5.5500,556470426,2966957904.2500
45,2023-01-31,sz.000539,5.5300,6.3800,5.3300,5.7900,430331518,2448500927.5300
46,2023-02-28,sz.000539,5.7800,7.0500,5.6700,6.5100,719260406,4553129743.0000
47,2023-03-31,sz.000539,6.5000,6.9100,6.1300,6.3700,647269264,4199332184.7300
48,2023-04-28,sz.000539,6.3000,6.7900,5.4000,6.0500,641407187,3915813680.2400
49,2023-05-31,sz.000539,6.0400,7.8000,5.7600,7.5000,1578136062,10845026630.3400
50,2023-06-30,sz.000539,7.4800,7.9800,6.5600,7.3000,1151567939,8231856630.2900
51,2023-07-31,sz.000539,7.3300,8.2400,6.8400,7.1700,958897767,7140716721.6100
52,2023-08-31,sz.000539,7.1200,7.3900,6.2400,6.2900,522213161,3609782945.4000
53,2023-09-28,sz.000539,6.2900,6.5600,5.9400,5.9700,456942861,2854727106.7500
54,2023-10-31,sz.000539,5.9700,6.0400,5.2300,5.3600,345662145,1929561691.2700
55,2023-11-30,sz.000539,5.3600,5.6200,5.0700,5.1100,645926878,3458795852.4700
56,2023-12-29,sz.000539,5.1200,5.2900,4.7800,4.8900,473916472,2392720560.3500
57,2024-01-31,sz.000539,4.8800,5.3300,4.4800,4.8600,685283256,3456912425.7000
58,2024-02-29,sz.000539,4.7900,5.0100,4.3100,4.8700,679792562,3225121045.7100
59,2024-03-29,sz.000539,4.8600,5.2500,4.7300,5.1700,965896017,4843451725.9400
