,date,code,open,high,low,close,volume,amount
0,2019-04-30,sz.000582,9.3300,11.5000,8.7900,9.5100,304960258,3073697010.5500
1,2019-05-31,sz.000582,9.1400,9.3000,8.0600,8.5400,115275102,996654890.1100
2,2019-06-28,sz.000582,8.5800,9.0500,8.0300,9.0000,86066242,746540232.3100
3,2019-07-31,sz.000582,9.0900,9.8000,8.3600,9.1500,92107912,821634051.9200
4,2019-08-30,sz.000582,9.1200,10.0800,8.2400,9.0100,148376167,1365523182.8600
5,2019-09-30,sz.000582,9.0400,9.5900,8.6500,8.7400,84435853,778853579.2400
6,2019-10-31,sz.000582,8.8400,9.3000,8.5100,8.5800,41382432,366750497.4300
7,2019-11-29,sz.000582,8.5800,9.2500,8.0700,8.8100,67113906,578716243.8600
8,2019-12-31,sz.000582,8.7500,8.9500,8.2700,8.9500,46556091,398950498.7100
9,2020-01-23,sz.000582,8.9500,9.1400,8.4800,8.5700,40927115,364179122.7600
10,2020-02-28,sz.000582,7.7200,8.4900,7.6800,8.1000,83675574,679616655.8900
11,2020-03-31,sz.000582,8.1200,9.4800,8.1200,9.0700,149275166,1318756647.6500
12,2020-04-30,sz.000582,9.0700,10.0000,8.9000,9.8700,104002012,998457707.7000
13,2020-05-29,sz.000582,9.8700,10.1100,8.6800,9.0800,144055558,1361539452.4700
14,2020-06-30,sz.000582,9.0800,11.1200,9.0600,10.7400,150084295,1545340887.3300
15,2020-07-31,sz.000582,10.7900,12.7200,10.5500,12.0100,215912579,2537465989.5900
16,2020-08-31,sz.000582,12.0200,13.5500,10.7000,10.8500,227999096,2756031011.1900
17,2020-09-30,sz.000582,10.8700,11.3900,9.7300,9.7300,126705989,1353836316.3900
18,2020-10-30,sz.000582,9.8600,10.8200,9.8500,10.0000,79179618,817730645.2200
19,2020-11-30,sz.000582,10.0000,12.8800,9.9300,11.5200,290765054,3406062390.9200
20,2020-12-31,sz.000582,11.4500,11.7400,9.8000,10.5000,139257345,1473840272.7900
21,2021-01-29,sz.000582,10.4100,10.6700,8.8800,8.9000,113928881,1131105688.9400
22,2021-02-26,sz.000582,8.9000,10.3000,8.1800,9.6500,139156649,1309665683.2700
23,2021-03-31,sz.000582,9.7300,11.4600,9.5900,10.6200,261242526,2731365994.9600
24,2021-04-30,sz.000582,10.4500,10.7700,8.8800,8.9100,179286543,1796422282.5400
25,2021-05-31,sz.000582,8.9000,9.0900,8.1500,8.7200,94618482,834489328.2300
26,2021-06-30,sz.000582,8.5200,8.6700,8.0200,8.3000,95946498,800553461.7600
27,2021-07-30,sz.000582,8.3000,8.3800,7.6200,7.6800,71180524,578050751.8400
28,2021-08-31,sz.000582,7.6300,7.9300,7.4500,7.7900,74833243,574747563.8700
29,2021-09-30,sz.000582,7.7900,8.7300,7.7900,8.0300,139690665,1162612915.0500
30,2021-10-29,sz.000582,8.1400,8.2100,7.3600,7.4500,36609889,288337170.6400
31,2021-11-30,sz.000582,7.4500,8.0900,7.3000,7.6800,65160684,500972762.5200
32,2021-12-31,sz.000582,7.6500,8.3000,7.5100,8.0400,104924663,840295240.5500
33,2022-01-28,sz.000582,8.1000,8.4000,7.3600,7.7900,107742972,858550234.7100
34,2022-02-28,sz.000582,7.8400,8.4500,7.6500,7.8700,99619519,806992827.9300
35,2022-03-31,sz.000582,7.8500,8.3400,6.8700,7.4900,201719074,1555425909.7500
36,2022-04-29,sz.000582,7.4200,12.5800,7.0500,7.4900,1421006034,13002114798.2300
37,2022-05-31,sz.000582,7.4900,8.4600,7.4300,8.2600,1005801577,7997063832.8200
38,2022-06-30,sz.000582,8.2500,8.8600,7.7000,7.7600,692040657,5669555858.5200
39,2022-07-29,sz.000582,7.7600,8.1100,7.6600,7.8500,334890756,2638106602.7100
40,2022-08-31,sz.000582,7.8200,8.0200,7.2800,7.6900,278319686,2120298069.6700
41,2022-09-30,sz.000582,7.7300,8.0600,6.9500,7.0300,256028272,1953032624.9700
42,2022-10-31,sz.000582,7.0300,7.9300,6.8000,7.1000,187047048,1358704417.2200
43,2022-11-30,sz.000582,7.1000,7.7500,7.0700,7.6100,228627122,1718599025.6300
44,2022-12-30,sz.000582,7.6500,7.9800,7.1900,7.3900,194345541,1478632955.6200
45,2023-01-31,sz.000582,7.3500,7.6000,7.2100,7.5400,107995437,794932790.2400
46,2023-02-28,sz.000582,7.6000,7.7100,7.4400,7.6700,145942008,1108895930.6300
47,2023-03-31,sz.000582,7.6700,8.0900,7.4400,7.5600,272160286,2116486963.2300
48,2023-04-28,sz.000582,7.5400,9.0300,7.5000,8.5700,430475867,3563119930.4300
