,date,code,open,high,low,close,volume,amount
0,2019-04-30,sz.000627,6.8900,8.0500,6.8400,6.9200,711611038,5308370432.9800
1,2019-05-31,sz.000627,6.7900,6.9000,6.0900,6.3500,243791838,1555958775.6300
2,2019-06-28,sz.000627,6.3700,6.7600,6.1300,6.4900,194014806,1255283638.7000
3,2019-07-31,sz.000627,6.6800,7.2400,6.0100,7.1300,303981035,1980469087.3400
4,2019-08-30,sz.000627,7.0400,7.9500,6.9000,7.0200,282772215,2067193280.9100
5,2019-09-30,sz.000627,6.9800,7.5900,6.8400,7.0500,269544350,1941118843.9200
6,2019-10-31,sz.000627,7.0700,7.6000,6.8100,6.8100,154652344,1099440742.9000
7,2019-11-29,sz.000627,6.8200,7.0600,6.4600,6.7000,145022114,970079475.4400
8,2019-12-31,sz.000627,6.6600,7.1100,6.5200,7.0400,239156009,1638686972.0000
9,2020-01-23,sz.000627,7.0900,7.1600,6.4300,6.4800,179063270,1234703874.4600
10,2020-02-28,sz.000627,5.8300,6.6200,5.7000,5.9600,363309611,2228632838.9700
11,2020-03-31,sz.000627,5.9200,6.4300,5.6400,5.9200,364240568,2195869612.0100
12,2020-04-30,sz.000627,5.8600,5.9400,5.2600,5.5100,463539429,2615374179.0200
13,2020-05-29,sz.000627,5.4300,5.6500,4.7700,4.8900,314651550,1640699295.3800
14,2020-06-30,sz.000627,4.8900,5.3900,4.7700,5.2100,376129713,1907816215.1300
15,2020-07-31,sz.000627,5.2100,6.5700,5.1500,5.7400,1285994847,7706476584.1900
16,2020-08-31,sz.000627,5.7600,6.4700,5.5000,5.6300,774954132,4612839886.2400
17,2020-09-30,sz.000627,5.6200,5.6800,5.1600,5.2800,363168243,1980062604.2900
18,2020-10-30,sz.000627,5.3000,5.5300,4.9300,4.9800,213150663,1134935358.0500
19,2020-11-30,sz.000627,4.9400,5.4800,4.8500,5.2500,265470043,1360202396.4600
20,2020-12-31,sz.000627,5.2000,5.4900,4.7100,4.8700,429657038,2190396061.4500
21,2021-01-29,sz.000627,4.8600,4.8600,3.9200,3.9700,343018928,1504551456.7900
22,2021-02-26,sz.000627,3.9300,4.2000,3.5700,4.0100,247650425,961448455.6500
23,2021-03-31,sz.000627,4.0400,4.3200,3.9800,4.1300,282551220,1166985982.1300
24,2021-04-30,sz.000627,4.1500,4.1800,3.8000,3.8200,195627963,782749036.3200
25,2021-05-31,sz.000627,3.8500,4.0800,3.8000,3.9600,207030382,816376640.8900
26,2021-06-30,sz.000627,3.9400,4.0300,3.6000,3.6200,266871033,1003405827.4900
27,2021-07-30,sz.000627,3.6300,3.6500,3.3100,3.3300,206638846,728725644.3700
28,2021-08-31,sz.000627,3.3200,3.5900,3.2300,3.5300,261567857,889436768.1800
29,2021-09-30,sz.000627,3.5400,3.7200,3.2900,3.3500,287253206,1021521359.3200
30,2021-10-29,sz.000627,3.4000,3.5600,3.2000,3.2500,160897208,550411933.2000
31,2021-11-30,sz.000627,3.2400,3.2900,3.0800,3.0800,285078669,907129828.8700
32,2021-12-31,sz.000627,3.0900,3.4500,3.0900,3.3100,433604726,1403325490.2900
33,2022-01-28,sz.000627,3.3100,3.5700,3.1400,3.1600,399640670,1348876959.7100
34,2022-02-28,sz.000627,3.2000,3.5800,3.1800,3.2400,319279502,1080639996.3900
35,2022-03-31,sz.000627,3.2400,3.3200,2.9200,3.1700,383596620,1199697136.4300
36,2022-04-29,sz.000627,3.1600,3.3000,2.6900,2.8400,371737915,1145050076.3300
37,2022-05-31,sz.000627,2.8200,2.9600,2.7900,2.9300,200260218,578184387.7200
38,2022-06-30,sz.000627,2.9400,3.9000,2.8500,3.4100,1912659526,6661181320.3100
39,2022-07-29,sz.000627,3.4000,3.5400,3.2800,3.3500,800310914,2718824604.0200
40,2022-08-31,sz.000627,3.3500,3.9000,3.1300,3.5600,1152047448,4060974051.9500
41,2022-09-30,sz.000627,3.5200,3.5900,3.0000,3.0300,652894964,2186095857.8300
42,2022-10-31,sz.000627,3.0200,3.1900,2.7900,2.8700,349132158,1054666395.6300
43,2022-11-30,sz.000627,2.8800,3.3700,2.8600,3.2500,632852537,1980713166.3700
44,2022-12-30,sz.000627,3.3300,3.4100,3.0500,3.1600,563071073,1827132446.1200
45,2023-01-31,sz.000627,3.1700,3.4800,3.0800,3.3100,422983704,1391482183.1700
46,2023-02-28,sz.000627,3.3400,3.6300,3.2400,3.4900,632932414,2181851936.2500
47,2023-03-31,sz.000627,3.4900,3.5700,3.2100,3.3600,509482971,1713008646.9800
48,2023-04-28,sz.000627,3.3500,3.5200,3.0900,3.4400,509197681,1703109512.9100
49,2023-05-31,sz.000627,3.4100,3.8200,3.1500,3.1900,751887150,2653319365.0300
50,2023-06-30,sz.000627,3.1800,3.2300,2.9100,3.0000,551994663,1715637766.6900
51,2023-07-31,sz.000627,3.0000,3.5300,2.9900,3.4200,574863096,1838784562.0200
52,2023-08-31,sz.000627,3.4100,3.9100,3.2400,3.2400,1772563936,6305787330.4900
53,2023-09-28,sz.000627,3.2400,3.4300,3.1200,3.1200,898186699,2930906402.3100
54,2023-10-31,sz.000627,3.1200,3.1800,2.9800,3.1200,428423759,1326133811.3600
55,2023-11-30,sz.000627,3.1200,3.2200,2.9900,3.0100,619443577,1920419235.6200
56,2023-12-29,sz.000627,3.0100,3.0500,2.6900,2.8400,463258897,1331581284.1600
57,2024-01-31,sz.000627,2.8500,3.0800,2.5000,2.6400,670046064,1845986170.8700
58,2024-02-29,sz.000627,2.6100,2.8200,2.1100,2.7200,699455772,1799237109.5000
59,2024-03-29,sz.000627,2.7200,2.7400,2.4100,2.4700,462033354,1199144325.5300
