,date,code,open,high,low,close,volume,amount
0,2019-04-30,sz.000651,47.2100,65.4000,47.2100,55.5800,1757142972,101577103885.0700
1,2019-05-31,sz.000651,53.3800,56.5800,50.5200,52.3100,1118647027,60096311125.2900
2,2019-06-28,sz.000651,52.7100,55.5000,50.4100,55.0000,851465011,45077259815.3000
3,2019-07-31,sz.000651,56.2400,59.0000,53.5300,55.0900,795688812,44599714843.2000
4,2019-08-30,sz.000651,55.0000,55.9900,49.0500,55.5000,811441377,42939753572.3100
5,2019-09-30,sz.000651,56.9500,60.5600,56.3600,57.3000,637226291,37232806995.1800
6,2019-10-31,sz.000651,57.5000,60.3900,56.0400,58.7000,493731376,28801207457.0900
7,2019-11-29,sz.000651,59.0000,65.1600,56.2000,57.7100,880909111,53295196487.5500
8,2019-12-31,sz.000651,60.0000,66.1000,59.2000,65.5800,719412061,45379993068.0000
9,2020-01-23,sz.000651,65.9900,70.5600,63.5200,63.9400,582412299,39324437644.4400
10,2020-02-28,sz.000651,58.0000,64.4500,57.5500,59.2000,1048718242,64591071845.9200
11,2020-03-31,sz.000651,59.1000,63.0000,48.4000,52.2000,1240764427,68924279301.2600
12,2020-04-30,sz.000651,51.5500,57.6000,50.8800,54.7700,997693521,54046211535.0000
13,2020-05-29,sz.000651,53.8200,59.3600,53.8200,56.9400,877484544,49996299924.3500
14,2020-06-30,sz.000651,57.5100,63.0000,56.1800,56.5700,1009539765,59121425634.1900
15,2020-07-31,sz.000651,56.6000,63.0000,55.4800,56.9100,2368769499,139080737463.0400
16,2020-08-31,sz.000651,57.1600,57.6300,52.3700,54.5000,1224437534,67997027477.6700
17,2020-09-30,sz.000651,54.3000,56.9500,53.0000,53.3000,804496674,44187745368.7100
18,2020-10-30,sz.000651,54.4700,59.5600,54.1100,58.4300,753293830,43384249772.0400
19,2020-11-30,sz.000651,58.1000,69.5000,58.1000,66.6400,1179876723,77278178230.0900
20,2020-12-31,sz.000651,66.2000,69.7900,58.6900,61.9400,1059351480,66908843518.7600
21,2021-01-29,sz.000651,61.8000,66.7800,55.8800,56.3000,1012949529,62907340490.2800
22,2021-02-26,sz.000651,56.5100,61.8000,55.7500,59.0000,736678084,43476160864.5200
23,2021-03-31,sz.000651,59.0500,63.4800,56.1100,62.7000,966986123,58272023875.5200
24,2021-04-30,sz.000651,62.6900,63.5000,57.3900,59.9100,659072902,39695034839.2900
25,2021-05-31,sz.000651,59.6500,61.1300,54.7000,56.3000,798437085,45909968133.6200
26,2021-06-30,sz.000651,56.3000,56.5300,49.5000,52.1000,1005489826,53458596761.8400
27,2021-07-30,sz.000651,52.1200,52.5000,46.1600,47.5000,1026472790,50665899803.2900
28,2021-08-31,sz.000651,47.1300,49.9000,40.3000,41.1000,1130334692,51931632695.3900
29,2021-09-30,sz.000651,41.5000,41.8800,37.4400,38.7500,1420390597,56616021868.1400
30,2021-10-29,sz.000651,38.8800,41.0600,35.9100,36.6500,1035987072,40144313234.0000
31,2021-11-30,sz.000651,36.3200,37.2900,34.1000,34.5600,1213443389,43408331962.1200
32,2021-12-31,sz.000651,34.4100,38.1400,34.2300,37.0300,1363742012,49601127062.0400
33,2022-01-28,sz.000651,37.0300,41.1100,36.8400,37.8300,1428826681,55939965473.4400
34,2022-02-28,sz.000651,38.2700,40.3800,36.1900,36.7700,741641669,28517832877.0700
35,2022-03-31,sz.000651,36.7000,37.0700,30.6500,32.3000,978088200,32446562287.6300
36,2022-04-29,sz.000651,32.1000,33.4100,29.6500,31.2100,671220032,21292010222.3700
37,2022-05-31,sz.000651,32.5000,34.2300,31.3500,32.1700,808785942,26592945481.8400
38,2022-06-30,sz.000651,32.1800,35.2000,31.0100,33.7200,1578751666,51621209564.4900
39,2022-07-29,sz.000651,33.6800,35.8300,32.6500,33.2600,1157209074,39325579862.9600
40,2022-08-31,sz.000651,33.2000,33.2400,29.8500,31.9300,786724134,24469394013.8400
41,2022-09-30,sz.000651,31.9000,35.7200,31.8300,32.4300,1122878244,37887294135.1100
42,2022-10-31,sz.000651,32.6000,32.8200,28.4900,28.6700,644470071,19815083011.7000
43,2022-11-30,sz.000651,28.7500,32.6300,28.6000,32.1700,798752532,24684249637.8500
44,2022-12-30,sz.000651,32.5000,34.1000,32.0100,32.3200,655119917,21576959477.8200
45,2023-01-31,sz.000651,32.5200,36.0000,32.1600,34.6300,500560784,17251886817.9800
46,2023-02-28,sz.000651,34.8000,37.3100,33.8200,35.5200,662427283,23366723832.6100
47,2023-03-31,sz.000651,35.5200,37.9600,35.4100,36.7500,883110756,32539216255.0900
48,2023-04-28,sz.000651,36.8500,42.6200,36.5000,39.3400,909538140,36126584187.4800
49,2023-05-31,sz.000651,36.0000,36.5000,32.7200,32.9800,1157647239,40109680299.4900
50,2023-06-30,sz.000651,32.9000,37.6800,32.5100,36.5100,916753295,32762655817.3100
