,date,code,open,high,low,close,volume,amount
0,2019-04-30,sz.000686,10.1800,11.3300,9.6700,9.8300,1813291543,19239949879.8600
1,2019-05-31,sz.000686,9.2200,9.3900,8.1600,8.5700,881624068,7668133107.9700
2,2019-06-28,sz.000686,8.6100,9.1800,7.9500,8.8100,693338941,6025663330.8500
3,2019-07-31,sz.000686,9.0900,9.6700,8.8000,8.8800,821816340,7568193208.7700
4,2019-08-30,sz.000686,8.8400,8.9300,8.0100,8.1500,506903578,4253446478.7100
5,2019-09-30,sz.000686,8.1800,9.0700,8.1100,8.1300,548637655,4745201206.8600
6,2019-10-31,sz.000686,8.0800,8.6400,8.0100,8.2000,300979280,2508416165.8600
7,2019-11-29,sz.000686,8.1800,8.5300,7.7600,7.8300,290986510,2362198735.8100
8,2019-12-31,sz.000686,7.9000,9.3600,7.7800,9.3000,802268136,6992426690.7000
9,2020-01-23,sz.000686,9.4800,9.5500,8.5600,8.6300,540231474,4926533219.5300
10,2020-02-28,sz.000686,7.7700,9.8500,7.2000,9.0200,1072289782,9619446217.6700
11,2020-03-31,sz.000686,9.1300,10.6800,8.2100,8.2900,1180069353,11185577648.4800
12,2020-04-30,sz.000686,8.2800,8.6300,7.6800,8.1500,428737712,3537487566.5200
13,2020-05-29,sz.000686,8.0300,8.4300,7.7700,8.0000,266700647,2173165750.8200
14,2020-06-30,sz.000686,8.2000,8.9400,7.9400,8.4500,575790785,4819279728.0900
15,2020-07-31,sz.000686,8.4200,12.2800,8.3800,11.2200,2420311714,26443465978.2300
16,2020-08-31,sz.000686,11.4500,11.5400,10.2000,10.7200,962430289,10512096840.0000
17,2020-09-30,sz.000686,10.6600,10.7600,9.5700,9.8800,578086859,5858743374.9800
18,2020-10-30,sz.000686,10.0200,10.4900,9.3000,9.3200,284140213,2851345814.7500
19,2020-11-30,sz.000686,9.3200,10.3000,9.2100,9.9500,434203380,4247078076.7400
20,2020-12-31,sz.000686,9.9400,10.4500,9.1500,9.8200,565715922,5526503225.1000
21,2021-01-29,sz.000686,9.9400,10.0500,8.7600,8.8600,563293495,5363514486.6300
22,2021-02-26,sz.000686,8.8800,9.1800,8.4400,8.8500,218368507,1928718263.0000
23,2021-03-31,sz.000686,8.8900,9.1100,8.5300,8.6200,317122505,2774131915.7100
24,2021-04-30,sz.000686,8.6500,8.7300,8.0600,8.2200,206040980,1735788874.4300
25,2021-05-31,sz.000686,8.2500,9.0900,8.0400,8.8900,312236737,2686612296.6500
26,2021-06-30,sz.000686,8.8500,8.8900,8.3700,8.4500,256330892,2212089342.0300
27,2021-07-30,sz.000686,8.5300,8.5900,7.7800,7.7900,287136966,2349874255.8700
28,2021-08-31,sz.000686,7.7600,8.7300,7.6200,8.5400,485537709,4030346456.1600
29,2021-09-30,sz.000686,8.5000,9.5400,8.4600,8.6300,696748994,6318271618.1200
30,2021-10-29,sz.000686,8.7100,8.8400,8.1100,8.6200,266353572,2278282516.1500
31,2021-11-30,sz.000686,8.6100,9.3300,8.5800,8.7800,425592095,3825017697.5000
32,2021-12-31,sz.000686,8.7600,9.7700,8.4300,8.7800,709477488,6474871961.1100
33,2022-01-28,sz.000686,8.8100,8.9300,8.4000,8.4700,301508603,2634755784.9400
34,2022-02-28,sz.000686,8.5300,8.8600,8.1100,8.2500,185989255,1589549550.2900
35,2022-03-31,sz.000686,8.2500,8.3200,7.3400,7.7400,310131683,2407701807.8000
36,2022-04-29,sz.000686,7.7100,8.0100,6.1400,6.5600,413221103,2995370691.5400
37,2022-05-31,sz.000686,6.4500,6.9000,6.0700,6.4400,289985630,1854533473.9800
38,2022-06-30,sz.000686,6.4500,7.5700,6.3700,6.9900,542089795,3746265333.8700
39,2022-07-29,sz.000686,6.9900,7.0400,6.6300,6.9300,212885095,1455704341.2800
40,2022-08-31,sz.000686,6.9300,7.8100,6.5800,7.1900,612026632,4465997699.1200
41,2022-09-30,sz.000686,7.1500,7.2000,6.4500,6.4500,329622329,2280814235.1900
42,2022-10-31,sz.000686,6.4800,7.0200,6.2600,6.3400,166846059,1108063066.1000
43,2022-11-30,sz.000686,6.3800,7.2300,6.3600,7.0200,336370218,2331504583.7100
44,2022-12-30,sz.000686,7.1300,7.2500,6.3900,6.5000,310494288,2123736513.3300
45,2023-01-31,sz.000686,6.4700,7.1700,6.3500,6.9300,277266494,1886557604.2100
46,2023-02-28,sz.000686,6.9500,7.2500,6.6500,6.8500,330746159,2270275983.8500
47,2023-03-31,sz.000686,6.8500,6.9400,6.5900,6.7800,245872610,1662380975.0900
48,2023-04-28,sz.000686,6.7800,8.3300,6.7400,7.6200,1341037608,10348145743.7400
49,2023-05-31,sz.000686,7.4500,8.3000,7.0500,7.1500,802057817,6127504937.5500
50,2023-06-30,sz.000686,7.1300,7.4200,6.7600,6.9400,385851333,2758202877.0400
51,2023-07-31,sz.000686,6.9700,8.3100,6.9400,8.1000,499899091,3798882054.4900
52,2023-08-31,sz.000686,8.0200,9.1900,7.8200,7.8800,1218545015,10330996456.9200
53,2023-09-28,sz.000686,7.8900,8.2600,7.6400,7.6500,380744516,2998085953.9500
54,2023-10-31,sz.000686,7.6300,7.7100,7.2300,7.5400,312097941,2346396759.8900
55,2023-11-30,sz.000686,7.5900,7.8500,7.2400,7.2900,407702420,3093596674.5700
56,2023-12-29,sz.000686,7.3100,7.3400,6.8200,7.1000,219630265,1568239234.1000
