,date,code,open,high,low,close,volume,amount
0,2019-04-30,sz.000750,6.1000,6.7000,5.1700,5.3500,3234666563,19766311052.3200
1,2019-05-31,sz.000750,5.0800,5.2700,4.7300,4.8800,1407232895,7042081498.8400
2,2019-06-28,sz.000750,4.9100,5.3800,4.5100,5.0300,1415239678,7145354799.6500
3,2019-07-31,sz.000750,5.1800,5.6300,4.8100,5.1400,2195984683,11530233637.8500
4,2019-08-30,sz.000750,5.1000,5.3000,4.8400,4.9800,1537687954,7792501975.2700
5,2019-09-30,sz.000750,4.9700,5.4300,4.9400,4.9400,1479057816,7722624962.6800
6,2019-10-31,sz.000750,4.9600,5.1800,4.8200,4.8600,585432703,2928297983.9800
7,2019-11-29,sz.000750,4.8400,4.9700,4.5000,4.6300,554361911,2612004101.0700
8,2019-12-31,sz.000750,4.6900,5.5400,4.6100,5.3400,1897366793,9703786858.4100
9,2020-01-23,sz.000750,5.4000,5.4600,4.5800,4.6500,952938858,4770145134.7500
10,2020-02-28,sz.000750,4.1900,5.3400,3.8500,4.6100,3121061911,14706478811.2000
11,2020-03-31,sz.000750,4.6800,5.2600,4.3100,4.3800,3239028590,15788670399.3500
12,2020-04-30,sz.000750,4.3600,4.5500,4.1200,4.3200,1039095731,4558658438.2000
13,2020-05-29,sz.000750,4.2600,4.5200,4.1600,4.1800,712544704,3087547875.5400
14,2020-06-30,sz.000750,4.3000,4.5600,4.1400,4.3400,1233023630,5322925494.7400
15,2020-07-31,sz.000750,4.3400,6.3600,4.3000,5.6300,8370645966,47421000970.0200
16,2020-08-31,sz.000750,5.7400,5.8700,5.2800,5.5800,2994579265,16821374911.3400
17,2020-09-30,sz.000750,5.5500,5.9100,5.0100,5.3300,2651374056,14513467631.0800
18,2020-10-30,sz.000750,5.4200,6.0500,5.1900,5.2000,2063600478,11825246266.5700
19,2020-11-30,sz.000750,5.2000,5.8900,5.1600,5.5100,2335707786,12968228726.8300
20,2020-12-31,sz.000750,5.4700,6.2600,5.2400,5.8600,3276595816,18430701426.8500
21,2021-01-29,sz.000750,5.9400,6.1500,5.1300,5.1700,2874654041,16196131656.6700
22,2021-02-26,sz.000750,5.1300,5.1500,4.3800,4.6800,1031121825,4830198620.1700
23,2021-03-31,sz.000750,4.7000,4.7700,4.4500,4.4700,1094248563,5015228076.9900
24,2021-04-30,sz.000750,4.4700,4.6700,4.1700,4.2100,803353156,3566692093.3900
25,2021-05-31,sz.000750,4.2400,4.5700,4.0700,4.4400,1291435587,5619940778.8700
26,2021-06-30,sz.000750,4.4000,4.4800,4.1800,4.2400,1099178660,4738899352.0800
