,date,code,open,high,low,close,volume,amount
0,2019-04-30,sz.000759,7.9800,8.9400,7.6200,8.0700,213249554,1737705043.6500
1,2019-05-31,sz.000759,7.9000,8.3900,7.5100,7.7500,73936365,583422071.1600
2,2019-06-28,sz.000759,7.7500,7.7900,7.0000,7.0200,44591828,322166111.5200
3,2019-07-31,sz.000759,7.1000,7.8000,7.0400,7.2200,41934996,302074357.3500
4,2019-08-30,sz.000759,7.3300,7.7600,6.1600,7.4100,105684520,749623904.8000
5,2019-09-30,sz.000759,7.4400,7.5000,7.2500,7.3800,40217378,297109984.4100
6,2019-10-31,sz.000759,7.3400,7.6400,7.2300,7.2600,28866471,213575576.3900
7,2019-11-29,sz.000759,7.2400,7.3400,6.1600,6.5700,41531485,272923218.5000
8,2019-12-31,sz.000759,6.5900,7.6000,6.5100,7.4500,133336517,954524238.8200
9,2020-01-23,sz.000759,7.4900,7.5300,6.2500,6.3800,47946869,336025173.1400
10,2020-02-28,sz.000759,5.7500,7.5100,5.7500,6.6500,93154690,637101122.2400
11,2020-03-31,sz.000759,6.6400,7.3400,6.1100,6.9500,88053615,596086594.5900
12,2020-04-30,sz.000759,6.8300,7.1500,6.2800,6.6200,67589468,453037012.9300
13,2020-05-29,sz.000759,6.5200,6.7600,6.1800,6.7200,23621633,154632460.7900
14,2020-06-30,sz.000759,6.7400,7.7400,6.2700,6.4900,114731262,784211439.0300
15,2020-07-31,sz.000759,6.5000,7.9500,6.3800,7.2900,330773515,2404193414.5900
16,2020-08-31,sz.000759,7.2800,7.5900,6.8400,6.9700,142834417,1024544556.6500
17,2020-09-30,sz.000759,6.9700,7.2900,6.2900,6.3400,75668182,512072819.5700
18,2020-10-30,sz.000759,6.3600,6.7500,6.2100,6.3000,49973247,319759302.3300
19,2020-11-30,sz.000759,6.3000,6.4400,6.1000,6.4400,71963465,449857253.5700
20,2020-12-31,sz.000759,6.4700,7.0900,5.8800,6.1800,160224397,1043084579.0300
21,2021-01-29,sz.000759,6.2000,6.2000,5.7000,5.8500,61017892,364791731.7900
22,2021-02-26,sz.000759,5.8700,5.9800,5.3200,5.5400,47003248,262666324.4100
23,2021-03-31,sz.000759,5.5800,5.9000,5.4500,5.5000,55026500,309658306.9300
24,2021-04-30,sz.000759,5.4900,5.7100,5.3700,5.4100,49267013,274217508.2700
25,2021-05-31,sz.000759,5.4100,5.4300,5.1900,5.2500,30974395,163870914.6000
26,2021-06-30,sz.000759,5.2600,6.1000,5.2200,5.2600,80033160,440417636.9800
27,2021-07-30,sz.000759,5.2700,5.3400,4.7300,4.7800,29177845,148131032.7700
28,2021-08-31,sz.000759,4.7700,5.0200,4.7500,4.9200,22557669,110687634.3200
29,2021-09-30,sz.000759,4.9000,5.2200,4.8200,4.8800,29502861,148433817.4000
30,2021-10-29,sz.000759,4.8800,5.4100,4.7400,4.9600,28367931,140135375.1900
31,2021-11-30,sz.000759,4.9600,5.1200,4.5100,4.6900,28897837,136787695.6000
32,2021-12-31,sz.000759,4.6500,5.1500,4.6500,5.0100,54646530,270787670.4300
33,2022-01-28,sz.000759,5.0100,6.1500,4.5500,4.6700,187036455,996540165.5300
34,2022-02-28,sz.000759,4.7000,4.8900,4.6100,4.6600,38741697,185542493.8700
35,2022-03-31,sz.000759,4.6600,5.0900,4.4200,4.9500,57335829,273196599.7600
36,2022-04-29,sz.000759,4.9300,6.1500,4.5400,4.9200,385687144,2080533519.9800
37,2022-05-31,sz.000759,4.8200,5.4400,4.6800,5.3600,147448627,743712400.3400
38,2022-06-30,sz.000759,5.3400,5.3700,4.8500,5.1000,90815771,460964424.0500
39,2022-07-29,sz.000759,5.1200,5.2300,4.8100,5.1100,82504313,419754798.0500
40,2022-08-31,sz.000759,5.1300,5.1400,4.7200,4.9200,59706032,291722341.0300
41,2022-09-30,sz.000759,4.9500,8.1000,4.9000,5.0900,1193341558,7811232420.7800
42,2022-10-31,sz.000759,5.1600,5.3600,4.5900,4.6200,448750759,2270893374.1400
43,2022-11-30,sz.000759,4.6200,5.9400,4.6000,5.5800,1032872749,5605124887.2400
44,2022-12-30,sz.000759,5.7600,6.6500,5.4900,6.0900,1581131971,9509518163.6100
45,2023-01-31,sz.000759,6.0100,6.0800,5.0300,5.1900,452022509,2459167543.0800
46,2023-02-28,sz.000759,5.2100,5.4400,5.1100,5.1900,329894728,1738122029.0600
47,2023-03-31,sz.000759,5.2000,5.3800,4.7600,4.9900,327503744,1651320121.7600
48,2023-04-28,sz.000759,4.9500,5.0000,4.2700,4.6200,211248091,975823673.5000
49,2023-05-31,sz.000759,4.5600,4.7900,4.3800,4.4800,192332321,891705031.3700
50,2023-06-30,sz.000759,4.4700,4.8500,4.3500,4.5100,194781033,896729558.1000
51,2023-07-31,sz.000759,4.5100,5.4600,4.5000,5.3300,385384889,1908629652.3700
52,2023-08-31,sz.000759,5.3100,5.4300,4.4900,4.5100,395183072,1998099929.2200
53,2023-09-28,sz.000759,4.5100,4.6900,4.4400,4.5500,191195943,869930300.1200
54,2023-10-31,sz.000759,4.5600,4.5700,4.1300,4.4200,153079722,667790118.7000
55,2023-11-30,sz.000759,4.4200,4.7900,4.2900,4.6500,283087317,1273314742.4400
56,2023-12-29,sz.000759,4.7600,5.7800,4.1700,4.3700,1533596299,7774953776.7700
57,2024-01-31,sz.000759,4.3500,4.6600,3.5300,3.5500,508914249,2154193206.4600
58,2024-02-29,sz.000759,3.5200,3.8900,2.7100,3.3700,484667642,1577657500.3900
59,2024-03-29,sz.000759,3.3600,3.9500,3.2300,3.6800,404966365,1447927480.8900
