,date,code,open,high,low,close,volume,amount
0,2019-04-30,sz.000793,4.7300,4.9500,3.7400,4.0400,1300144205,5827240430.9800
1,2019-05-31,sz.000793,3.9000,4.0800,3.3600,3.5200,596242019,2209186760.0100
2,2019-06-28,sz.000793,3.5500,3.8700,3.2700,3.3600,582613758,2064763995.6500
3,2019-07-31,sz.000793,3.4200,3.4900,3.0700,3.1300,278570366,913565805.9900
4,2019-08-30,sz.000793,3.1200,3.2700,2.8200,3.1400,340300917,1043829158.8500
5,2019-09-30,sz.000793,3.1300,3.3400,2.8400,2.8900,389110731,1223868401.6700
6,2019-10-31,sz.000793,2.8900,3.6500,2.8400,3.0400,561915784,1797572609.7400
7,2019-11-29,sz.000793,3.0400,3.0900,2.8500,2.9000,367493514,1094458478.0800
8,2019-12-31,sz.000793,2.8900,3.5100,2.8600,3.3700,734338692,2337237887.7500
9,2020-01-23,sz.000793,3.4000,3.8500,3.2800,3.3500,1005357998,3539527237.6900
10,2020-02-28,sz.000793,3.0200,3.4300,2.7200,3.0400,839883682,2659196605.4700
11,2020-03-31,sz.000793,3.0700,3.7800,2.9600,3.2000,1318783513,4353972480.0000
12,2020-04-30,sz.000793,3.1800,3.5400,2.8500,3.0000,827564434,2642999280.7200
13,2020-05-29,sz.000793,2.9600,3.2500,2.8600,3.1600,442945367,1336965064.7900
14,2020-06-30,sz.000793,3.0500,5.2800,3.0500,4.1200,4156209959,17548696644.8300
15,2020-07-31,sz.000793,4.0800,4.6800,3.3000,3.7700,2892483817,11868683706.8700
16,2020-08-31,sz.000793,3.7000,3.8000,3.3300,3.3400,1018793668,3617530062.3500
17,2020-09-30,sz.000793,3.3400,3.4400,2.9400,3.2700,607268426,1943411579.6600
18,2020-10-30,sz.000793,3.3000,3.3200,2.8400,2.8400,331178057,1036523055.5900
19,2020-11-30,sz.000793,2.8500,2.9500,2.7900,2.8900,319490723,921710581.9200
20,2020-12-31,sz.000793,2.8700,2.9900,2.5100,2.5500,350678711,964655492.8300
21,2021-01-29,sz.000793,2.5500,2.5900,2.1300,2.3500,632125205,1471411383.8200
22,2021-02-26,sz.000793,2.1800,2.3200,1.8500,2.1600,486383160,1014298756.5800
23,2021-03-31,sz.000793,2.1600,2.3400,2.0900,2.2000,695140011,1540987825.6800
24,2021-04-30,sz.000793,2.2100,3.8400,2.1800,2.2400,3387947846,9963949856.6600
25,2021-05-31,sz.000793,2.2300,2.8800,2.2200,2.8100,1898871659,4798991690.7800
26,2021-06-30,sz.000793,2.8100,3.2600,2.5000,2.6500,2544259638,7312746827.8400
27,2021-07-30,sz.000793,2.6600,2.7000,2.2200,2.3100,748264390,1878596716.0800
28,2021-08-31,sz.000793,2.3000,2.5900,2.2700,2.3800,600510661,1447195189.1100
29,2021-09-30,sz.000793,2.3700,2.8400,2.3400,2.3800,844018492,2185794463.9400
30,2021-10-29,sz.000793,2.3800,2.5800,2.2500,2.3000,299651917,723709280.9300
31,2021-11-30,sz.000793,2.3000,2.7700,2.2600,2.4700,998613304,2578346621.2200
32,2021-12-31,sz.000793,2.4700,3.0300,2.3400,2.9400,1553932819,4186273574.5700
33,2022-01-28,sz.000793,2.9400,3.2300,2.4800,2.5500,1831278977,5226445618.6300
34,2022-02-28,sz.000793,2.6000,3.6400,2.5300,2.8600,2498124407,7685709857.4500
35,2022-03-31,sz.000793,2.8400,2.9500,2.5200,2.8400,1165216096,3238430051.6800
36,2022-04-29,sz.000793,2.8100,3.1000,2.1900,2.3600,1629725249,4581596220.8100
37,2022-05-31,sz.000793,2.3300,2.5300,2.2600,2.5000,660497702,1585791560.9500
38,2022-06-30,sz.000793,2.5000,2.7500,2.3300,2.6700,1063080455,2685169624.2600
39,2022-07-29,sz.000793,2.6300,2.7000,2.2800,2.4400,632414183,1568619391.9900
40,2022-08-31,sz.000793,2.4200,2.5300,2.2700,2.4600,519128212,1252062374.3900
