,date,code,open,high,low,close,volume,amount
0,2019-04-30,sz.000812,4.7500,5.1000,4.2100,4.4700,464888892,2243224308.7500
1,2019-05-31,sz.000812,4.3000,4.3000,3.5700,3.9000,206734091,813908759.9900
2,2019-06-28,sz.000812,3.8800,5.3300,3.5800,4.2400,1137599185,5031005735.1900
3,2019-07-31,sz.000812,4.3100,5.0900,3.6100,3.7800,950774946,4086656179.5000
4,2019-08-30,sz.000812,3.7300,3.8100,3.2200,3.3600,300693645,1049472412.2800
5,2019-09-30,sz.000812,3.3700,3.7100,3.3000,3.3200,283799873,1000431907.5400
6,2019-10-31,sz.000812,3.3300,3.5000,3.2000,3.2600,146432388,491794134.7400
7,2019-11-29,sz.000812,3.2600,3.3400,2.9800,3.0700,140958023,444361304.8300
8,2019-12-31,sz.000812,3.0600,3.3700,3.0500,3.3000,197478185,639058079.8000
9,2020-01-23,sz.000812,3.3500,3.5700,3.1000,3.1500,215561506,724784868.0000
10,2020-02-28,sz.000812,2.8400,3.5200,2.6000,3.3100,382841533,1220937923.5600
11,2020-03-31,sz.000812,3.2600,3.6000,2.8900,3.0400,507193490,1667083222.6300
12,2020-04-30,sz.000812,3.0100,3.2600,2.7100,2.9000,185308673,557183254.7600
13,2020-05-29,sz.000812,2.8700,3.0500,2.7900,2.9000,103828607,300633972.6300
14,2020-06-30,sz.000812,2.9100,2.9700,2.8100,2.8400,116591185,338734613.0200
15,2020-07-31,sz.000812,2.8400,3.8000,2.8200,3.2900,786423740,2721994480.1700
16,2020-08-31,sz.000812,3.3300,3.5200,3.2500,3.4000,302073294,1018328289.4300
17,2020-09-30,sz.000812,3.3900,3.6400,3.0300,3.0500,266142001,897255116.2800
18,2020-10-30,sz.000812,3.0700,3.2400,2.9100,2.9200,73616515,228824718.3200
19,2020-11-30,sz.000812,2.9200,3.1700,2.9000,3.0900,119917773,368406590.7200
20,2020-12-31,sz.000812,3.0900,4.4800,3.0700,3.6200,1442856992,5277095315.9100
21,2021-01-29,sz.000812,3.6200,4.1800,2.7800,3.6000,903976296,3092403339.0600
22,2021-02-26,sz.000812,3.4200,4.4900,3.3200,4.0000,1366768604,5276814711.9100
23,2021-03-31,sz.000812,3.9400,4.3600,3.4800,3.8800,988099055,3834908313.4700
24,2021-04-30,sz.000812,3.8400,4.7600,3.7100,3.7100,1134250760,4823214380.5200
25,2021-05-31,sz.000812,3.7000,4.0300,3.6400,3.7100,385057559,1459687001.2600
26,2021-06-30,sz.000812,3.6900,3.8300,3.3300,3.5000,272230883,967600005.0200
27,2021-07-30,sz.000812,3.5000,3.5300,2.9800,3.0800,226156172,745383051.5700
28,2021-08-31,sz.000812,3.0900,3.5600,3.0300,3.4400,308409741,1023073043.3500
29,2021-09-30,sz.000812,3.4300,3.6800,3.2300,3.3000,314209650,1092901318.7000
30,2021-10-29,sz.000812,3.3300,3.8900,3.1200,3.2400,402394663,1413942391.0900
31,2021-11-30,sz.000812,3.2400,5.8400,3.1300,5.4900,1055742468,4684532214.1000
32,2021-12-31,sz.000812,5.4900,12.4600,5.2600,9.3800,4505890598,40269205980.5100
33,2022-01-28,sz.000812,8.9900,10.1800,6.3800,6.4800,2529326125,21341278209.1500
34,2022-02-28,sz.000812,6.6000,8.7500,6.5300,6.7500,1468764232,11002239229.8500
35,2022-03-31,sz.000812,6.7500,7.5000,5.5700,7.0400,1517905992,10052459398.3800
36,2022-04-29,sz.000812,7.0000,7.0600,4.3800,4.9000,758320859,4368497248.0400
37,2022-05-31,sz.000812,4.9400,5.8300,4.8100,5.8300,747956264,4026989255.3900
38,2022-06-30,sz.000812,5.7800,6.5600,5.3200,5.7900,1354179855,7927508869.2500
39,2022-07-29,sz.000812,5.8000,7.2000,5.4000,6.5200,789321183,4872722510.5800
40,2022-08-31,sz.000812,6.5300,6.9200,5.9500,6.4800,877472576,5624496020.8900
41,2022-09-30,sz.000812,6.4500,7.4900,5.4300,5.4300,737902698,4837584213.2000
42,2022-10-31,sz.000812,5.5100,6.2400,5.0200,5.7500,620863146,3542779198.9300
43,2022-11-30,sz.000812,5.6700,6.4200,5.5400,5.7800,805874369,4792790188.5600
44,2022-12-30,sz.000812,5.8000,8.2700,5.3400,6.9000,1682929039,11419581466.5000
45,2023-01-31,sz.000812,6.9000,7.2000,5.9700,6.4100,1220635486,7954688789.4900
46,2023-02-28,sz.000812,6.4100,7.3500,6.3100,6.4400,1166642239,7866150764.2100
47,2023-03-31,sz.000812,6.4300,6.6200,5.6800,5.9000,515871139,3207072561.4400
48,2023-04-28,sz.000812,5.9000,5.9500,5.1900,5.5000,291622514,1637830441.3100
49,2023-05-31,sz.000812,5.5000,5.7800,5.0900,5.3700,344199024,1895021866.9500
50,2023-06-30,sz.000812,5.3300,5.4700,5.0800,5.2400,187844322,989195158.3600
51,2023-07-31,sz.000812,5.2400,6.1700,5.1100,5.6700,587875448,3284358494.5800
52,2023-08-31,sz.000812,5.6400,6.2500,5.2200,5.6100,1106736183,6339252827.4400
53,2023-09-28,sz.000812,5.5000,5.7200,5.1600,5.2500,331968901,1801826532.2700
