,date,code,open,high,low,close,volume,amount
0,2019-04-30,sz.000895,25.9500,28.0500,25.4500,27.8300,485935548,12972909416.5200
1,2019-05-31,sz.000895,26.8000,27.8000,24.2700,25.0700,360034958,9254017976.4000
2,2019-06-28,sz.000895,25.2000,25.3500,23.7400,24.8900,228672199,5605637656.6700
3,2019-07-31,sz.000895,25.1900,26.6000,23.9500,24.0100,314805872,7864998580.8400
4,2019-08-30,sz.000895,23.9700,24.1200,21.1700,22.3600,229239864,5137704798.8000
5,2019-09-30,sz.000895,22.2000,24.9700,21.7200,24.7000,373856789,8830999134.9300
6,2019-10-31,sz.000895,24.6100,30.9000,23.6900,29.8500,314143052,8472075963.0800
7,2019-11-29,sz.000895,29.6900,35.2000,29.0600,30.9900,434904729,13837865257.1800
8,2019-12-31,sz.000895,30.9200,31.2500,28.1500,29.0300,388527656,11358823209.9300
9,2020-01-23,sz.000895,29.3600,31.8000,28.8400,29.2600,243843822,7427152858.3300
10,2020-02-28,sz.000895,26.3300,36.1300,26.3300,34.0000,378468190,12382184542.0200
11,2020-03-31,sz.000895,34.0100,39.7700,33.1700,39.3000,466007506,16755144488.1500
12,2020-04-30,sz.000895,39.1000,44.1000,38.0700,40.4100,298984162,12200727537.1600
13,2020-05-29,sz.000895,39.8800,44.0900,38.8800,39.5600,253659436,10451555433.0300
14,2020-06-30,sz.000895,39.9800,47.1700,38.0000,46.0900,264968034,10853622560.9000
15,2020-07-31,sz.000895,46.0800,57.3000,45.2800,54.6300,365059697,18648925649.8200
16,2020-08-31,sz.000895,54.7700,65.6500,50.5700,63.5000,338087334,18996982196.6100
17,2020-09-30,sz.000895,63.0500,63.3300,50.5000,52.9300,281098200,15274120710.7000
18,2020-10-30,sz.000895,53.5500,55.8800,44.4400,50.0000,208142570,10641549650.6400
19,2020-11-30,sz.000895,49.4000,52.2200,45.7900,46.1200,233517128,11487984344.4200
20,2020-12-31,sz.000895,46.1100,49.9500,44.2000,46.9400,296338599,13989117876.7200
21,2021-01-29,sz.000895,46.9400,54.9800,45.5500,46.9900,488811007,24641691592.4300
22,2021-02-26,sz.000895,47.0000,52.9800,45.6200,46.0400,292059972,14193351668.5200
23,2021-03-31,sz.000895,46.3000,46.9800,39.7200,41.0000,250004300,10609364057.3400
24,2021-04-30,sz.000895,40.9200,41.1500,36.5300,36.6400,303602283,11882271373.7900
25,2021-05-31,sz.000895,36.6700,38.1000,34.1700,35.2200,210652192,7601759662.8200
26,2021-06-30,sz.000895,35.3700,35.9300,30.5300,31.8000,257843039,8567236224.8700
27,2021-07-30,sz.000895,31.8000,33.3100,25.0200,25.6800,352841327,10053257623.4400
28,2021-08-31,sz.000895,25.6800,29.1500,23.6000,24.1000,596841346,15635226440.2000
29,2021-09-30,sz.000895,24.1700,28.1900,24.1100,27.1500,402223858,10438560958.2200
30,2021-10-29,sz.000895,27.1900,29.6300,25.7000,29.5000,511705860,14274548185.3700
31,2021-11-30,sz.000895,29.3500,32.7400,28.3800,28.4600,534109899,16286074601.9300
32,2021-12-31,sz.000895,28.5300,32.4000,28.4600,31.5500,394553130,12203269621.9300
33,2022-01-28,sz.000895,31.6500,33.9000,29.4500,29.8000,317179386,10097391077.4100
34,2022-02-28,sz.000895,30.0200,32.1900,27.8000,28.8000,177175327,5317676171.8200
35,2022-03-31,sz.000895,28.8000,29.9000,23.5000,29.0600,291438031,7941141450.3300
36,2022-04-29,sz.000895,28.9000,32.5900,27.6500,29.7500,364992981,11157059145.2200
37,2022-05-31,sz.000895,29.4700,32.1600,27.7100,28.3400,319964298,9501540823.4300
38,2022-06-30,sz.000895,28.3900,30.1600,26.1000,29.3000,420463859,11910679344.6900
39,2022-07-29,sz.000895,29.1900,30.5400,26.1500,26.8300,318302139,8866238852.0600
40,2022-08-31,sz.000895,26.8400,27.3600,25.2500,26.8100,249521404,6588700946.9600
41,2022-09-30,sz.000895,26.8000,26.8000,23.3600,24.4600,191063834,4806110412.6800
42,2022-10-31,sz.000895,24.4600,25.3300,22.6500,22.7800,155983362,3800656117.0100
43,2022-11-30,sz.000895,22.7900,25.7300,22.7900,25.2600,178820222,4429280852.5500
44,2022-12-30,sz.000895,25.4500,26.4200,24.5800,25.9300,239002530,6119138054.4500
45,2023-01-31,sz.000895,25.9200,26.4500,25.0800,25.5000,165844432,4259528267.4200
46,2023-02-28,sz.000895,25.5000,27.2700,25.0200,26.4800,271134399,7075223232.3500
47,2023-03-31,sz.000895,26.5900,26.8700,24.7000,25.9400,204586978,5267504280.5900
48,2023-04-28,sz.000895,25.9000,26.7200,24.2100,24.9500,187306246,4847914449.7900
49,2023-05-31,sz.000895,24.9500,26.0500,24.3800,24.5800,170312368,4291685975.2100
50,2023-06-30,sz.000895,24.4000,25.2000,24.0600,24.4900,109492028,2692816114.8500
51,2023-07-31,sz.000895,24.5000,25.4500,24.0400,25.2400,127803429,3139027150.2700
52,2023-08-31,sz.000895,25.2400,27.0500,24.7300,26.8600,255854392,6579744375.2800
53,2023-09-28,sz.000895,26.8600,27.5000,25.6200,26.3900,222216536,5917662580.2700
54,2023-10-31,sz.000895,26.3600,26.7800,25.0000,26.2100,118886113,3083992707.9200
55,2023-11-30,sz.000895,26.3600,26.5400,25.2600,26.1000,126880801,3281005314.2300
