,date,code,open,high,low,close,volume,amount
0,2019-04-30,sz.000897,2.5000,2.8900,2.3600,2.4400,729357153,1931882141.8500
1,2019-05-31,sz.000897,2.3900,2.6500,2.2900,2.5200,278956126,695744177.8400
2,2019-06-28,sz.000897,2.5300,2.5600,2.3800,2.4200,164190821,405758913.0000
3,2019-07-31,sz.000897,2.4400,2.4800,2.2100,2.2800,142069212,330996094.5000
4,2019-08-30,sz.000897,2.2800,2.3800,2.0900,2.1000,162380006,355242699.2000
5,2019-09-30,sz.000897,2.1100,2.2800,2.1100,2.2400,155924449,339666198.2800
6,2019-10-31,sz.000897,2.2500,2.3800,1.8700,1.9100,186477978,401944982.8700
7,2019-11-29,sz.000897,1.9100,1.9400,1.7600,1.9000,121129795,226270646.8400
8,2019-12-31,sz.000897,1.8900,2.2200,1.8800,2.1000,175110088,360097590.3800
9,2020-01-23,sz.000897,2.1300,2.3500,2.1200,2.1700,152640646,343580429.1400
10,2020-02-28,sz.000897,2.0600,2.4100,1.9600,2.2900,324448518,728147798.3500
11,2020-03-31,sz.000897,2.3000,2.7500,2.2500,2.2800,755349678,1922614614.5900
12,2020-04-30,sz.000897,2.2700,2.5000,2.2200,2.3100,351373976,829899776.8800
13,2020-05-29,sz.000897,2.2900,2.3000,2.0300,2.1800,202520448,434797283.9200
14,2020-06-30,sz.000897,2.1600,2.5600,2.1100,2.2000,339667542,780123043.0500
15,2020-07-31,sz.000897,2.2000,2.6300,2.1900,2.3900,619338734,1497776642.3200
16,2020-08-31,sz.000897,2.3900,3.7100,2.3000,3.0100,1252857902,3855959312.7200
17,2020-09-30,sz.000897,2.9500,3.1000,2.4900,2.5300,777462191,2177586467.6300
18,2020-10-30,sz.000897,2.5400,2.7000,2.4300,2.5100,193150050,496491335.4800
19,2020-11-30,sz.000897,2.5000,2.9000,2.3500,2.6300,539474970,1435984451.3400
20,2020-12-31,sz.000897,2.6200,2.7600,2.3600,2.4900,261179165,665937513.9700
21,2021-01-29,sz.000897,2.4700,2.4800,2.1800,2.2100,230739729,542238139.5300
22,2021-02-26,sz.000897,2.2000,2.4400,2.0800,2.3000,143859589,322974696.6900
23,2021-03-31,sz.000897,2.2900,2.3500,2.1600,2.2800,196784655,447670527.9600
24,2021-04-30,sz.000897,2.2700,2.3200,2.1400,2.1800,165168244,367581175.5800
25,2021-05-31,sz.000897,2.1700,2.2300,2.1400,2.2000,130777617,285389118.7600
26,2021-06-30,sz.000897,2.2000,2.2100,2.0800,2.1000,137408794,295744930.7500
27,2021-07-30,sz.000897,2.1000,2.1200,1.8700,1.9000,120785752,242055061.5900
28,2021-08-31,sz.000897,1.9000,2.0300,1.8700,1.9500,144477586,283538975.8200
29,2021-09-30,sz.000897,1.9500,2.1400,1.9400,2.0200,251302362,517478979.0300
30,2021-10-29,sz.000897,2.0200,2.8500,1.9900,2.5100,802987268,1932479533.3400
31,2021-11-30,sz.000897,2.5200,2.9400,2.3700,2.4600,1137737111,2982892803.2900
32,2021-12-31,sz.000897,2.4600,3.4200,2.3700,2.7200,1187162258,3376866233.3600
33,2022-01-28,sz.000897,2.7000,3.1100,2.5400,2.6200,856517663,2436797345.4700
34,2022-02-28,sz.000897,2.6700,3.0400,2.5900,2.7000,581504875,1644689209.4600
35,2022-03-31,sz.000897,2.6800,3.9700,2.3300,3.4900,1832756482,5857819360.4400
36,2022-04-29,sz.000897,3.3400,3.5400,2.4000,2.6900,2050101416,6414205634.3000
37,2022-05-31,sz.000897,2.7200,2.9600,2.5300,2.6100,1208846086,3265417711.1700
38,2022-06-30,sz.000897,2.5900,2.6300,2.4600,2.5300,541720915,1380211737.6700
39,2022-07-29,sz.000897,2.5400,2.5500,2.3000,2.4000,382836180,926355222.0400
40,2022-08-31,sz.000897,2.3900,2.4300,2.2200,2.3400,316421005,743027147.8900
41,2022-09-30,sz.000897,2.3500,2.5900,2.2500,2.3900,639258184,1567517731.4100
42,2022-10-31,sz.000897,2.3800,2.4700,2.1000,2.1300,337799040,778212065.0400
43,2022-11-30,sz.000897,2.1300,2.7800,2.1200,2.6800,748209544,1841642383.9400
44,2022-12-30,sz.000897,2.6900,2.7300,2.3100,2.3500,487563668,1234243442.9000
45,2023-01-31,sz.000897,2.3500,2.4500,2.2600,2.4200,206790081,484333830.6000
46,2023-02-28,sz.000897,2.4400,2.4600,2.3600,2.4000,243004441,585769643.3500
47,2023-03-31,sz.000897,2.4100,2.4500,2.1900,2.2600,330368723,767066071.3900
48,2023-04-28,sz.000897,2.2700,2.3300,2.1100,2.1600,302556695,679181749.5200
49,2023-05-31,sz.000897,2.1300,2.1900,1.8500,1.9200,322015191,667136249.8400
50,2023-06-30,sz.000897,1.9100,2.0500,1.8200,1.9000,318549394,618005540.4600
51,2023-07-31,sz.000897,1.9100,2.8200,1.8900,2.6600,2020818055,4823284245.7000
52,2023-08-31,sz.000897,2.6000,3.1900,2.5200,2.9100,1843901791,5160500654.4900
53,2023-09-28,sz.000897,2.9500,2.9600,2.4000,2.4400,801347993,2077100762.8100
54,2023-10-31,sz.000897,2.4400,2.4400,2.2100,2.3000,487256586,1132417214.0800
55,2023-11-30,sz.000897,2.2800,2.5000,2.2100,2.2800,816448047,1897741384.1300
56,2023-12-29,sz.000897,2.2700,2.3400,2.1000,2.1600,490778391,1099016744.6600
57,2024-01-31,sz.000897,2.1600,2.5000,2.0700,2.1800,1242258856,2876779254.7800
58,2024-02-29,sz.000897,2.1700,2.2600,1.8300,2.1700,704770608,1487298388.4000
59,2024-03-29,sz.000897,2.1700,2.3500,2.0700,2.2500,698749880,1534968664.5300
