,date,code,open,high,low,close,volume,amount
0,2019-04-30,sz.000905,8.9000,10.7500,8.0600,8.2900,531532799,5015961699.4300
1,2019-05-31,sz.000905,7.7800,8.1700,7.2000,7.5000,153018883,1173792377.1200
2,2019-06-28,sz.000905,7.5500,7.9800,7.0300,7.6400,91748695,684411135.7400
3,2019-07-31,sz.000905,7.7700,8.5800,7.3900,7.5800,182898271,1442484933.5100
4,2019-08-30,sz.000905,7.5200,7.6800,6.7800,7.1100,79048456,566978730.9600
5,2019-09-30,sz.000905,7.1600,7.7000,7.0800,7.2400,98400112,732558009.9800
6,2019-10-31,sz.000905,7.2400,7.9900,7.0400,7.1400,70043792,519718554.9100
7,2019-11-29,sz.000905,7.1000,7.3200,6.8000,6.8700,40864308,288051653.0700
8,2019-12-31,sz.000905,6.8600,7.4900,6.7700,7.4700,62973801,452215607.5900
9,2020-01-23,sz.000905,7.4900,8.3500,6.8900,6.9100,170255045,1297304507.6200
10,2020-02-28,sz.000905,6.2200,6.7800,5.6700,6.3800,112178832,719460408.2200
11,2020-03-31,sz.000905,6.4000,7.1000,5.8800,6.0400,156236001,1028872909.6000
12,2020-04-30,sz.000905,6.0400,6.2900,5.7100,5.9200,64531120,389571691.2500
13,2020-05-29,sz.000905,5.8800,6.0600,5.7300,6.0500,43377844,256158974.1400
14,2020-06-30,sz.000905,6.0800,6.9800,5.9800,6.4500,238583377,1542452148.1200
15,2020-07-31,sz.000905,6.5000,8.9500,6.4400,7.2200,548818943,4280010097.2100
16,2020-08-31,sz.000905,7.2400,7.9900,7.0800,7.2000,169491004,1256830484.5500
17,2020-09-30,sz.000905,7.1800,7.2600,6.5700,6.6300,68844044,478738938.0800
18,2020-10-30,sz.000905,6.6700,7.1300,6.5600,6.5700,44827777,303775086.0000
19,2020-11-30,sz.000905,6.5700,8.4600,6.4500,7.2500,271566734,2058519364.7600
20,2020-12-31,sz.000905,7.2500,7.4900,6.6800,7.1700,146922087,1046829226.5100
21,2021-01-29,sz.000905,7.1000,7.8400,6.5200,6.6000,146228204,1042549197.5400
22,2021-02-26,sz.000905,6.6000,6.8500,6.1500,6.6200,41701789,273129041.8100
23,2021-03-31,sz.000905,6.6400,7.3500,6.6100,7.1400,142807968,996234215.4100
24,2021-04-30,sz.000905,7.0900,7.3000,6.6800,6.7600,97764564,684695881.5500
25,2021-05-31,sz.000905,6.7700,7.0000,6.6900,6.7900,48570785,332546348.3700
26,2021-06-30,sz.000905,6.8000,6.9100,6.5700,6.6600,49233766,331298287.9700
27,2021-07-30,sz.000905,6.6300,6.7000,6.1900,6.3100,53817936,350385281.8700
28,2021-08-31,sz.000905,6.3000,6.7600,6.2000,6.6700,54906652,358038783.1600
29,2021-09-30,sz.000905,6.6500,7.2200,6.5200,6.6200,114548074,795040350.0600
30,2021-10-29,sz.000905,6.6800,6.8600,6.2000,6.3400,40886427,267127280.8400
31,2021-11-30,sz.000905,6.3400,7.8000,6.2900,7.4700,278557530,1987588457.3600
32,2021-12-31,sz.000905,7.4600,7.9500,7.0800,7.5200,258000993,1939954637.4900
33,2022-01-28,sz.000905,7.5600,8.1600,6.7600,7.1200,215339169,1635565061.6800
34,2022-02-28,sz.000905,7.1900,7.8500,7.0400,7.6500,177215857,1333420646.5300
35,2022-03-31,sz.000905,7.5200,8.5400,7.0000,7.7000,325069487,2502026011.7300
36,2022-04-29,sz.000905,7.6200,9.9500,6.5200,6.8600,573571652,4720916560.4700
37,2022-05-31,sz.000905,6.8600,8.8800,6.6200,8.4100,426848026,3325393330.9100
38,2022-06-30,sz.000905,8.4100,9.5900,7.6100,7.9000,436454469,3605712452.2800
39,2022-07-29,sz.000905,7.9100,8.2600,7.4300,8.0000,199266222,1584585304.3400
40,2022-08-31,sz.000905,8.0000,8.8200,7.5000,8.0600,437961069,3630829231.3000
41,2022-09-30,sz.000905,8.1300,8.5000,7.0500,7.0800,168963233,1324605732.3000
42,2022-10-31,sz.000905,7.1300,7.7200,6.9800,7.2500,119985926,892116484.0000
43,2022-11-30,sz.000905,7.2600,7.6700,7.2000,7.6300,151376147,1133045490.7300
44,2022-12-30,sz.000905,7.6500,8.1100,7.1000,7.2200,149708001,1141317632.3000
45,2023-01-31,sz.000905,7.2300,7.7800,7.1100,7.7000,89365257,662365853.4900
46,2023-02-28,sz.000905,7.6900,8.2900,7.2600,7.4400,229849842,1747253307.2300
47,2023-03-31,sz.000905,7.4300,7.7700,7.1200,7.2100,238845257,1801887907.8900
