,date,code,open,high,low,close,volume,amount
0,2019-04-30,sz.000936,10.5000,11.8300,8.6900,9.4400,780490808,8029632279.6100
1,2019-05-31,sz.000936,8.9300,10.0000,8.0200,9.6500,527512015,4763672238.4200
2,2019-06-28,sz.000936,9.6200,9.7600,8.5900,8.9300,357666416,3246153821.8000
3,2019-07-31,sz.000936,9.1800,9.9000,8.1300,8.1400,505238145,4536197407.1900
4,2019-08-30,sz.000936,8.1000,8.1100,6.7000,6.9000,364717943,2618374671.3700
5,2019-09-30,sz.000936,6.9000,7.8100,6.8100,6.8200,345398986,2535547504.8500
6,2019-10-31,sz.000936,6.8400,7.2700,6.7200,6.7700,151822302,1057665083.1100
7,2019-11-29,sz.000936,6.7400,6.8300,5.9800,6.1300,127343135,806466498.2600
8,2019-12-31,sz.000936,6.1700,8.0100,6.0900,7.8100,605702841,4382080209.3800
9,2020-01-23,sz.000936,7.9000,8.2700,7.3800,7.6100,464393135,3640796641.6400
10,2020-02-28,sz.000936,6.8500,11.3500,6.2000,9.1500,1049676629,9807114597.9600
11,2020-03-31,sz.000936,9.5500,10.9600,7.5700,8.2000,1040159771,9493735130.8900
12,2020-04-30,sz.000936,8.2000,10.9900,8.0600,10.6800,941142008,9267658279.3100
13,2020-05-29,sz.000936,10.5500,12.3800,8.8700,10.6900,812171133,8586101798.5400
14,2020-06-30,sz.000936,10.7000,13.8200,9.7800,12.5000,1592365667,19019335311.2700
15,2020-07-31,sz.000936,12.4500,14.1500,10.5100,10.9300,1259670389,15572657468.7800
16,2020-08-31,sz.000936,10.9000,11.3500,9.2400,9.5400,440799580,4490461627.3700
17,2020-09-30,sz.000936,9.5100,9.7000,7.9100,8.0600,246699291,2193912016.3100
18,2020-10-30,sz.000936,8.1500,9.2500,7.1000,7.1100,240984171,2021824285.4800
19,2020-11-30,sz.000936,7.0200,7.8400,7.0200,7.8400,226475777,1697976013.6400
20,2020-12-31,sz.000936,7.8300,9.8600,7.5000,7.8400,718062928,6140264596.1200
21,2021-01-29,sz.000936,7.7600,8.2000,6.5100,6.5100,293301172,2194683051.5400
22,2021-02-26,sz.000936,6.4000,7.2000,5.9000,6.4400,201523563,1306035180.5500
23,2021-03-31,sz.000936,6.3700,6.7700,5.5900,5.7100,208467928,1261634262.9000
24,2021-04-30,sz.000936,5.7200,6.8900,5.6600,6.2400,316553978,2012754276.9100
25,2021-05-31,sz.000936,6.2200,6.7200,6.0300,6.4700,227835150,1457164835.4400
26,2021-06-30,sz.000936,6.4200,7.2800,6.4000,7.0000,397571730,2721260016.9900
27,2021-07-30,sz.000936,7.0100,7.4700,6.5400,7.2500,509502212,3572244913.4100
28,2021-08-31,sz.000936,7.2900,7.5200,6.7300,6.9900,374092680,2670683915.2900
29,2021-09-30,sz.000936,7.0200,7.9800,6.2900,6.3300,490327804,3604275725.1500
30,2021-10-29,sz.000936,6.4000,6.6000,5.7000,5.8000,121704170,751584568.6700
31,2021-11-30,sz.000936,5.8000,6.2000,5.6600,6.1200,129241878,767593920.0400
32,2021-12-31,sz.000936,6.1800,6.3500,5.9700,6.2700,156297754,965063760.7400
33,2022-01-28,sz.000936,6.2700,6.4200,5.6700,5.8000,141055177,873264721.1900
34,2022-02-28,sz.000936,5.9100,6.1300,5.8000,5.8600,80795051,482943749.7200
35,2022-03-31,sz.000936,5.9200,6.0400,5.0100,5.5300,126136091,702751653.4700
36,2022-04-29,sz.000936,5.5800,5.6300,4.2500,4.5800,103870796,525128052.2800
37,2022-05-31,sz.000936,4.5900,4.9700,4.4400,4.9000,108672162,518478779.0200
38,2022-06-30,sz.000936,4.8700,5.8800,4.8200,5.4100,346260418,1877733891.8400
39,2022-07-29,sz.000936,5.3600,5.4300,4.9500,5.2900,89691764,469712828.2600
40,2022-08-31,sz.000936,5.2800,7.4100,5.0900,5.6500,1165927461,7500677708.7000
41,2022-09-30,sz.000936,5.6200,5.9800,4.9500,4.9500,201407955,1126359274.4400
42,2022-10-31,sz.000936,4.9700,5.5400,4.8100,5.3500,115339144,599922471.0400
43,2022-11-30,sz.000936,5.3300,5.7000,5.2100,5.5400,208638987,1139292871.9700
44,2022-12-30,sz.000936,5.6000,5.7200,5.0500,5.0700,166290549,908817461.6600
45,2023-01-31,sz.000936,5.0800,5.8000,5.0500,5.7700,223223944,1222079294.1000
46,2023-02-28,sz.000936,5.8000,6.5800,5.6800,5.9100,615864458,3719732737.4200
47,2023-03-31,sz.000936,6.0000,7.8100,5.5800,7.8100,866747336,5891331877.0200
48,2023-04-28,sz.000936,7.7900,8.6600,6.6600,7.0300,1625897581,12700758731.6500
49,2023-05-31,sz.000936,6.9700,7.5200,6.1100,7.2500,728966852,4914199067.9000
50,2023-06-30,sz.000936,7.1100,15.0800,6.7500,13.9000,2412959110,28769043532.8400
51,2023-07-31,sz.000936,14.2000,14.3000,9.6200,9.8600,2148554991,25335224705.5600
52,2023-08-31,sz.000936,9.8700,11.9600,8.9000,9.5700,2110651006,22298662929.0200
53,2023-09-28,sz.000936,9.5700,9.9400,8.4100,9.6400,1096894654,10252393649.3200
54,2023-10-31,sz.000936,9.4300,9.9400,7.7000,8.0500,689196983,6116497232.9300
55,2023-11-30,sz.000936,8.0200,10.1700,7.9700,8.4800,1313250772,12057602936.2500
56,2023-12-29,sz.000936,8.4800,9.4200,7.6700,8.1000,699288044,6109514451.6000
57,2024-01-31,sz.000936,8.2000,9.3600,6.4000,6.4700,817897886,6630445980.1600
58,2024-02-29,sz.000936,6.4500,9.2200,5.7700,8.6000,919096079,7130268882.8000
59,2024-03-29,sz.000936,8.6000,9.6000,7.4500,7.7700,1311337796,11611315713.4600
