,date,code,open,high,low,close,volume,amount
0,2019-04-30,sz.000949,3.3900,3.6900,3.1200,3.1800,212704816,733972543.7800
1,2019-05-31,sz.000949,3.1400,3.2000,2.9000,3.0100,95402915,288711686.2900
2,2019-06-28,sz.000949,3.0100,3.0300,2.8300,2.9100,56705451,166402710.3600
3,2019-07-31,sz.000949,2.9500,3.3200,2.8500,3.1500,109754449,329459873.5300
4,2019-08-30,sz.000949,3.1000,3.7500,3.1000,3.5500,250378757,869760815.1500
5,2019-09-30,sz.000949,3.5400,4.0200,3.4300,3.8200,230701875,850187356.5600
6,2019-10-31,sz.000949,3.8000,4.3700,3.6000,3.7900,169848601,652307869.6500
7,2019-11-29,sz.000949,3.7800,4.3200,3.4600,3.5900,272212178,1025250733.1500
8,2019-12-31,sz.000949,3.5600,4.4000,3.5000,3.8700,366611866,1465633516.5200
9,2020-01-23,sz.000949,3.8800,4.2300,3.4900,3.5700,347085222,1286398196.1000
10,2020-02-28,sz.000949,3.4600,4.7900,3.0200,4.4100,1108727990,4531943911.2000
11,2020-03-31,sz.000949,4.5500,5.4100,3.2700,3.4900,1468974961,6442089318.3000
12,2020-04-30,sz.000949,3.4900,4.4500,3.3700,3.6800,834328473,3306294082.9900
13,2020-05-29,sz.000949,3.6700,3.8400,3.2300,3.2900,206196650,734408045.7500
14,2020-06-30,sz.000949,3.3200,3.7700,3.2200,3.4600,257093260,891776850.3700
15,2020-07-31,sz.000949,3.4500,3.9200,3.3200,3.4900,466486434,1688869337.4000
16,2020-08-31,sz.000949,3.4900,3.8900,3.3600,3.3900,330642568,1172157373.6000
17,2020-09-30,sz.000949,3.4100,3.5100,3.0600,3.0800,150487177,502546668.3200
18,2020-10-30,sz.000949,3.1300,3.4600,3.0700,3.0900,138079158,452050898.4600
19,2020-11-30,sz.000949,3.0800,3.9600,3.0700,3.4800,501542534,1781895577.9800
20,2020-12-31,sz.000949,3.4600,3.6800,3.1100,3.2800,294834079,995688913.3400
21,2021-01-29,sz.000949,3.2700,3.3200,2.9800,3.1500,182561991,577945983.2000
22,2021-02-26,sz.000949,3.1500,5.0300,3.1200,4.2600,699264527,3000766431.7700
23,2021-03-31,sz.000949,4.5000,4.8500,3.8400,4.0000,1077902049,4677273392.8100
24,2021-04-30,sz.000949,4.0300,5.2800,3.9700,4.9800,1053829273,4812053602.4300
25,2021-05-31,sz.000949,4.9500,5.7500,4.7900,5.3600,814348733,4269312168.0700
26,2021-06-30,sz.000949,5.4600,8.6800,5.3900,8.4700,1660203615,11567769115.7900
27,2021-07-30,sz.000949,8.4700,8.7900,6.5400,7.1700,1384094036,10978385976.4700
28,2021-08-31,sz.000949,7.1000,8.2800,6.5900,7.3900,1052685398,7775263834.0900
29,2021-09-30,sz.000949,7.3700,8.0200,5.8600,6.0200,1026515288,7481060567.5300
30,2021-10-29,sz.000949,6.1900,7.5200,5.9500,6.5200,672218372,4557023527.5800
31,2021-11-30,sz.000949,6.5000,6.5700,5.7300,6.0700,605256356,3652830980.5100
