,date,code,open,high,low,close,volume,amount
0,2023-02-28,sz.001260,17.1200,38.5000,17.1200,30.1200,73706068,2362610762.7600
1,2023-03-31,sz.001260,29.9000,30.1200,23.0600,23.8300,136305913,3628020935.1100
2,2023-04-28,sz.001260,23.8000,25.0000,19.8100,20.9300,47861695,1079980362.6000
3,2023-05-31,sz.001260,21.0200,22.3500,20.3500,21.3100,30293695,647906182.4700
4,2023-06-30,sz.001260,21.2000,22.6000,20.2100,21.4900,29833114,638610309.1200
5,2023-07-31,sz.001260,21.6100,24.8900,20.8200,21.5100,62004849,1417011377.9900
6,2023-08-31,sz.001260,21.3900,22.5800,19.0200,21.3700,41966758,885447921.8800
7,2023-09-28,sz.001260,21.3400,22.6800,20.4800,21.3700,34087812,729028332.3000
8,2023-10-31,sz.001260,21.4000,26.0800,19.5000,21.5000,60739024,1357418992.0500
9,2023-11-30,sz.001260,21.5000,28.1800,20.6000,23.6800,128471047,3028581788.3800
10,2023-12-29,sz.001260,23.6900,24.9200,20.9500,22.0700,49506087,1123466904.8300
11,2024-01-31,sz.001260,22.0700,23.3800,17.3900,18.3300,54481567,1121610650.3700
12,2024-02-29,sz.001260,18.1000,20.1600,12.2100,15.4700,55458097,878558831.9600
13,2024-03-29,sz.001260,15.5100,17.3600,14.9000,16.7800,36294511,587857135.4900
