,date,code,open,high,low,close,volume,amount
0,2022-08-31,sz.001339,20.2300,32.2700,20.2300,21.6300,125296305,3283878638.6300
1,2022-09-30,sz.001339,21.6000,28.9700,20.0200,20.1400,354088758,8973103837.5400
2,2022-10-31,sz.001339,20.1800,26.1500,18.9100,24.2000,210875142,5001466473.8500
3,2022-11-30,sz.001339,24.2100,27.8900,21.8100,22.3300,205588278,5070154125.2300
4,2022-12-30,sz.001339,22.5500,23.9600,19.6900,20.3400,77423139,1678544330.1900
5,2023-01-31,sz.001339,20.4000,30.4900,20.4000,26.2900,183858841,4593488152.1600
6,2023-02-28,sz.001339,26.1000,34.8900,25.2000,29.4300,386914559,11283656962.8200
7,2023-03-31,sz.001339,29.0000,31.9800,26.1600,29.1100,247464972,7174271886.2500
8,2023-04-28,sz.001339,29.1000,30.7300,24.0000,25.9400,183869165,5192850200.9300
9,2023-05-31,sz.001339,25.7200,28.3000,24.3100,28.2000,118138644,3166558016.3400
10,2023-06-30,sz.001339,28.1900,35.9900,27.3200,29.6700,237847972,7320267511.3700
11,2023-07-31,sz.001339,29.5900,29.8900,26.1700,26.2500,73954685,2105934646.2500
12,2023-08-31,sz.001339,26.2800,27.0800,23.9400,25.4800,54949597,1420176457.1600
13,2023-09-28,sz.001339,25.4800,26.8500,23.8800,26.2000,62651301,1597586784.1000
14,2023-10-31,sz.001339,26.0000,26.5000,21.8100,23.3000,41143218,1008681932.4900
15,2023-11-30,sz.001339,23.2500,29.2700,22.9600,27.5000,114864152,3054612138.6600
16,2023-12-29,sz.001339,27.2300,34.8800,25.5000,34.3800,246304025,7329758415.9500
17,2024-01-31,sz.001339,37.2300,45.8000,24.6200,24.7500,595432133,21916568504.1400
18,2024-02-29,sz.001339,24.4000,31.5900,19.1800,29.1500,266271584,6954569677.7700
19,2024-03-29,sz.001339,29.1500,35.8000,27.2400,28.9600,325231066,10577382395.4600
