,date,code,open,high,low,close,volume,amount
0,2023-02-17,sh.600008,2.9500,2.9600,2.8900,2.8900,238949049,699834587.5000
1,2023-02-24,sh.600008,2.8900,2.9500,2.8800,2.9400,195284644,571581098.7300
2,2023-03-03,sh.600008,2.9300,3.0600,2.9000,3.0400,365701597,1088206018.5200
3,2023-03-10,sh.600008,3.0400,3.0700,2.9800,2.9800,333203197,1006250548.5500
4,2023-03-17,sh.600008,2.9800,3.0600,2.9700,3.0500,290556852,878213646.2900
5,2023-03-24,sh.600008,3.0500,3.0700,3.0100,3.0300,244321014,741373916.8300
6,2023-03-31,sh.600008,3.0300,3.0300,2.9300,2.9700,224850944,667641154.9300
7,2023-04-07,sh.600008,2.9700,3.0300,2.9600,3.0000,187063819,561014139.0300
8,2023-04-14,sh.600008,2.9900,3.1500,2.9800,3.0000,482952424,1471116536.6200
9,2023-04-21,sh.600008,3.0000,3.0600,2.9500,2.9500,347506658,1044401404.4700
10,2023-04-28,sh.600008,2.9600,3.0000,2.9200,3.0000,243045718,718783169.4800
11,2023-05-05,sh.600008,2.9900,3.1100,2.9800,3.0900,205373844,627349269.3000
12,2023-05-12,sh.600008,3.0900,3.2500,3.0800,3.1800,578812493,1838200639.8400
13,2023-05-19,sh.600008,3.2000,3.2200,3.0800,3.0900,328093767,1034489136.5500
14,2023-05-26,sh.600008,3.0800,3.1200,2.9500,3.0200,288609129,872769265.0600
15,2023-06-02,sh.600008,3.0200,3.1400,3.0000,3.0500,325353406,1002618269.1400
16,2023-06-09,sh.600008,3.0500,3.0600,2.9700,3.0400,218319990,656889071.6400
17,2023-06-16,sh.600008,3.0400,3.0500,2.8400,2.8600,254857818,747521859.3700
18,2023-06-21,sh.600008,2.8600,2.8700,2.7900,2.8000,132847403,376108628.4700
19,2023-06-30,sh.600008,2.7900,2.8900,2.7700,2.8800,182397162,519119984.3500
20,2023-07-07,sh.600008,2.8800,2.9000,2.8400,2.8700,157687733,452753001.5000
21,2023-07-14,sh.600008,2.8800,2.8900,2.8400,2.8600,143421601,411246031.7000
22,2023-07-21,sh.600008,2.8600,2.9400,2.8400,2.9000,194148086,562022878.1700
23,2023-07-28,sh.600008,2.9000,2.9900,2.8900,2.9700,224533133,660255874.1900
24,2023-08-04,sh.600008,2.9900,3.0600,2.9700,3.0300,334854087,1012198432.2700
25,2023-08-11,sh.600008,3.0300,3.0300,2.9300,2.9300,203823011,607533536.2900
26,2023-08-18,sh.600008,2.9200,2.9900,2.9000,2.9600,207980220,611309156.9200
27,2023-08-25,sh.600008,2.9600,3.0800,2.9200,3.0100,493373448,1477970479.3300
28,2023-09-01,sh.600008,3.1100,3.1200,2.8500,2.8600,516968438,1536549542.9600
29,2023-09-08,sh.600008,2.8700,2.9000,2.8000,2.8200,273377824,782145855.4600
30,2023-09-15,sh.600008,2.8300,2.8900,2.8100,2.8800,219807654,627678562.2200
31,2023-09-22,sh.600008,2.8700,2.8900,2.8200,2.8500,230587066,659548686.8000
32,2023-09-28,sh.600008,2.8500,2.8500,2.8200,2.8400,104119893,295537306.6400
33,2023-10-13,sh.600008,2.8400,2.8400,2.7700,2.7900,195576751,549856770.9700
34,2023-10-20,sh.600008,2.7900,2.8100,2.6900,2.7000,183330936,504405426.7500
35,2023-10-27,sh.600008,2.7000,2.8000,2.6300,2.7900,228200472,623598326.1900
36,2023-11-03,sh.600008,2.7700,2.8000,2.7400,2.7500,160400160,444231268.0200
37,2023-11-10,sh.600008,2.7600,2.7700,2.7000,2.7300,153579201,421470374.8000
38,2023-11-17,sh.600008,2.7300,2.7600,2.7200,2.7300,124696634,341602906.4400
39,2023-11-24,sh.600008,2.7300,2.7600,2.7100,2.7400,130151458,356570841.1500
40,2023-12-01,sh.600008,2.7400,2.7500,2.6800,2.7100,139495727,378374659.9100
41,2023-12-08,sh.600008,2.7100,2.7300,2.6700,2.6900,130716832,352749470.2300
42,2023-12-15,sh.600008,2.6800,2.7400,2.6500,2.6900,172761181,467551704.3400
43,2023-12-22,sh.600008,2.6900,2.7000,2.6100,2.6200,152974330,405388719.2000
44,2023-12-29,sh.600008,2.6200,2.7100,2.6000,2.6900,196958366,521969100.7000
45,2024-01-05,sh.600008,2.6900,2.7800,2.6700,2.7500,207669672,567662295.8300
46,2024-01-12,sh.600008,2.7400,2.7600,2.6900,2.7200,199477839,542660691.5700
47,2024-01-19,sh.600008,2.7200,2.7300,2.5900,2.6300,208695575,556678381.3500
48,2024-01-26,sh.600008,2.6300,2.7300,2.5000,2.7200,250474520,657866328.3500
49,2024-02-02,sh.600008,2.7300,2.7500,2.6600,2.7000,382239415,1037753149.9700
50,2024-02-08,sh.600008,2.7000,2.9400,2.5800,2.8600,474671180,1321753683.5300
51,2024-02-23,sh.600008,2.8800,2.8800,2.8000,2.8100,302911963,855943436.1800
52,2024-03-01,sh.600008,2.8100,2.8300,2.7600,2.8200,304631823,853196732.4600
53,2024-03-08,sh.600008,2.8200,2.8200,2.7600,2.7800,221779251,619044092.1600
54,2024-03-15,sh.600008,2.7800,2.8500,2.7600,2.8400,270994104,758024425.3500
55,2024-03-22,sh.600008,2.8300,2.8400,2.7300,2.7400,275552741,768559122.7300
56,2024-03-29,sh.600008,2.7400,2.7800,2.7200,2.7800,235750030,648207482.6300
57,2024-04-03,sh.600008,2.7800,2.8500,2.7700,2.8500,172350687,486273896.7200
