,date,code,open,high,low,close,volume,amount
0,2023-02-17,sh.600053,15.9600,16.2800,15.4100,15.4300,15106945,241638973.1400
1,2023-02-24,sh.600053,15.8900,16.9700,15.8800,16.3500,36135322,597155669.2100
2,2023-03-03,sh.600053,16.2000,16.3200,15.9300,16.1800,10864701,175480775.4800
3,2023-03-10,sh.600053,16.1800,16.2600,15.2700,15.2900,10031326,158252557.1000
4,2023-03-17,sh.600053,15.2400,15.5200,14.8000,15.4100,11141455,169157124.1300
5,2023-03-24,sh.600053,15.4000,15.9400,15.3400,15.8300,8948459,140091688.3500
6,2023-03-31,sh.600053,15.8700,16.0600,15.4200,15.7500,9861741,155274527.5800
7,2023-04-07,sh.600053,15.7600,16.2300,15.6100,15.9500,8657155,137622880.8600
8,2023-04-14,sh.600053,15.9500,16.2300,15.4100,15.4900,10569950,166252250.7700
9,2023-04-21,sh.600053,15.4600,15.5700,14.3200,14.3200,10309045,154652595.3000
10,2023-04-28,sh.600053,14.3000,14.3800,13.2400,13.4100,11506857,158704296.2500
11,2023-05-05,sh.600053,13.3000,13.9700,13.2600,13.7300,5169888,70770481.6000
12,2023-05-12,sh.600053,13.8000,14.2400,13.5300,13.6000,9180186,126927876.1900
13,2023-05-19,sh.600053,13.7000,14.0500,13.3600,13.4300,7881352,107391944.1100
14,2023-05-26,sh.600053,13.4300,13.5100,12.6500,12.8900,7153053,93047748.3600
15,2023-06-02,sh.600053,12.8300,13.0800,12.7500,13.0500,4994728,64572026.0600
16,2023-06-09,sh.600053,13.1400,13.1400,12.6000,12.7700,4043755,51911947.3900
17,2023-06-16,sh.600053,12.7000,13.9000,12.5800,13.3400,8111838,106750593.9000
18,2023-06-21,sh.600053,13.2600,13.2700,12.2400,12.2700,6831358,87367560.6900
19,2023-06-30,sh.600053,12.2700,12.3900,11.9800,12.3700,5564385,67816204.7200
20,2023-07-07,sh.600053,12.3700,13.4700,12.3600,13.0000,10206205,131476599.3400
21,2023-07-14,sh.600053,13.3000,13.5800,12.9000,13.3800,7714153,101740432.7200
22,2023-07-21,sh.600053,13.3700,13.3700,13.0500,13.1800,4324672,56973312.2000
23,2023-07-28,sh.600053,13.1800,14.0600,13.0400,13.9700,13644799,186085859.9300
24,2023-08-04,sh.600053,14.2200,14.8600,13.9000,14.5300,16371581,234226343.4700
25,2023-08-11,sh.600053,14.4000,14.6000,13.9400,14.0000,12139447,173105527.2500
26,2023-08-18,sh.600053,13.9400,14.1600,13.6400,13.6500,5985920,82885839.2800
27,2023-08-25,sh.600053,13.5200,13.8000,13.0000,13.2700,9608706,128114118.9000
28,2023-09-01,sh.600053,13.8100,14.4100,13.2600,13.4900,17968134,250582553.0000
29,2023-09-08,sh.600053,13.5700,13.5900,12.8300,13.1600,9425763,123746334.1700
30,2023-09-15,sh.600053,13.0700,13.5400,13.0300,13.3600,7120178,94401836.1000
31,2023-09-22,sh.600053,13.2700,13.4700,13.0300,13.4500,6062334,80187571.0100
32,2023-09-28,sh.600053,13.6000,13.6000,12.9300,13.2500,6186818,81636050.1000
33,2023-10-13,sh.600053,13.2600,13.2600,12.7900,12.9800,6495900,84319570.1200
34,2023-10-20,sh.600053,12.9200,13.2500,12.6400,12.8200,7398077,95980943.1000
35,2023-10-27,sh.600053,12.7800,13.2100,12.2900,13.0000,6766997,87106129.0100
36,2023-11-03,sh.600053,13.0100,13.0100,11.7400,12.4600,16581056,200506720.0600
37,2023-11-10,sh.600053,12.6100,13.2600,12.5100,12.6400,10297778,133021455.6900
38,2023-11-17,sh.600053,12.7100,13.2300,12.5800,13.0200,6234189,80547437.3900
39,2023-11-24,sh.600053,13.0500,19.0400,12.9000,19.0400,82285670,1425098906.2700
40,2023-12-01,sh.600053,19.6100,20.9000,14.7400,15.3100,142513958,2401427374.1300
41,2023-12-08,sh.600053,15.1500,16.9400,14.5500,14.6000,111327682,1752261126.7400
42,2023-12-15,sh.600053,14.6700,15.4500,14.4600,14.6400,44654093,665529785.3300
43,2023-12-22,sh.600053,14.6400,14.7100,13.8800,13.9200,25567749,364539799.5100
44,2023-12-29,sh.600053,13.9100,14.2400,13.6600,14.1300,20627068,288701722.7700
45,2024-01-05,sh.600053,14.0600,14.4500,13.6200,13.6700,23828715,335185279.6700
46,2024-01-12,sh.600053,13.6600,13.9500,13.4300,13.5600,16894467,230840484.2100
47,2024-01-19,sh.600053,13.5100,16.2800,13.3300,14.9600,69194484,1035545322.5500
48,2024-01-26,sh.600053,14.8500,23.1300,14.7200,23.1300,126200900,2321101406.8200
49,2024-02-02,sh.600053,25.0000,25.4400,14.4000,14.7600,128476592,2364896177.6800
50,2024-02-08,sh.600053,14.1300,14.1900,11.9500,13.1200,104126240,1339639574.4400
51,2024-02-23,sh.600053,12.9500,16.6100,12.6800,16.2500,156605802,2360775280.0900
52,2024-03-01,sh.600053,15.9700,19.9900,15.6400,18.1100,168979269,2974199249.9400
53,2024-03-08,sh.600053,17.9900,18.6000,16.1600,16.8000,105351641,1834349566.2000
54,2024-03-15,sh.600053,16.8800,20.1700,16.8800,18.1300,125850187,2301089525.7200
55,2024-03-22,sh.600053,17.8800,19.8600,17.6500,18.6300,90478797,1695990465.3700
56,2024-03-29,sh.600053,18.0500,18.1400,15.4500,16.0000,56514243,927426797.8400
57,2024-04-03,sh.600053,16.1500,16.4600,15.5500,15.5500,21511579,345900558.5900
