,date,code,open,high,low,close,volume,amount
0,2023-02-17,sh.600058,9.4900,9.6500,9.2300,9.2800,32161847,304413285.3400
1,2023-02-24,sh.600058,9.2800,9.8500,9.2500,9.5200,33917557,325046725.1900
2,2023-03-03,sh.600058,9.4500,9.9300,9.4400,9.8300,43717381,424083247.7100
3,2023-03-10,sh.600058,9.8900,9.9300,9.3000,9.3100,34805651,336061407.2700
4,2023-03-17,sh.600058,9.2500,9.5300,9.2000,9.3900,30600720,286342429.3600
5,2023-03-24,sh.600058,9.4400,9.4900,9.2700,9.3000,25005702,234567428.0000
6,2023-03-31,sh.600058,9.2800,10.4400,9.2500,10.2000,111360867,1118014469.6300
7,2023-04-07,sh.600058,10.1000,10.2300,9.8800,9.9000,39312013,395516033.0900
8,2023-04-14,sh.600058,9.8900,10.1200,9.6900,10.0700,43444512,430798802.2100
9,2023-04-21,sh.600058,10.0200,10.1900,9.6500,9.6900,44923108,448198372.4800
10,2023-04-28,sh.600058,9.6200,10.0000,9.3400,9.9800,35633204,344031576.6500
11,2023-05-05,sh.600058,9.9200,10.1500,9.8200,9.9000,15261126,152573982.0100
12,2023-05-12,sh.600058,9.9400,10.9000,9.9400,10.0200,96977602,1003164547.9700
13,2023-05-19,sh.600058,9.9800,10.4000,9.5800,9.6800,48859828,489852547.7700
14,2023-05-26,sh.600058,9.7100,9.7500,9.3000,9.6400,28186092,270099301.2000
15,2023-06-02,sh.600058,9.6400,9.7200,9.2400,9.5200,25118403,237368103.9100
16,2023-06-09,sh.600058,9.5200,9.5600,9.2500,9.4600,14624374,137671778.2400
17,2023-06-16,sh.600058,9.4400,9.9700,9.3900,9.7400,22592068,217724316.9600
18,2023-06-21,sh.600058,9.7000,9.8600,9.5400,9.7000,16311511,157776990.0900
19,2023-06-30,sh.600058,9.6300,9.8500,9.4000,9.8300,20450590,197818596.4800
20,2023-07-07,sh.600058,9.8600,10.1000,9.7000,9.8400,26305007,260021101.8100
21,2023-07-14,sh.600058,9.8400,9.9600,9.6400,9.7100,23106901,225758558.6900
22,2023-07-21,sh.600058,9.6900,10.0000,9.4800,9.9300,22918895,225447052.2000
23,2023-07-28,sh.600058,9.9300,10.1400,9.6500,10.0300,31578666,313014741.4600
24,2023-08-04,sh.600058,10.0300,10.2300,9.9200,9.9700,29271350,295488259.3700
25,2023-08-11,sh.600058,9.9500,10.0800,9.6900,9.6900,19804462,196159352.7500
26,2023-08-18,sh.600058,9.6100,9.7600,9.4300,9.6000,16950188,163288965.6100
27,2023-08-25,sh.600058,9.5400,9.7200,9.1200,9.1800,15771508,148437596.2700
28,2023-09-01,sh.600058,9.5700,9.8000,9.4000,9.5900,23604417,226761747.4100
29,2023-09-08,sh.600058,9.5900,9.8300,9.5800,9.6200,15202421,147555016.5300
30,2023-09-15,sh.600058,9.6400,9.8700,9.6300,9.7800,16673232,162722583.7100
31,2023-09-22,sh.600058,9.7800,9.8700,9.6700,9.8200,16874838,165003555.8900
32,2023-09-28,sh.600058,9.8100,9.8100,9.4600,9.4800,14353727,138441932.0700
33,2023-10-13,sh.600058,9.4600,9.5600,9.3800,9.4700,14106245,133556807.9700
34,2023-10-20,sh.600058,9.4300,9.4700,9.0300,9.0700,12219267,113047178.5200
35,2023-10-27,sh.600058,9.0400,9.2700,8.6800,9.1800,13858902,124858739.0800
36,2023-11-03,sh.600058,9.1500,9.3400,9.1400,9.2400,13496698,124711178.1100
37,2023-11-10,sh.600058,9.2800,9.3200,9.0200,9.0900,11566474,105980788.6600
38,2023-11-17,sh.600058,9.1300,9.3500,9.1200,9.2100,14020663,129417019.1800
39,2023-11-24,sh.600058,9.2200,9.3200,9.0700,9.2200,11600872,106986425.5600
40,2023-12-01,sh.600058,9.2300,9.9000,9.1300,9.8400,27771871,264026981.4600
41,2023-12-08,sh.600058,9.8400,10.0000,9.4100,9.4100,36309660,350888562.0900
42,2023-12-15,sh.600058,9.4100,9.8100,9.4000,9.6000,21343695,205990523.7600
43,2023-12-22,sh.600058,9.6200,9.6400,9.2200,9.4900,15762902,149239103.9300
44,2023-12-29,sh.600058,9.4800,9.4800,9.1100,9.3800,12533319,116647774.7900
45,2024-01-05,sh.600058,9.4400,9.5700,9.3600,9.4400,10102832,95785186.6600
46,2024-01-12,sh.600058,9.4500,9.4500,9.0600,9.1400,11387172,105116150.4000
47,2024-01-19,sh.600058,9.1500,9.2200,8.4200,8.6400,16266701,143213916.0300
48,2024-01-26,sh.600058,8.6600,9.3000,7.9200,9.1700,25300678,217899670.9600
49,2024-02-02,sh.600058,9.2500,9.2500,7.8500,8.1000,22535075,195067266.2600
50,2024-02-08,sh.600058,8.1000,8.8000,7.1600,8.4800,36330366,293182585.5300
51,2024-02-23,sh.600058,8.4800,8.7600,8.3400,8.6500,25840828,220349526.1200
52,2024-03-01,sh.600058,8.6500,8.9100,8.4000,8.6400,28218167,243069402.9300
53,2024-03-08,sh.600058,8.6400,8.7700,8.3200,8.4000,25464360,216036271.2100
54,2024-03-15,sh.600058,8.3600,8.7700,8.3600,8.6800,26504194,226244895.4700
55,2024-03-22,sh.600058,8.6900,8.8200,8.4500,8.5300,23360569,201970542.8800
56,2024-03-29,sh.600058,8.5000,8.5700,8.1000,8.3700,19110989,159060211.8500
57,2024-04-03,sh.600058,8.4900,9.1700,8.4200,9.0000,31700398,279881209.9400
