,date,code,open,high,low,close,volume,amount
0,2023-02-17,sh.600133,5.9300,6.0100,5.7900,5.8300,66305751,392103901.5900
1,2023-02-24,sh.600133,5.8500,6.0300,5.8500,5.9100,64858200,387014022.1500
2,2023-03-03,sh.600133,5.9000,6.1300,5.8700,6.1200,53736296,323042938.3900
3,2023-03-10,sh.600133,6.1000,6.1800,5.8200,5.8400,52100533,313628575.7700
4,2023-03-17,sh.600133,5.8100,6.1500,5.7000,6.1200,71982901,428650418.9300
5,2023-03-24,sh.600133,6.1500,6.2400,6.0100,6.0700,63038684,385663814.4700
6,2023-03-31,sh.600133,6.0900,6.1000,5.7300,5.8100,56704170,333249630.2600
7,2023-04-07,sh.600133,5.8000,5.9000,5.7400,5.7900,41141451,239624713.1600
8,2023-04-14,sh.600133,5.7700,5.9000,5.6200,5.9000,60100595,347053156.7500
9,2023-04-21,sh.600133,5.9000,6.1500,5.8400,5.9700,112066839,673906052.2400
10,2023-04-28,sh.600133,5.9900,6.5600,5.9900,6.3000,175889536,1102187842.6500
11,2023-05-05,sh.600133,6.3200,6.4400,6.2700,6.4200,62559397,396907271.1000
12,2023-05-12,sh.600133,6.4700,6.6100,6.2300,6.2400,133148397,854065370.1300
13,2023-05-19,sh.600133,6.2500,6.2600,5.9600,6.0100,62585367,381662492.6100
14,2023-05-26,sh.600133,5.9900,6.0400,5.8100,5.9300,47912267,283800447.4000
15,2023-06-02,sh.600133,5.9400,6.0000,5.8300,5.9200,50656726,299379245.7500
16,2023-06-09,sh.600133,5.9500,6.2500,5.8500,6.1900,69604857,422546107.5600
17,2023-06-16,sh.600133,6.1900,6.1900,5.9900,6.1300,53384694,324603356.3400
18,2023-06-21,sh.600133,6.1300,6.1500,5.9500,5.9600,32832454,198764348.8000
19,2023-06-30,sh.600133,5.8400,6.6600,5.6800,6.5900,176698728,1112686617.5300
20,2023-07-07,sh.600133,6.8000,7.6700,6.5700,7.4900,560104980,3984347753.6400
21,2023-07-14,sh.600133,7.5000,7.9700,7.2900,7.6400,349117091,2645246237.8800
22,2023-07-21,sh.600133,7.6000,8.5100,7.4500,7.9200,310091861,2488515553.5400
23,2023-07-28,sh.600133,7.7200,7.7800,7.3000,7.3800,228467118,1729155055.6000
24,2023-08-04,sh.600133,7.3700,7.5400,7.2600,7.4400,135058293,1000252069.3400
25,2023-08-11,sh.600133,7.4100,7.4400,7.0000,7.1400,90607444,659211075.0800
26,2023-08-18,sh.600133,7.0600,7.3700,6.9500,6.9600,92774450,662535538.1200
27,2023-08-25,sh.600133,6.9700,7.0200,6.6300,6.7000,84729198,580053653.7900
28,2023-09-01,sh.600133,7.0300,7.1900,6.5200,6.6400,134716644,919614541.3400
29,2023-09-08,sh.600133,6.6400,6.7500,6.3300,6.4100,86750924,563472013.3600
30,2023-09-15,sh.600133,6.4100,6.6900,6.3500,6.4900,78513972,510818900.3200
31,2023-09-22,sh.600133,6.4300,6.7200,6.3600,6.6800,93853819,616205292.8300
32,2023-09-28,sh.600133,6.6400,7.0400,6.3600,6.9500,130610112,878473852.9800
33,2023-10-13,sh.600133,6.9200,7.3200,6.7300,7.2000,127055303,883457022.1500
34,2023-10-20,sh.600133,7.1200,8.3600,7.0500,7.8200,267410514,2065876520.2600
35,2023-10-27,sh.600133,7.7300,8.3600,7.1800,7.8400,361768998,2785979926.7500
36,2023-11-03,sh.600133,7.7100,8.8700,7.6300,8.2600,422835001,3523343472.6900
37,2023-11-10,sh.600133,8.2700,9.9300,8.2000,9.1000,459466003,4209438899.8900
38,2023-11-17,sh.600133,9.1300,10.1400,9.0000,9.9200,343743755,3313254239.8300
39,2023-11-24,sh.600133,9.8300,9.9200,8.8800,9.1700,250102217,2315656064.2000
40,2023-12-01,sh.600133,8.9800,9.8300,8.6500,9.8100,288889275,2713200318.5000
41,2023-12-08,sh.600133,9.8500,12.9700,9.8000,11.5900,620183952,7184849768.1300
42,2023-12-15,sh.600133,11.3700,12.2700,10.5800,10.8600,383823361,4431699957.7300
43,2023-12-22,sh.600133,10.9600,11.3500,10.5100,10.7200,205243361,2242898244.1800
44,2023-12-29,sh.600133,10.7400,10.9100,9.7100,10.7700,233749596,2399098226.4300
45,2024-01-05,sh.600133,10.6800,10.7100,9.9000,9.9200,177834205,1812351357.2600
46,2024-01-12,sh.600133,9.9000,10.0200,9.1100,9.5500,142784943,1361703060.5600
47,2024-01-19,sh.600133,9.4000,9.5900,8.8800,9.2500,124976718,1158820456.8200
48,2024-01-26,sh.600133,9.1800,9.7300,8.4100,9.5200,209446993,1879073868.3600
49,2024-02-02,sh.600133,9.4600,9.7000,7.8000,8.0800,187737489,1649201426.0700
50,2024-02-08,sh.600133,7.9800,8.7700,6.7000,8.7000,218731730,1705498677.6400
51,2024-02-23,sh.600133,8.7000,9.6600,8.6400,9.5800,191806677,1757453014.1600
52,2024-03-01,sh.600133,9.5200,10.4200,9.2700,10.0800,296745301,2939569627.1400
53,2024-03-08,sh.600133,9.9700,13.0200,9.9600,12.8800,394741161,4520980465.4000
54,2024-03-15,sh.600133,12.6000,13.9300,12.1300,12.7200,382029100,4943131717.9000
55,2024-03-22,sh.600133,12.7300,13.3800,12.4100,12.5300,269228193,3479759038.3400
56,2024-03-29,sh.600133,12.5500,12.6200,11.5200,12.0100,276352962,3296392745.3300
57,2024-04-03,sh.600133,12.0000,12.4800,11.6500,12.3200,147977347,1784051572.1800
